epoch,train_loss,train_prediction_loss,train_future_local_alignment_loss,train_future_relation_alignment_loss,train_future_reconstruction_loss,train_future_raw_reconstruction_loss,train_future_normalized_reconstruction_loss,train_future_alignment_confidence_mean,train_error_energy_loss,train_error_smoothness_loss,val_mean_mse,epoch_elapsed_sec,elapsed_sec,train_steps_h96,train_steps_h192,train_steps_h336,train_steps_h720,val_mse_h96,val_mae_h96,val_mse_h192,val_mae_h192,val_mse_h336,val_mae_h336,val_mse_h720,val_mae_h720
1,0.5191570376196215,0.5191570376196215,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.36550843343138695,14.195459460956044,14.195466030971147,55,66,65,62,0.21004457771778107,0.32017621397972107,0.27546578645706177,0.36081385612487793,0.36258813738822937,0.4128696322441101,0.6139352321624756,0.5466129183769226
2,0.4502121381942303,0.4502121381942303,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.37893228977918625,13.630670360988006,27.8309019850567,66,64,52,66,0.21682778000831604,0.3246603012084961,0.28367605805397034,0.3645409345626831,0.37247905135154724,0.41549569368362427,0.6427462697029114,0.5555047988891602
3,0.40684163840788024,0.40684163840788024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4259208180010319,13.797250578994863,41.6288264360046,67,53,65,63,0.2462737113237381,0.34151265025138855,0.3249199092388153,0.3839528560638428,0.4217977821826935,0.4371480345726013,0.7106918692588806,0.5768523216247559
4,0.35865165948146777,0.35865165948146777,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4302179031074047,13.718348680995405,55.34861238405574,67,58,74,49,0.24694423377513885,0.3457798957824707,0.32215768098831177,0.38856011629104614,0.4284869432449341,0.4440130293369293,0.7232827544212341,0.5803841352462769
5,0.34160681910091834,0.34160681910091834,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.44396375864744186,14.179965681047179,69.52920602902304,66,63,63,56,0.2671567499637604,0.35361143946647644,0.3385810852050781,0.39549070596694946,0.44927120208740234,0.4532199203968048,0.7208459973335266,0.5815839171409607
6,0.36296285118066496,0.36296285118066496,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.46505018323659897,13.550582924042828,83.08051581005566,64,47,53,84,0.279365211725235,0.35930004715919495,0.3655898869037628,0.407606840133667,0.49044069647789,0.46846047043800354,0.7248049378395081,0.5850622057914734
7,0.33164578784377347,0.33164578784377347,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4322030544281006,13.526873252005316,96.60826500901021,56,58,58,76,0.24453631043434143,0.34439921379089355,0.3205660879611969,0.39086639881134033,0.4317668080329895,0.4501224458217621,0.7319430112838745,0.590087354183197
8,0.3047140943066728,0.3047140943066728,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.443122748285532,13.574605921981856,110.18410839198623,64,53,65,66,0.24949677288532257,0.3490496575832367,0.33394429087638855,0.3986540734767914,0.4425370991230011,0.45677176117897034,0.7465128302574158,0.5984524488449097
9,0.2959085638604818,0.2959085638604818,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4331386089324951,13.551672470057383,123.73657349008135,60,56,67,65,0.24552634358406067,0.34493720531463623,0.3162529170513153,0.38794422149658203,0.43123704195022583,0.4487994313240051,0.7395381331443787,0.5952498316764832
10,0.2768377022096707,0.2768377022096707,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4335859902203083,13.506524150026962,137.24387754697818,65,65,53,65,0.24925817549228668,0.3473343551158905,0.32465860247612,0.39218345284461975,0.43279317021369934,0.4500960111618042,0.7276340126991272,0.5922636389732361
11,0.28097881424811577,0.28097881424811577,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.43873242288827896,13.629760982934386,150.87436227698345,57,57,60,74,0.25072866678237915,0.34714996814727783,0.3271171748638153,0.391558438539505,0.44014716148376465,0.4520174264907837,0.7369366884231567,0.5953303575515747
