dataset,segment,control_mse,r3_full_mse,relative_mse_vs_r3_full_pct,control_wins_mse_vs_r3_full,is_observed_gap
ETTh2,1-96,0.25780054926872253,0.2497519701719284,3.222628871056954,False,False
ETTh2,97-192,0.33952245116233826,0.33811911940574646,0.4150406398366835,False,False
ETTh2,193-336,0.3653109073638916,0.36967068910598755,-1.1793690629461784,True,True
ETTh2,337-720,0.4789034426212311,0.4840433597564697,-1.0618712211700632,True,True
ETTm1,1-96,0.2884492576122284,0.2841739356517792,1.5044736423991178,False,False
ETTm1,97-192,0.3537624478340149,0.3520488142967224,0.4867602070229182,False,False
ETTm1,193-336,0.4043579399585724,0.40565091371536255,-0.3187405015183664,True,False
ETTm1,337-720,0.463446706533432,0.4712492525577545,-1.6557153103104905,True,True
Weather,1-96,0.14730015397071838,0.14746259152889252,-0.11015509526177691,True,False
Weather,97-192,0.2327875941991806,0.2326873242855072,0.04309212544399976,False,False
Weather,193-336,0.31191956996917725,0.3130928874015808,-0.37475058668408057,True,False
Weather,337-720,0.3908345401287079,0.3891408443450928,0.4352397874002545,False,False
