dataset,segment,candidate_mse,r3_mse,relative_mse_vs_r3_pct,candidate_wins_mse_vs_r3,is_observed_gap
ETTh2,1-96,0.2520919442176819,0.2497519701719284,0.9369191538880051,False,False
ETTh2,97-192,0.3362888991832733,0.33811911940574646,-0.541294507595369,True,False
ETTh2,193-336,0.37308967113494873,0.36967068910598755,0.9248723606487763,False,True
ETTh2,337-720,0.4821489155292511,0.4840433597564697,-0.3913790343434864,True,True
ETTm1,1-96,0.282870352268219,0.2841739356517792,-0.45872728636082716,True,False
ETTm1,97-192,0.34947049617767334,0.3520488142967224,-0.732375174789246,True,False
ETTm1,193-336,0.4034019708633423,0.40565091371536255,-0.5544034971897815,True,False
ETTm1,337-720,0.4674897789955139,0.4712492525577545,-0.7977675384811089,True,True
Weather,1-96,0.14791402220726013,0.14746259152889252,0.3061323374878855,False,False
Weather,97-192,0.23249079287052155,0.2326873242855072,-0.08446159050096158,True,False
Weather,193-336,0.311456561088562,0.3130928874015808,-0.5226328603626151,True,False
Weather,337-720,0.3859630823135376,0.3891408443450928,-0.8166097385390647,True,False
