dataset,horizon,scope,mean_abs_scale,mean_abs_shift,max_abs_scale,max_abs_shift
ETTh2,96,all,0.054000288248062134,0.012128829956054688,0.09702489525079727,0.055291224271059036
ETTh2,96,segment_0,0.049727555364370346,0.01119651086628437,0.09566301852464676,0.055291224271059036
ETTh2,96,segment_1,0.05827301740646362,0.013061149045825005,0.09702489525079727,0.05138358101248741
ETTh2,720,all,0.06416057795286179,0.01748811826109886,0.09732601791620255,0.05646748095750809
ETTh2,720,segment_0,0.049578677862882614,0.011296207085251808,0.09566301107406616,0.055291224271059036
ETTh2,720,segment_1,0.05795815959572792,0.013070243410766125,0.09702489525079727,0.05138358473777771
ETTh2,720,segment_2,0.06055944040417671,0.014193760231137276,0.09711825102567673,0.052861668169498444
ETTh2,720,segment_3,0.06320660561323166,0.015513102523982525,0.09713377803564072,0.05362773686647415
ETTh2,720,segment_4,0.06513987481594086,0.016740398481488228,0.09716394543647766,0.054107796400785446
ETTh2,720,segment_5,0.06648637354373932,0.01818663626909256,0.09718897938728333,0.05492174252867699
ETTh2,720,segment_6,0.06683816015720367,0.019080553203821182,0.09710880368947983,0.05567585304379463
ETTh2,720,segment_7,0.06655015796422958,0.019467318430542946,0.09691290557384491,0.055930960923433304
ETTh2,720,segment_8,0.06610491871833801,0.01945813000202179,0.09675443917512894,0.055844929069280624
ETTh2,720,segment_9,0.06649124622344971,0.01976737752556801,0.09685277193784714,0.05631427839398384
ETTh2,720,segment_10,0.0665145069360733,0.019635166972875595,0.0969335064291954,0.056319452822208405
ETTh2,720,segment_11,0.06627238541841507,0.01936098001897335,0.0969400629401207,0.05601833015680313
ETTh2,720,segment_12,0.06695140898227692,0.019335869699716568,0.09718798846006393,0.05637151002883911
ETTh2,720,segment_13,0.06743533164262772,0.019102878868579865,0.09732601791620255,0.05646748095750809
ETTh2,720,segment_14,0.06632138043642044,0.01811314933001995,0.09711319953203201,0.054716914892196655
ETTm1,96,all,0.0857844278216362,0.02073071151971817,0.09988405555486679,0.07972928881645203
ETTm1,96,segment_0,0.0832354798913002,0.019527507945895195,0.09978949278593063,0.07499482482671738
ETTm1,96,segment_1,0.0883333757519722,0.021933916956186295,0.09988405555486679,0.07972928881645203
ETTm1,720,all,0.0923558697104454,0.02391442283987999,0.09994126111268997,0.08421254903078079
ETTm1,720,segment_0,0.08316770195960999,0.01952427253127098,0.09978949278593063,0.07499482482671738
ETTm1,720,segment_1,0.08829303085803986,0.021916896104812622,0.09988405555486679,0.07972930371761322
ETTm1,720,segment_2,0.09088025987148285,0.023192990571260452,0.09991481155157089,0.08175521343946457
ETTm1,720,segment_3,0.09249719977378845,0.024473242461681366,0.09992677718400955,0.08307985216379166
ETTm1,720,segment_4,0.09374561160802841,0.025433074682950974,0.09994126111268997,0.08369486778974533
ETTm1,720,segment_5,0.09423698484897614,0.025800738483667374,0.09994101524353027,0.08421254903078079
ETTm1,720,segment_6,0.09435675293207169,0.02613936923444271,0.0999387577176094,0.08387932181358337
ETTm1,720,segment_7,0.09425239264965057,0.025376535952091217,0.09993128478527069,0.0836319848895073
ETTm1,720,segment_8,0.09398100525140762,0.025089401751756668,0.0999222919344902,0.08270080387592316
ETTm1,720,segment_9,0.0938461646437645,0.024378780275583267,0.09991999715566635,0.08269970118999481
ETTm1,720,segment_10,0.09346979111433029,0.024043651297688484,0.09991450607776642,0.08189850300550461
ETTm1,720,segment_11,0.09326641261577606,0.023347992449998856,0.0999111607670784,0.08179941028356552
ETTm1,720,segment_12,0.09321065247058868,0.02343386970460415,0.09991686791181564,0.0817190632224083
ETTm1,720,segment_13,0.09312525391578674,0.023266268894076347,0.09991806000471115,0.08195709437131882
ETTm1,720,segment_14,0.09300866723060608,0.02329927310347557,0.09991828352212906,0.08162552118301392
Weather,96,all,0.08762399107217789,0.023698212578892708,0.09998353570699692,0.08602757006883621
Weather,96,segment_0,0.0852462574839592,0.02377994731068611,0.09996744245290756,0.08602757006883621
Weather,96,segment_1,0.09000171720981598,0.023616475984454155,0.09998353570699692,0.08552367985248566
Weather,720,all,0.09379014372825623,0.020937714725732803,0.09998942166566849,0.0863417536020279
Weather,720,segment_0,0.08523798733949661,0.023751849308609962,0.09996744245290756,0.08602757751941681
Weather,720,segment_1,0.09000255912542343,0.02359735779464245,0.09998353570699692,0.08552367240190506
Weather,720,segment_2,0.09222694486379623,0.023063937202095985,0.09998682141304016,0.08466248959302902
Weather,720,segment_3,0.09424343705177307,0.02218431793153286,0.09998942166566849,0.08531919866800308
Weather,720,segment_4,0.09494651108980179,0.02139759063720703,0.09998928755521774,0.08542226254940033
Weather,720,segment_5,0.09527876228094101,0.02085183747112751,0.09998846054077148,0.08562330901622772
Weather,720,segment_6,0.09559530764818192,0.02073734626173973,0.09998880326747894,0.08607842773199081
Weather,720,segment_7,0.09536387026309967,0.020243395119905472,0.09998687356710434,0.08551167696714401
Weather,720,segment_8,0.09466145932674408,0.01930808834731579,0.09998244047164917,0.0849958062171936
Weather,720,segment_9,0.09504210203886032,0.01971045508980751,0.09998439997434616,0.08563292026519775
Weather,720,segment_10,0.09483911842107773,0.019656648859381676,0.09998438507318497,0.08544757217168808
Weather,720,segment_11,0.09471311420202255,0.019501930102705956,0.09998338669538498,0.08551815897226334
Weather,720,segment_12,0.09508209675550461,0.020120209082961082,0.09998632222414017,0.0863417536020279
Weather,720,segment_13,0.09500551223754883,0.020116642117500305,0.09998645633459091,0.08592156320810318
Weather,720,segment_14,0.09461340308189392,0.019824126735329628,0.09998434036970139,0.08522683382034302
