dataset,segment,candidate_mse,r3_mse,relative_mse_vs_r3_pct,candidate_wins_mse_vs_r3,is_observed_gap
ETTh2,1-96,0.25545603036880493,0.2497519701719284,2.283889970097075,False,False
ETTh2,97-192,0.35410362482070923,0.33811911940574646,4.727477536039948,False,False
ETTh2,193-336,0.38812947273254395,0.36967068910598755,4.9933046277477855,False,True
ETTh2,337-720,0.49625909328460693,0.4840433597564697,2.5236857983720995,False,True
ETTm1,1-96,0.2838040888309479,0.2841739356517792,-0.13014804471177532,True,False
ETTm1,97-192,0.35098332166671753,0.3520488142967224,-0.30265479863449407,True,False
ETTm1,193-336,0.4041673243045807,0.40565091371536255,-0.36573057291887645,True,False
ETTm1,337-720,0.46830546855926514,0.4712492525577545,-0.6246766403366522,True,True
Weather,1-96,0.1522698700428009,0.14746259152889252,3.259998664113062,False,False
Weather,97-192,0.23853129148483276,0.2326873242855072,2.5115107654747115,False,False
Weather,193-336,0.320585161447525,0.3130928874015808,2.3929876236167713,False,False
Weather,337-720,0.4015962779521942,0.3891408443450928,3.20075206396373,False,False
