arm,model,label,strategy,future_alignment,dataset,horizon,mse,mae
F1-C0,PatchEncoderFSAF1SinglePrefixBase,F1-C0_single_prefix_base,single_720_prefix_risk,off,ETTh2,96,0.30893898010253906,0.364199161529541
F1-C0,PatchEncoderFSAF1SinglePrefixBase,F1-C0_single_prefix_base,single_720_prefix_risk,off,ETTh2,192,0.36851921677589417,0.403163880109787
F1-C0,PatchEncoderFSAF1SinglePrefixBase,F1-C0_single_prefix_base,single_720_prefix_risk,off,ETTh2,336,0.383066326379776,0.4179953932762146
F1-C0,PatchEncoderFSAF1SinglePrefixBase,F1-C0_single_prefix_base,single_720_prefix_risk,off,ETTh2,720,0.4101856052875519,0.44332125782966614
F1-C0,PatchEncoderFSAF1SinglePrefixBase,F1-C0_single_prefix_base,single_720_prefix_risk,off,Weather,96,0.1509237140417099,0.1995583176612854
F1-C0,PatchEncoderFSAF1SinglePrefixBase,F1-C0_single_prefix_base,single_720_prefix_risk,off,Weather,192,0.1951702982187271,0.2407691329717636
F1-C0,PatchEncoderFSAF1SinglePrefixBase,F1-C0_single_prefix_base,single_720_prefix_risk,off,Weather,336,0.24785242974758148,0.280915766954422
F1-C0,PatchEncoderFSAF1SinglePrefixBase,F1-C0_single_prefix_base,single_720_prefix_risk,off,Weather,720,0.3234710395336151,0.3341345191001892
F1-C1,PatchEncoderFSAF1R3Base,F1-C1_r3_base,r3_prefix_risk,off,ETTh2,96,0.30031517148017883,0.35893383622169495
F1-C1,PatchEncoderFSAF1R3Base,F1-C1_r3_base,r3_prefix_risk,off,ETTh2,192,0.3604849576950073,0.3980604410171509
F1-C1,PatchEncoderFSAF1R3Base,F1-C1_r3_base,r3_prefix_risk,off,ETTh2,336,0.3780958354473114,0.41389650106430054
F1-C1,PatchEncoderFSAF1R3Base,F1-C1_r3_base,r3_prefix_risk,off,ETTh2,720,0.4029088020324707,0.43718889355659485
F1-C1,PatchEncoderFSAF1R3Base,F1-C1_r3_base,r3_prefix_risk,off,Weather,96,0.14891685545444489,0.19556677341461182
F1-C1,PatchEncoderFSAF1R3Base,F1-C1_r3_base,r3_prefix_risk,off,Weather,192,0.1931014060974121,0.23863273859024048
F1-C1,PatchEncoderFSAF1R3Base,F1-C1_r3_base,r3_prefix_risk,off,Weather,336,0.2458879053592682,0.2796083986759186
F1-C1,PatchEncoderFSAF1R3Base,F1-C1_r3_base,r3_prefix_risk,off,Weather,720,0.3233675956726074,0.33409297466278076
F1-A0,PatchEncoderFSAF1SinglePrefixFutureAnchor,F1-A0_single_prefix_future_anchor,single_720_prefix_risk,on,ETTh2,96,0.30038490891456604,0.36067816615104675
F1-A0,PatchEncoderFSAF1SinglePrefixFutureAnchor,F1-A0_single_prefix_future_anchor,single_720_prefix_risk,on,ETTh2,192,0.3600446879863739,0.3976547122001648
F1-A0,PatchEncoderFSAF1SinglePrefixFutureAnchor,F1-A0_single_prefix_future_anchor,single_720_prefix_risk,on,ETTh2,336,0.38481107354164124,0.417906254529953
F1-A0,PatchEncoderFSAF1SinglePrefixFutureAnchor,F1-A0_single_prefix_future_anchor,single_720_prefix_risk,on,ETTh2,720,0.4053248167037964,0.4401552379131317
F1-A0,PatchEncoderFSAF1SinglePrefixFutureAnchor,F1-A0_single_prefix_future_anchor,single_720_prefix_risk,on,Weather,96,0.14961275458335876,0.19720417261123657
F1-A0,PatchEncoderFSAF1SinglePrefixFutureAnchor,F1-A0_single_prefix_future_anchor,single_720_prefix_risk,on,Weather,192,0.19565552473068237,0.2397983968257904
F1-A0,PatchEncoderFSAF1SinglePrefixFutureAnchor,F1-A0_single_prefix_future_anchor,single_720_prefix_risk,on,Weather,336,0.2514638900756836,0.2812526822090149
F1-A0,PatchEncoderFSAF1SinglePrefixFutureAnchor,F1-A0_single_prefix_future_anchor,single_720_prefix_risk,on,Weather,720,0.3308134377002716,0.3356192409992218
F1-A1,PatchEncoderFSAF1R3FutureAnchor,F1-A1_r3_future_anchor,r3_prefix_risk,on,ETTh2,96,0.3123168647289276,0.3626645505428314
F1-A1,PatchEncoderFSAF1R3FutureAnchor,F1-A1_r3_future_anchor,r3_prefix_risk,on,ETTh2,192,0.37373989820480347,0.4026046693325043
F1-A1,PatchEncoderFSAF1R3FutureAnchor,F1-A1_r3_future_anchor,r3_prefix_risk,on,ETTh2,336,0.38263553380966187,0.41655221581459045
F1-A1,PatchEncoderFSAF1R3FutureAnchor,F1-A1_r3_future_anchor,r3_prefix_risk,on,ETTh2,720,0.42043039202690125,0.4470548927783966
F1-A1,PatchEncoderFSAF1R3FutureAnchor,F1-A1_r3_future_anchor,r3_prefix_risk,on,Weather,96,0.14984364807605743,0.1995818167924881
F1-A1,PatchEncoderFSAF1R3FutureAnchor,F1-A1_r3_future_anchor,r3_prefix_risk,on,Weather,192,0.1934180110692978,0.2409714311361313
F1-A1,PatchEncoderFSAF1R3FutureAnchor,F1-A1_r3_future_anchor,r3_prefix_risk,on,Weather,336,0.24556519091129303,0.2811708450317383
F1-A1,PatchEncoderFSAF1R3FutureAnchor,F1-A1_r3_future_anchor,r3_prefix_risk,on,Weather,720,0.3204825520515442,0.3333457112312317
F1-W0,PatchEncoderFSAF1FullTimeFutureAnchor,F1-W0_full_time_future_anchor,full_time_mse,on,ETTh2,96,0.3123861253261566,0.37311261892318726
F1-W0,PatchEncoderFSAF1FullTimeFutureAnchor,F1-W0_full_time_future_anchor,full_time_mse,on,ETTh2,192,0.3623950183391571,0.4042368531227112
F1-W0,PatchEncoderFSAF1FullTimeFutureAnchor,F1-W0_full_time_future_anchor,full_time_mse,on,ETTh2,336,0.38246604800224304,0.4207184910774231
F1-W0,PatchEncoderFSAF1FullTimeFutureAnchor,F1-W0_full_time_future_anchor,full_time_mse,on,ETTh2,720,0.40687140822410583,0.444607138633728
F1-W0,PatchEncoderFSAF1FullTimeFutureAnchor,F1-W0_full_time_future_anchor,full_time_mse,on,Weather,96,0.15502578020095825,0.20595115423202515
F1-W0,PatchEncoderFSAF1FullTimeFutureAnchor,F1-W0_full_time_future_anchor,full_time_mse,on,Weather,192,0.19949117302894592,0.24550215899944305
F1-W0,PatchEncoderFSAF1FullTimeFutureAnchor,F1-W0_full_time_future_anchor,full_time_mse,on,Weather,336,0.25414109230041504,0.28540855646133423
F1-W0,PatchEncoderFSAF1FullTimeFutureAnchor,F1-W0_full_time_future_anchor,full_time_mse,on,Weather,720,0.33248984813690186,0.33860352635383606
