dataset,batch_index,checkpoint_loaded,left_group,right_group,parameter_group,gradient_cosine
ETTh2,1,False,early_1_96,full_1_720,all_shared,0.6644436717033386
ETTh2,1,False,early_1_96,full_1_720,encoder,0.6956602334976196
ETTh2,1,False,early_1_96,full_1_720,readout_head,0.6590994000434875
ETTh2,1,False,early_1_96,full_1_720,target_path,0.7241366505622864
ETTh2,1,False,early_1_96,late_337_720,all_shared,0.5050811767578125
ETTh2,1,False,early_1_96,late_337_720,encoder,0.5780432820320129
ETTh2,1,False,early_1_96,late_337_720,readout_head,0.4995380640029907
ETTh2,1,False,early_1_96,late_337_720,target_path,0.5969831347465515
ETTh2,1,False,early_1_96,learnable_hard,all_shared,0.42698580026626587
ETTh2,1,False,early_1_96,learnable_hard,encoder,0.44935667514801025
ETTh2,1,False,early_1_96,learnable_hard,readout_head,0.42406004667282104
ETTh2,1,False,early_1_96,learnable_hard,target_path,0.4410786032676697
ETTh2,1,False,early_1_96,middle_193_336,all_shared,0.2138471007347107
ETTh2,1,False,early_1_96,middle_193_336,encoder,-0.0025846529752016068
ETTh2,1,False,early_1_96,middle_193_336,readout_head,0.23326073586940765
ETTh2,1,False,early_1_96,middle_193_336,target_path,0.20807687938213348
ETTh2,1,False,early_1_96,middle_97_192,all_shared,0.11979696899652481
ETTh2,1,False,early_1_96,middle_97_192,encoder,-0.342926949262619
ETTh2,1,False,early_1_96,middle_97_192,readout_head,0.18614275753498077
ETTh2,1,False,early_1_96,middle_97_192,target_path,0.005344362463802099
ETTh2,1,False,early_1_96,noisy_hard,all_shared,-0.20392268896102905
ETTh2,1,False,early_1_96,noisy_hard,encoder,-0.3727775812149048
ETTh2,1,False,early_1_96,noisy_hard,readout_head,-0.18496857583522797
ETTh2,1,False,early_1_96,noisy_hard,target_path,-0.17728841304779053
ETTh2,1,False,early_1_96,predictable_easy,all_shared,0.7421320080757141
ETTh2,1,False,early_1_96,predictable_easy,encoder,0.7605384588241577
ETTh2,1,False,early_1_96,predictable_easy,readout_head,0.7397595643997192
ETTh2,1,False,early_1_96,predictable_easy,target_path,0.7909007668495178
ETTh2,1,False,full_1_720,late_337_720,all_shared,0.9122545719146729
