dataset,left_group,right_group,parameter_group,batches,mean_gradient_cosine,min_gradient_cosine,negative_share,low_conflict_share_lt_0p1
ETTh2,early_1_96,full_1_720,all_shared,16,0.3904109814611729,-0.05554277449846268,0.0625,0.25
ETTh2,early_1_96,full_1_720,encoder,16,0.18664093012921512,-0.5084261894226074,0.3125,0.4375
ETTh2,early_1_96,full_1_720,readout_head,16,0.4359865876904223,0.006338043604046106,0.0,0.125
ETTh2,early_1_96,full_1_720,target_path,16,0.39935364248231053,-0.14433680474758148,0.125,0.125
ETTh2,early_1_96,late_337_720,all_shared,16,0.19124482292681932,-0.4119907319545746,0.3125,0.375
ETTh2,early_1_96,late_337_720,encoder,16,0.021304638939909637,-0.736050546169281,0.5,0.625
ETTh2,early_1_96,late_337_720,readout_head,16,0.2379437042400241,-0.26158565282821655,0.3125,0.3125
ETTh2,early_1_96,late_337_720,target_path,16,0.19121549985720776,-0.4917546212673187,0.3125,0.375
ETTh2,early_1_96,learnable_hard,all_shared,16,0.04566854052245617,-0.5036212801933289,0.5,0.625
ETTh2,early_1_96,learnable_hard,encoder,16,-0.12216441985219717,-0.79965740442276,0.625,0.6875
ETTh2,early_1_96,learnable_hard,readout_head,16,0.09174090512897237,-0.38834261894226074,0.4375,0.5625
ETTh2,early_1_96,learnable_hard,target_path,16,0.04728996509220451,-0.5183326601982117,0.5625,0.5625
ETTh2,early_1_96,middle_193_336,all_shared,16,0.16975212430406827,-0.2696651518344879,0.375,0.5
ETTh2,early_1_96,middle_193_336,encoder,16,-0.014382482622750103,-0.6800076961517334,0.6875,0.6875
ETTh2,early_1_96,middle_193_336,readout_head,16,0.20951601484557614,-0.11801809072494507,0.1875,0.5
ETTh2,early_1_96,middle_193_336,target_path,16,0.1348861346486956,-0.39138439297676086,0.5,0.5
ETTh2,early_1_96,middle_97_192,all_shared,16,0.37917193677276373,-0.010099407285451889,0.0625,0.1875
ETTh2,early_1_96,middle_97_192,encoder,16,0.23718292627017945,-0.35477927327156067,0.375,0.4375
ETTh2,early_1_96,middle_97_192,readout_head,16,0.4064694168046117,0.043772000819444656,0.0,0.1875
ETTh2,early_1_96,middle_97_192,target_path,16,0.3100060886645224,-0.06662335246801376,0.125,0.1875
ETTh2,early_1_96,noisy_hard,all_shared,12,0.30396625647942227,-0.20392268896102905,0.25,0.25
ETTh2,early_1_96,noisy_hard,encoder,12,0.22805319788555303,-0.5845527648925781,0.3333333333333333,0.4166666666666667
ETTh2,early_1_96,noisy_hard,readout_head,12,0.3248364085642,-0.18496857583522797,0.16666666666666666,0.25
ETTh2,early_1_96,noisy_hard,target_path,12,0.30825142298514646,-0.17728841304779053,0.25,0.4166666666666667
ETTh2,early_1_96,predictable_easy,all_shared,16,0.46263390709646046,0.010670732706785202,0.0,0.0625
ETTh2,early_1_96,predictable_easy,encoder,16,0.2593711563386023,-0.42072364687919617,0.25,0.375
ETTh2,early_1_96,predictable_easy,readout_head,16,0.5045683598145843,0.14453423023223877,0.0,0.0
ETTh2,early_1_96,predictable_easy,target_path,16,0.4601607610238716,-0.08098500221967697,0.0625,0.125
ETTh2,full_1_720,late_337_720,all_shared,16,0.9400624856352806,0.8919050693511963,0.0,0.0
ETTh2,full_1_720,late_337_720,encoder,16,0.9454461634159088,0.7382752895355225,0.0,0.0
ETTh2,full_1_720,late_337_720,readout_head,16,0.9405798837542534,0.8952677249908447,0.0,0.0
ETTh2,full_1_720,late_337_720,target_path,16,0.9220553375780582,0.8010515570640564,0.0,0.0
ETTh2,full_1_720,learnable_hard,all_shared,16,0.7839900441467762,0.21550285816192627,0.0,0.0
ETTh2,full_1_720,learnable_hard,encoder,16,0.7960646441206336,0.12554015219211578,0.0,0.0
ETTh2,full_1_720,learnable_hard,readout_head,16,0.7829371625557542,0.24015428125858307,0.0,0.0
ETTh2,full_1_720,learnable_hard,target_path,16,0.7260521666612476,0.03601944074034691,0.0,0.0625
ETTh2,full_1_720,middle_193_336,all_shared,16,0.8334960304200649,0.3733644485473633,0.0,0.0
ETTh2,full_1_720,middle_193_336,encoder,16,0.8108541695401073,0.15558362007141113,0.0,0.0
ETTh2,full_1_720,middle_193_336,readout_head,16,0.8366377856582403,0.41309604048728943,0.0,0.0
ETTh2,full_1_720,middle_193_336,target_path,16,0.7751426761969924,0.2022184580564499,0.0,0.0
ETTh2,full_1_720,middle_97_192,all_shared,16,0.7156843412667513,0.2965298891067505,0.0,0.0
ETTh2,full_1_720,middle_97_192,encoder,16,0.6053483160212636,-0.379300057888031,0.125,0.125
ETTh2,full_1_720,middle_97_192,readout_head,16,0.7368942592293024,0.38083910942077637,0.0,0.0
ETTh2,full_1_720,middle_97_192,target_path,16,0.6296432451345026,0.09993525594472885,0.0,0.0625
ETTh2,full_1_720,noisy_hard,all_shared,12,0.7488077593346437,0.19689930975437164,0.0,0.0
ETTh2,full_1_720,noisy_hard,encoder,12,0.7553720275561014,-0.2262987494468689,0.08333333333333333,0.08333333333333333
ETTh2,full_1_720,noisy_hard,readout_head,12,0.7488489076495171,0.26255330443382263,0.0,0.0
ETTh2,full_1_720,noisy_hard,target_path,12,0.6711628946165243,0.11049394309520721,0.0,0.0
ETTh2,full_1_720,predictable_easy,all_shared,16,0.9769551642239094,0.9438372254371643,0.0,0.0
ETTh2,full_1_720,predictable_easy,encoder,16,0.9787833765149117,0.9240572452545166,0.0,0.0
ETTh2,full_1_720,predictable_easy,readout_head,16,0.9769898988306522,0.9422546029090881,0.0,0.0
ETTh2,full_1_720,predictable_easy,target_path,16,0.9687948226928711,0.9177145957946777,0.0,0.0
ETTh2,late_337_720,learnable_hard,all_shared,16,0.8447697786614299,0.16650407016277313,0.0,0.0
ETTh2,late_337_720,learnable_hard,encoder,16,0.867153475061059,0.09115305542945862,0.0,0.0625
ETTh2,late_337_720,learnable_hard,readout_head,16,0.8402814334258437,0.1962445229291916,0.0,0.0
ETTh2,late_337_720,learnable_hard,target_path,16,0.7927127073053271,-0.052421268075704575,0.0625,0.0625
ETTh2,late_337_720,middle_193_336,all_shared,16,0.7190960794687271,0.24831056594848633,0.0,0.0
ETTh2,late_337_720,middle_193_336,encoder,16,0.7002004571259022,-0.09814969450235367,0.0625,0.0625
ETTh2,late_337_720,middle_193_336,readout_head,16,0.7241681292653084,0.2914375066757202,0.0,0.0
ETTh2,late_337_720,middle_193_336,target_path,16,0.6253883256576955,0.044842444360256195,0.0,0.0625
ETTh2,late_337_720,middle_97_192,all_shared,16,0.5236580995260738,-0.011753362603485584,0.0625,0.125
ETTh2,late_337_720,middle_97_192,encoder,16,0.42403658479452133,-0.6157326698303223,0.1875,0.1875
ETTh2,late_337_720,middle_97_192,readout_head,16,0.5510690757073462,0.09400273114442825,0.0,0.0625
ETTh2,late_337_720,middle_97_192,target_path,16,0.41300218272954226,-0.20254313945770264,0.1875,0.1875
ETTh2,late_337_720,noisy_hard,all_shared,12,0.7356659316768249,0.09666713327169418,0.0,0.08333333333333333
ETTh2,late_337_720,noisy_hard,encoder,12,0.7005608752369881,-0.3190682530403137,0.08333333333333333,0.08333333333333333
ETTh2,late_337_720,noisy_hard,readout_head,12,0.7468952437241873,0.19542056322097778,0.0,0.0
ETTh2,late_337_720,noisy_hard,target_path,12,0.6407147161662579,-0.07578073441982269,0.08333333333333333,0.08333333333333333
ETTh2,late_337_720,predictable_easy,all_shared,16,0.8787785619497299,0.7508248090744019,0.0,0.0
ETTh2,late_337_720,predictable_easy,encoder,16,0.8891083896160126,0.6976110339164734,0.0,0.0
ETTh2,late_337_720,predictable_easy,readout_head,16,0.8795134425163269,0.7683209776878357,0.0,0.0
ETTh2,late_337_720,predictable_easy,target_path,16,0.8501649871468544,0.7158910632133484,0.0,0.0
ETTh2,learnable_hard,middle_193_336,all_shared,16,0.6639829967170954,0.43184539675712585,0.0,0.0
ETTh2,learnable_hard,middle_193_336,encoder,16,0.6675624288618565,0.06932620704174042,0.0,0.0625
ETTh2,learnable_hard,middle_193_336,readout_head,16,0.6615781784057617,0.4568833112716675,0.0,0.0
ETTh2,learnable_hard,middle_193_336,target_path,16,0.5797408982180059,-0.017354167997837067,0.0625,0.0625
ETTh2,learnable_hard,middle_97_192,all_shared,16,0.44125385000370443,-0.08770743012428284,0.125,0.1875
ETTh2,learnable_hard,middle_97_192,encoder,16,0.3345318561187014,-0.5886339545249939,0.375,0.375
ETTh2,learnable_hard,middle_97_192,readout_head,16,0.46682087099179626,0.02961578220129013,0.0,0.1875
ETTh2,learnable_hard,middle_97_192,target_path,16,0.3501161674503237,-0.25705254077911377,0.1875,0.1875
ETTh2,learnable_hard,noisy_hard,all_shared,12,0.5398880361268917,0.11090188473463058,0.0,0.0
ETTh2,learnable_hard,noisy_hard,encoder,12,0.5220710916134218,-0.270155131816864,0.08333333333333333,0.25
ETTh2,learnable_hard,noisy_hard,readout_head,12,0.5458182481427988,0.13227078318595886,0.0,0.0
ETTh2,learnable_hard,noisy_hard,target_path,12,0.41660009083958965,-0.12933455407619476,0.16666666666666666,0.25
ETTh2,learnable_hard,predictable_easy,all_shared,16,0.6775821195915341,0.15000243484973907,0.0,0.0
ETTh2,learnable_hard,predictable_easy,encoder,16,0.7043307954445481,0.07736091315746307,0.0,0.0625
ETTh2,learnable_hard,predictable_easy,readout_head,16,0.676281395368278,0.17205677926540375,0.0,0.0
ETTh2,learnable_hard,predictable_easy,target_path,16,0.5973338037729263,-0.03739398717880249,0.0625,0.0625
ETTh2,middle_193_336,middle_97_192,all_shared,16,0.6423030374571681,0.2318480759859085,0.0,0.0
ETTh2,middle_193_336,middle_97_192,encoder,16,0.6156680192798376,-0.32584646344184875,0.0625,0.0625
ETTh2,middle_193_336,middle_97_192,readout_head,16,0.6498056352138519,0.3311174213886261,0.0,0.0
ETTh2,middle_193_336,middle_97_192,target_path,16,0.5280457339249551,-0.07340437918901443,0.0625,0.0625
ETTh2,middle_193_336,noisy_hard,all_shared,12,0.5845122088988622,0.3311072289943695,0.0,0.0
