model,strategy,dataset,baseline_model,settings,mse_wins,mean_relative_mse_pct,mean_relative_mae_pct
PatchEncoderR3PrefixRisk,D1_r3_prefix_risk,ETTh2,PatchEncoderR3PrefixRisk,4,0,0.0,0.0
PatchEncoderR3PrefixRisk,D1_r3_prefix_risk,ETTm1,PatchEncoderR3PrefixRisk,4,0,0.0,0.0
PatchEncoderR3PrefixRisk,D1_r3_prefix_risk,Weather,PatchEncoderR3PrefixRisk,4,0,0.0,0.0
PatchEncoderFullTimeMSE720,D0_full_time_mse,ETTh2,PatchEncoderR3PrefixRisk,4,0,5.46058675998779,3.539423649304907
PatchEncoderFullTimeMSE720,D0_full_time_mse,ETTm1,PatchEncoderR3PrefixRisk,4,0,5.08877938653266,3.144368490388727
PatchEncoderFullTimeMSE720,D0_full_time_mse,Weather,PatchEncoderR3PrefixRisk,4,0,4.813677403683469,2.834947474647176
PatchEncoderRandomFutureMask,D2_random_future_mask,ETTh2,PatchEncoderR3PrefixRisk,4,0,3.5856946254980597,2.4475030616242455
PatchEncoderRandomFutureMask,D2_random_future_mask,ETTm1,PatchEncoderR3PrefixRisk,4,1,3.372383858347999,2.2748073030941454
PatchEncoderRandomFutureMask,D2_random_future_mask,Weather,PatchEncoderR3PrefixRisk,4,0,3.568750482158972,3.9519685001553837
PatchEncoderIntervalSupervision,D3_interval_supervision,ETTh2,PatchEncoderR3PrefixRisk,4,2,-0.36252454629293607,0.5619236550861828
PatchEncoderIntervalSupervision,D3_interval_supervision,ETTm1,PatchEncoderR3PrefixRisk,4,0,5.602563607701983,3.526438534692511
PatchEncoderIntervalSupervision,D3_interval_supervision,Weather,PatchEncoderR3PrefixRisk,4,0,7.123308644255544,5.192835798422391
PatchEncoderComponentTop,D4_component_basis_top,ETTh2,PatchEncoderR3PrefixRisk,4,0,3.7067640879193897,2.1781125166386026
PatchEncoderComponentTop,D4_component_basis_top,ETTm1,PatchEncoderR3PrefixRisk,4,0,5.497839572749369,3.6276045088891373
PatchEncoderComponentTop,D4_component_basis_top,Weather,PatchEncoderR3PrefixRisk,4,0,3.9148660894332665,2.335857053442092
PatchEncoderComponentBalanced,D5_component_basis_balanced,ETTh2,PatchEncoderR3PrefixRisk,4,0,2.788784310628217,1.965529050344167
PatchEncoderComponentBalanced,D5_component_basis_balanced,ETTm1,PatchEncoderR3PrefixRisk,4,0,5.324855159360209,3.499732505290576
PatchEncoderComponentBalanced,D5_component_basis_balanced,Weather,PatchEncoderR3PrefixRisk,4,0,3.6146257662937717,2.475283234914172
PatchEncoderCurriculumUnits,D6_curriculum_units,ETTh2,PatchEncoderR3PrefixRisk,4,0,3.7067640879193897,2.1781125166386026
PatchEncoderCurriculumUnits,D6_curriculum_units,ETTm1,PatchEncoderR3PrefixRisk,4,0,5.497839572749369,3.6276045088891373
PatchEncoderCurriculumUnits,D6_curriculum_units,Weather,PatchEncoderR3PrefixRisk,4,0,3.9148660894332665,2.335857053442092
