model,strategy,target_horizon,baseline_model,segments,segment_wins,mean_relative_mse_pct
PatchEncoderR3PrefixRisk,D1_r3_prefix_risk,96,PatchEncoderR3PrefixRisk,3,0,0.0
PatchEncoderR3PrefixRisk,D1_r3_prefix_risk,720,PatchEncoderR3PrefixRisk,12,0,0.0
PatchEncoderFullTimeMSE720,D0_full_time_mse,96,PatchEncoderR3PrefixRisk,3,0,8.116813495241203
PatchEncoderFullTimeMSE720,D0_full_time_mse,720,PatchEncoderR3PrefixRisk,12,1,3.9565615714178937
PatchEncoderRandomFutureMask,D2_random_future_mask,96,PatchEncoderR3PrefixRisk,3,0,6.860500151150347
PatchEncoderRandomFutureMask,D2_random_future_mask,720,PatchEncoderR3PrefixRisk,12,2,2.54533932996924
PatchEncoderIntervalSupervision,D3_interval_supervision,96,PatchEncoderR3PrefixRisk,3,0,7.652247475288691
PatchEncoderIntervalSupervision,D3_interval_supervision,720,PatchEncoderR3PrefixRisk,12,3,3.5230997362054555
PatchEncoderComponentTop,D4_component_basis_top,96,PatchEncoderR3PrefixRisk,3,0,6.541707950325344
PatchEncoderComponentTop,D4_component_basis_top,720,PatchEncoderR3PrefixRisk,12,1,3.624579279896695
PatchEncoderComponentBalanced,D5_component_basis_balanced,96,PatchEncoderR3PrefixRisk,3,0,6.029004691464035
PatchEncoderComponentBalanced,D5_component_basis_balanced,720,PatchEncoderR3PrefixRisk,12,2,3.218831317005653
PatchEncoderCurriculumUnits,D6_curriculum_units,96,PatchEncoderR3PrefixRisk,3,0,6.541707950325344
PatchEncoderCurriculumUnits,D6_curriculum_units,720,PatchEncoderR3PrefixRisk,12,1,3.624579279896695
