model,strategy,dataset,training_evaluation_decoupled,train_horizons_effective,epochs_ran,trace_rows,unit_types,curriculum_phases,mean_active_step_ratio,mean_unit_loss,component_top_rank_variance
PatchEncoderR3PrefixRisk,D1_r3_prefix_risk,ETTh2,False,"96,192,336,720",11,2000,horizon_mixed:2000,none:2000,1.0,0.5114542225748301,0.0
PatchEncoderR3PrefixRisk,D1_r3_prefix_risk,ETTm1,False,"96,192,336,720",11,2000,horizon_mixed:2000,none:2000,1.0,0.4277696075886488,0.0
PatchEncoderR3PrefixRisk,D1_r3_prefix_risk,Weather,False,"96,192,336,720",11,2000,horizon_mixed:2000,none:2000,1.0,0.7398512164652348,0.0
PatchEncoderFullTimeMSE720,D0_full_time_mse,ETTh2,True,720,13,767,full_time:767,none:767,1.0,0.6612716996374466,0.0
PatchEncoderFullTimeMSE720,D0_full_time_mse,ETTm1,True,720,12,2000,full_time:2000,none:2000,1.0,0.37076550142467024,0.0
PatchEncoderFullTimeMSE720,D0_full_time_mse,Weather,True,720,14,2000,full_time:2000,none:2000,1.0,0.5773162700533867,0.0
PatchEncoderRandomFutureMask,D2_random_future_mask,ETTh2,True,720,14,826,mask:826,none:826,0.5333333333333333,0.6597258949034439,0.0
PatchEncoderRandomFutureMask,D2_random_future_mask,ETTm1,True,720,12,2000,mask:2000,none:2000,0.5333333333333333,0.38239788402616975,0.0
PatchEncoderRandomFutureMask,D2_random_future_mask,Weather,True,720,13,2000,mask:2000,none:2000,0.5333333333333333,0.5897880612462759,0.0
PatchEncoderIntervalSupervision,D3_interval_supervision,ETTh2,True,720,11,649,interval:649,none:649,0.16425269645608628,0.7055566368742239,0.0
PatchEncoderIntervalSupervision,D3_interval_supervision,ETTm1,True,720,13,2000,interval:2000,none:2000,0.16833333333333333,0.4181958782300353,0.0
PatchEncoderIntervalSupervision,D3_interval_supervision,Weather,True,720,15,2000,interval:2000,none:2000,0.16833333333333333,0.6361901124939322,0.0
PatchEncoderComponentTop,D4_component_basis_top,ETTh2,True,720,14,826,component_top:826,none:826,1.0,0.7870485528618025,0.8734817504882812
PatchEncoderComponentTop,D4_component_basis_top,ETTm1,True,720,12,2000,component_top:2000,none:2000,1.0,0.7001662096679211,0.8805087804794312
PatchEncoderComponentTop,D4_component_basis_top,Weather,True,720,14,2000,component_top:2000,none:2000,1.0,0.7708165464699268,0.7898633480072021
PatchEncoderComponentBalanced,D5_component_basis_balanced,ETTh2,True,720,14,826,component_balanced:826,none:826,1.0,0.7996145907527886,0.8734817504882812
PatchEncoderComponentBalanced,D5_component_basis_balanced,ETTm1,True,720,12,2000,component_balanced:2000,none:2000,1.0,0.7558195191919803,0.8805087804794312
PatchEncoderComponentBalanced,D5_component_basis_balanced,Weather,True,720,14,2000,component_balanced:2000,none:2000,1.0,0.8155433003604412,0.7898633480072021
PatchEncoderCurriculumUnits,D6_curriculum_units,ETTh2,True,720,14,826,component_top:826,coarse:826,1.0,0.7870485528618025,0.8734817504882812
PatchEncoderCurriculumUnits,D6_curriculum_units,ETTm1,True,720,12,2000,component_top:2000,coarse:2000,1.0,0.7001662096679211,0.8805087804794312
PatchEncoderCurriculumUnits,D6_curriculum_units,Weather,True,720,14,2000,component_top:2000,coarse:2000,1.0,0.7708165464699268,0.7898633480072021
