strategy,baseline_strategy,segments,mse_wins,mae_wins,mean_relative_mse_pct,mean_relative_mae_pct,dataset,future_region
HSSG-A_region_routed_readout,D0_full_time_mse,4,4,4,-6.9361740687374605,-4.087431834910507,ETTh2,early_1_96
HSSG-A_region_routed_readout,D0_full_time_mse,1,1,1,-3.0253966679187894,-1.6252474944073891,ETTh2,late_337_720
HSSG-A_region_routed_readout,D0_full_time_mse,5,5,5,-3.291173934203697,-1.6429556535179857,ETTh2,middle_97_336
HSSG-A_region_routed_readout,D0_full_time_mse,4,4,0,-0.36162877855170084,1.257078622336394,Weather,early_1_96
HSSG-A_region_routed_readout,D0_full_time_mse,1,1,1,-5.595227714745043,-2.273652190470077,Weather,late_337_720
HSSG-A_region_routed_readout,D0_full_time_mse,5,5,5,-3.4511198431207935,-1.0691833938121742,Weather,middle_97_336
HSSG-A_region_routed_readout,D2_r3_prefix_risk,4,0,0,1.8799320699041167,1.2256685168075376,ETTh2,early_1_96
HSSG-A_region_routed_readout,D2_r3_prefix_risk,1,1,0,-1.181907177775865,0.5777788892030511,ETTh2,late_337_720
HSSG-A_region_routed_readout,D2_r3_prefix_risk,5,5,4,-1.7291653464125245,-0.41416385570806513,ETTh2,middle_97_336
HSSG-A_region_routed_readout,D2_r3_prefix_risk,4,0,0,3.9135187539403815,5.159933447051424,Weather,early_1_96
HSSG-A_region_routed_readout,D2_r3_prefix_risk,1,0,0,0.16290379401717736,0.23162294329053257,Weather,late_337_720
HSSG-A_region_routed_readout,D2_r3_prefix_risk,5,0,0,0.9020823243287346,0.735671416146273,Weather,middle_97_336
HSSG-A_region_routed_readout,D1_single_720_prefix_risk,4,0,0,1.9273900852570414,1.3071115095742936,ETTh2,early_1_96
HSSG-A_region_routed_readout,D1_single_720_prefix_risk,1,1,1,-3.5494464643512136,-2.043437135299453,ETTh2,late_337_720
HSSG-A_region_routed_readout,D1_single_720_prefix_risk,5,5,3,-1.200652957533206,-0.24278113483585884,ETTh2,middle_97_336
HSSG-A_region_routed_readout,D1_single_720_prefix_risk,4,0,0,3.157773138147685,4.1372626050528325,Weather,early_1_96
HSSG-A_region_routed_readout,D1_single_720_prefix_risk,1,1,1,-1.7440180593012555,-0.7888915205456759,Weather,late_337_720
HSSG-A_region_routed_readout,D1_single_720_prefix_risk,5,2,2,-0.18874871178673258,0.25790373380335296,Weather,middle_97_336
