dataset,target_horizon,effective_learning_rate,source_learning_rate,mse_abs_diff,mae_abs_diff
ETTh2,96,0.0001,0.0005,0.010056734085083008,0.005911827087402344
ETTh2,192,0.0001,0.0005,0.01010972261428833,0.006785273551940918
ETTh2,336,0.0001,0.0005,0.003919512033462524,0.002308964729309082
ETTh2,720,0.0001,0.0005,0.00382232666015625,0.001429051160812378
ETTm1,96,0.0001,0.0001,0.0,0.0
ETTm1,192,0.0001,0.0001,0.0,0.0
ETTm1,336,0.0001,0.0001,0.0,0.0
ETTm1,720,0.0001,0.0001,0.0,0.0
Weather,96,0.0001,0.0001,0.0,0.0
Weather,192,0.0001,0.0001,0.0,0.0
Weather,336,0.0001,0.0001,0.0,0.0
Weather,720,0.0001,0.0001,0.0,0.0
