dataset,unit_size,seed,parallel_test_mse,composed_test_mse,composed_vs_parallel_mse_pct,composed_win,parameter_delta,parallel_prefix_max_abs,composed_prefix_max_abs,unit_0_relative_mse_pct,unit_1_relative_mse_pct,unit_2_relative_mse_pct,unit_3_relative_mse_pct
ETTh2,180,2021,1.6666266865200468,2.1185749265882703,27.117544902146108,False,0,0.0,0.0,-20.41864125613927,23.455647035601036,42.5270661020978,46.902124678406224
ETTh2,180,2022,2.08036371866862,1.415896150800917,-31.939970972621335,True,0,0.0,0.0,-8.290665395043007,-36.24467090990778,-40.79436693994035,-36.132068145389276
ETTh2,180,2023,1.38498748143514,1.9223835627237955,38.80151181812845,False,0,0.0,0.0,-7.56486678097904,37.29345557216301,55.80634444892447,55.6221773438619
ETTh2,240,2021,1.6312362353007,1.9644276512993706,20.42569977224975,False,0,0.0,0.0,-16.159583550927003,25.585344202873618,40.780588084468626,
ETTh2,240,2022,2.027126333448622,2.213715892367893,9.204633960915398,False,0,0.0,0.0,6.373398266853991,-6.989932007334875,22.625958149570135,
ETTh2,240,2023,1.3899864514668783,1.8082195070054796,30.089002313456525,False,0,0.0,0.0,-5.491784521710641,37.19645333200761,48.255634991466856,
ETTm1,180,2021,0.8214850743611654,0.8559649679395888,4.197263548000185,False,0,0.0,0.0,0.05809070067268607,7.382189369137726,2.5846397471703364,6.277210374069253
ETTm1,180,2022,0.843526734246148,0.8970828268263075,6.349068785356526,False,0,0.0,0.0,0.12708942728203443,5.812942277353739,5.452810553657628,12.853194728692063
ETTm1,180,2023,0.836404546101888,0.8501557985941569,1.6440910748701132,False,0,0.0,0.0,-4.279567969316678,3.1404195554902703,1.360704359010989,5.661363799383423
ETTm1,240,2021,0.8668876647949219,0.8197370211283366,-5.439071933009865,True,0,0.0,0.0,-6.535827527444493,-4.9589527671575535,-4.918995952973637,
ETTm1,240,2022,0.8466145303514269,0.8038290871514214,-5.053710002147649,True,0,0.0,0.0,-5.368322813735449,-9.115043338681694,-0.7112095489549719,
ETTm1,240,2023,0.8571740468343099,0.8447683440314399,-1.4472793301064546,True,0,0.0,0.0,-4.065737507557254,-6.917464596785983,6.3223264130985335,
Weather,180,2021,10.618358527289496,10.296508280436198,-3.031073456656541,True,0,0.0,0.0,-7.720383785862495,-4.2119990464711154,-2.529674733420195,0.5567256486289196
Weather,180,2022,10.448316616482204,9.717131720648872,-6.998111970304278,True,0,0.0,0.0,-4.95749213270863,-5.7207752378937045,-8.022666112098786,-7.9452271109691335
Weather,180,2023,10.54097162882487,10.573369428846572,0.3073511737106793,False,0,0.0,0.0,3.7676277507735723,-0.47832377997869546,-1.617294259519042,3.1774155647458224
Weather,240,2021,10.493805525037978,9.87419408162435,-5.904544751999163,True,0,0.0,0.0,-6.292902246272403,-5.510288963243748,-6.248045309883832,
Weather,240,2022,10.878726365831163,9.953033532036676,-8.509202296897389,True,0,0.0,0.0,-11.671262038184004,-7.9621116085625605,-7.481423902614692,
Weather,240,2023,10.575694274902343,10.618775261773003,0.40735847454380636,False,0,0.0,0.0,-5.664158622997862,-0.3819774491056527,5.203001280535147,
