dataset,unit_size,metric,batches,bootstrap_iterations,mean,p05,p50,p95
ETTh2,180,delta_cosine,8,1000,0.00819929440816243,0.005142599220077197,0.008114142964283623,0.011612409912049756
ETTh2,180,delta_js,8,1000,0.0019108559620993524,0.0015269634715271727,0.001906647131666735,0.0023388917311422115
ETTh2,180,mean_sensitivity_cosine,8,1000,0.9916676245629787,0.9909495910008749,0.9916802663356066,0.9924221385270356
ETTh2,240,delta_cosine,8,1000,0.004273620744546278,0.0026135036100944213,0.004136133939027807,0.0061065036803484045
ETTh2,240,delta_js,8,1000,0.0010539736019078798,0.0008421731502191202,0.00104707923795407,0.0012948063706668715
ETTh2,240,mean_sensitivity_cosine,8,1000,0.993276871740818,0.9928007423877717,0.9932694161931674,0.9937570914626122
ETTm1,180,delta_cosine,8,1000,-0.0022830789287884984,-0.0032031570871671076,-0.002308163791894899,-0.0012870813409487545
ETTm1,180,delta_js,8,1000,0.0001016077367997544,-3.443919116534739e-05,9.253008079213032e-05,0.00024811433002772283
ETTm1,180,mean_sensitivity_cosine,8,1000,0.9942822319765885,0.9937045899530252,0.9942496921867132,0.9948953329895933
ETTm1,240,delta_cosine,8,1000,-0.0026798322796821455,-0.0033231711635986682,-0.0026695802807807645,-0.001998963952064524
ETTm1,240,delta_js,8,1000,-5.288848478812731e-05,-0.00016029304521604604,-5.5240849178517305e-05,5.363618547562503e-05
ETTm1,240,mean_sensitivity_cosine,8,1000,0.9932799811164539,0.9930677548050881,0.9932796508073807,0.9934879552572966
Weather,180,delta_cosine,8,1000,-0.02712193379799524,-0.02940927085777125,-0.02712193379799524,-0.024877861266334837
Weather,180,delta_js,8,1000,-0.0003158352046739308,-0.0011925659158199171,-0.0002899022935404596,0.0005913370204022315
Weather,180,mean_sensitivity_cosine,8,1000,0.9485658618311088,0.9464240148663521,0.9485863919059435,0.950927211282154
Weather,240,delta_cosine,8,1000,-0.028860735396544143,-0.03154509166876472,-0.028831041107575103,-0.026460108906030674
Weather,240,delta_js,8,1000,-0.00038137974722000467,-0.0015319312127151834,-0.0003243072812135024,0.0006730900068456923
Weather,240,mean_sensitivity_cosine,8,1000,0.94473451624314,0.9416565272957086,0.9446554568906624,0.9478474422047535
