dataset,batch_idx,patch_count,patch_len,patch_stride,first_patch_start,last_patch_start,min_position_coverage,max_position_coverage,manual_patch_max_abs_diff,reconstruction_max_abs_diff,forecast_max_abs_diff
ETTh2,0,29,48,24,0,672,1,2,0.0,0.0,0.0
ETTh2,1,29,48,24,0,672,1,2,0.0,0.0,0.0
ETTh2,2,29,48,24,0,672,1,2,0.0,0.0,0.0
ETTh2,3,29,48,24,0,672,1,2,0.0,0.0,0.0
ETTh2,4,29,48,24,0,672,1,2,0.0,0.0,0.0
ETTh2,5,29,48,24,0,672,1,2,0.0,0.0,0.0
ETTh2,6,29,48,24,0,672,1,2,0.0,0.0,0.0
ETTh2,7,29,48,24,0,672,1,2,0.0,0.0,0.0
ETTm1,0,29,48,24,0,672,1,2,0.0,0.0,0.0
ETTm1,1,29,48,24,0,672,1,2,0.0,0.0,0.0
ETTm1,2,29,48,24,0,672,1,2,0.0,0.0,0.0
ETTm1,3,29,48,24,0,672,1,2,0.0,0.0,0.0
ETTm1,4,29,48,24,0,672,1,2,0.0,0.0,0.0
ETTm1,5,29,48,24,0,672,1,2,0.0,0.0,0.0
ETTm1,6,29,48,24,0,672,1,2,0.0,0.0,0.0
ETTm1,7,29,48,24,0,672,1,2,0.0,0.0,0.0
Weather,0,29,48,24,0,672,1,2,0.0,0.0,0.0
Weather,1,29,48,24,0,672,1,2,0.0,0.0,0.0
Weather,2,29,48,24,0,672,1,2,0.0,0.0,0.0
Weather,3,29,48,24,0,672,1,2,0.0,0.0,0.0
Weather,4,29,48,24,0,672,1,2,0.0,0.0,0.0
Weather,5,29,48,24,0,672,1,2,0.0,0.0,0.0
Weather,6,29,48,24,0,672,1,2,0.0,0.0,0.0
Weather,7,29,48,24,0,672,1,2,0.0,0.0,0.0
