comparison,candidate_arm,baseline_arm,dataset,target_horizon,status,candidate_mse,baseline_mse,relative_mse_pct,candidate_mae,baseline_mae,relative_mae_pct,candidate_wins_mse
b9_fsn_scf_vs_a6_clean,b9_fsn_scf,a6_clean,ETTh2,96,ok,0.24371108412742615,0.24416223168373108,-0.1847736864108107,0.314494252204895,0.31473836302757263,-0.07755992003307677,True
b9_fsn_scf_vs_a6_clean,b9_fsn_scf,a6_clean,ETTh2,192,ok,0.28573015332221985,0.2861934006214142,-0.16186512274164455,0.3469383120536804,0.3473576307296753,-0.12071670200940465,True
b9_fsn_scf_vs_a6_clean,b9_fsn_scf,a6_clean,ETTh2,336,ok,0.31354087591171265,0.31436556577682495,-0.2623346685806438,0.37148815393447876,0.37210166454315186,-0.16487714706311385,True
b9_fsn_scf_vs_a6_clean,b9_fsn_scf,a6_clean,ETTh2,720,ok,0.39279839396476746,0.3950280547142029,-0.5644309873253262,0.4289947748184204,0.4309396743774414,-0.45131596709695465,True
b9_fsn_scf_vs_a6_clean,b9_fsn_scf,a6_clean,ETTm1,96,ok,0.27238672971725464,0.27276551723480225,-0.13886928281390265,0.33055299520492554,0.33084431290626526,-0.0880528061010577,True
b9_fsn_scf_vs_a6_clean,b9_fsn_scf,a6_clean,ETTm1,192,ok,0.30897995829582214,0.3091461658477783,-0.05376342012859414,0.35268160700798035,0.35286661982536316,-0.05243137406263365,True
b9_fsn_scf_vs_a6_clean,b9_fsn_scf,a6_clean,ETTm1,336,ok,0.34684255719184875,0.34693026542663574,-0.025281228975260195,0.37361225485801697,0.3737157881259918,-0.027703744734475233,True
b9_fsn_scf_vs_a6_clean,b9_fsn_scf,a6_clean,ETTm1,720,ok,0.4081898629665375,0.40836983919143677,-0.04407187006162383,0.4052317440509796,0.4053221046924591,-0.02229353899858566,True
b9_fsn_scf_vs_a6_clean,b9_fsn_scf,a6_clean,Weather,96,ok,0.14131170511245728,0.14136819541454315,-0.03995969667733856,0.18128465116024017,0.18159954249858856,-0.17339875090865986,True
b9_fsn_scf_vs_a6_clean,b9_fsn_scf,a6_clean,Weather,192,ok,0.182373046875,0.18240033090114594,-0.014958320531077707,0.2229677140712738,0.22314205765724182,-0.07813120834254672,True
b9_fsn_scf_vs_a6_clean,b9_fsn_scf,a6_clean,Weather,336,ok,0.23164035379886627,0.2316502183675766,-0.004258389558120523,0.2635065019130707,0.26356613636016846,-0.022625989788116474,True
b9_fsn_scf_vs_a6_clean,b9_fsn_scf,a6_clean,Weather,720,ok,0.30300477147102356,0.3030458390712738,-0.013551613305795573,0.3143928647041321,0.3143439292907715,0.015567475239941508,True
b9_no_stage_vs_a6_clean,b9_no_stage,a6_clean,ETTh2,96,ok,0.24371971189975739,0.24416223168373108,-0.18124006359300227,0.3145018219947815,0.31473836302757263,-0.07515481446741523,True
b9_no_stage_vs_a6_clean,b9_no_stage,a6_clean,ETTh2,192,ok,0.2857397794723511,0.2861934006214142,-0.1585016104767467,0.34694698452949524,0.3473576307296753,-0.1182200026288216,True
b9_no_stage_vs_a6_clean,b9_no_stage,a6_clean,ETTh2,336,ok,0.3134927451610565,0.31436556577682495,-0.2776451083666309,0.37146249413490295,0.37210166454315186,-0.17177305805219367,True
b9_no_stage_vs_a6_clean,b9_no_stage,a6_clean,ETTh2,720,ok,0.392759770154953,0.3950280547142029,-0.5742084725832819,0.42898139357566833,0.4309396743774414,-0.454421098405966,True
b9_no_stage_vs_a6_clean,b9_no_stage,a6_clean,ETTm1,96,ok,0.27235665917396545,0.27276551723480225,-0.14989360274775265,0.33056437969207764,0.33084431290626526,-0.08461176549434679,True
