dataset,variant,target_horizon,mse,mae,mse_delta_vs_full_pct,evaluated_batches
ETTh2,full,96,0.24416221278548222,0.31473835114433907,0.0,64
ETTh2,full,192,0.28619340046051933,0.34735762008828724,0.0,64
ETTh2,full,336,0.31436559222380966,0.37210167057553584,0.0,64
ETTh2,full,720,0.39502804280815945,0.4309396028555453,0.0,64
ETTh2,no_mlp_keep_norm,96,0.2481275655854434,0.3201053844915996,1.6240649012487118,64
ETTh2,no_mlp_keep_norm,192,0.3079202412870724,0.36636117778115773,7.591663816004135,64
ETTh2,no_mlp_keep_norm,336,0.3650447851451215,0.40967959679967547,16.12110045594024,64
ETTh2,no_mlp_keep_norm,720,0.5811636649974659,0.5359303039818426,47.11959709647775,64
ETTh2,embed_only,96,0.26748634127053705,0.33313213022322463,9.552718342025802,64
ETTh2,embed_only,192,0.31562285050160377,0.37067367114248667,10.283063828071825,64
ETTh2,embed_only,336,0.3569117417779959,0.4039402212741153,13.533971467175032,64
ETTh2,embed_only,720,0.46784836661290885,0.48225287760387975,18.434216286795046,64
ETTm1,full,96,0.28323257927383694,0.3338187297894841,0.0,64
ETTm1,full,192,0.3155694392820199,0.3525424003601074,0.0,64
ETTm1,full,336,0.3450371045239118,0.3677057842819058,0.0,64
ETTm1,full,720,0.38764304452472265,0.38769729591551283,0.0,64
ETTm1,no_mlp_keep_norm,96,0.3199319529036681,0.35765499089445385,12.95732776360774,64
ETTm1,no_mlp_keep_norm,192,0.34497359412766637,0.371358223259449,9.317808122531268,64
ETTm1,no_mlp_keep_norm,336,0.37020441159910084,0.3837445771613089,7.294087141704764,64
ETTm1,no_mlp_keep_norm,720,0.4092611329896109,0.4005540741814507,5.576802878378362,64
ETTm1,embed_only,96,0.5664955012145496,0.4852435489495595,100.01071298610968,64
ETTm1,embed_only,192,0.5860022380948067,0.49667348499808994,85.69676437239058,64
ETTm1,embed_only,336,0.6053330356977424,0.50147211308382,75.43998247173779,64
ETTm1,embed_only,720,0.6389490271371508,0.5111625739506312,64.82922527877338,64
Weather,full,96,0.13386645085281795,0.18027322254483663,0.0,64
Weather,full,192,0.17105216160416603,0.21990086824174912,0.0,64
Weather,full,336,0.21391916207445452,0.2578575519207113,0.0,64
Weather,full,720,0.27919716431350305,0.3074256276327466,0.0,64
Weather,no_mlp_keep_norm,96,0.15812544979982907,0.2113884084281467,18.121791376752896,64
Weather,no_mlp_keep_norm,192,0.19627843069888296,0.24861079407116723,14.747705529201882,64
Weather,no_mlp_keep_norm,336,0.23745723808703778,0.2835539098229268,11.003257391402288,64
Weather,no_mlp_keep_norm,720,0.3017179776751806,0.33079498583677586,8.066275822339497,64
Weather,embed_only,96,0.15812544979982907,0.2113884084281467,18.121791376752896,64
Weather,embed_only,192,0.19627843069888296,0.24861079407116723,14.747705529201882,64
Weather,embed_only,336,0.23745723808703778,0.2835539098229268,11.003257391402288,64
Weather,embed_only,720,0.3017179776751806,0.33079498583677586,8.066275822339497,64
