dataset,proxy,unit_start,unit_end,mse,detrended_mse,proxy_value,is_raw_top_quartile,is_detrended_top_quartile,is_proxy_top_quartile
ETTh2,label_novelty,0,48,0.1986394134,-0.0344017353,0.4422205718,0,0,0
ETTh2,label_novelty,48,96,0.2854897329,0.0294297359,0.7622243683,0,0,0
ETTh2,label_novelty,96,144,0.3081867121,0.0291078667,0.8555900174,0,0,0
ETTh2,label_novelty,144,192,0.3389071769,0.0368094832,0.9524175371,0,1,0
ETTh2,label_novelty,192,240,0.3559635165,0.0308469744,1.0018240710,0,1,0
ETTh2,label_novelty,240,288,0.3521915398,0.0040561494,1.0682250208,0,0,0
ETTh2,label_novelty,288,336,0.3505635695,-0.0205906692,1.1203317414,0,0,0
ETTh2,label_novelty,336,384,0.3579270615,-0.0362460256,1.1521453079,0,0,0
ETTh2,label_novelty,384,432,0.3659884981,-0.0512034373,1.1940131568,0,0,0
ETTh2,label_novelty,432,480,0.3972127592,-0.0429980246,1.2161799080,0,0,0
ETTh2,label_novelty,480,528,0.4261708108,-0.0370588213,1.2433570005,0,0,0
ETTh2,label_novelty,528,576,0.4850146245,-0.0012338560,1.3112075053,1,0,1
ETTh2,label_novelty,576,624,0.5392487743,0.0299814455,1.3740853293,1,0,1
ETTh2,label_novelty,624,672,0.5647823413,0.0324961642,1.4552185793,1,1,1
ETTh2,label_novelty,672,720,0.5863097754,0.0310047499,1.4899375262,1,1,1
ETTh2,local_variation,0,48,0.1986394134,-0.0344017353,0.0844341645,0,0,0
ETTh2,local_variation,48,96,0.2854897329,0.0294297359,0.0847475893,0,0,1
ETTh2,local_variation,96,144,0.3081867121,0.0291078667,0.0844661675,0,0,0
ETTh2,local_variation,144,192,0.3389071769,0.0368094832,0.0845386475,0,1,0
ETTh2,local_variation,192,240,0.3559635165,0.0308469744,0.0847342046,0,1,1
ETTh2,local_variation,240,288,0.3521915398,0.0040561494,0.0846333956,0,0,1
ETTh2,local_variation,288,336,0.3505635695,-0.0205906692,0.0844990733,0,0,0
ETTh2,local_variation,336,384,0.3579270615,-0.0362460256,0.0845419411,0,0,1
ETTh2,local_variation,384,432,0.3659884981,-0.0512034373,0.0844168056,0,0,0
ETTh2,local_variation,432,480,0.3972127592,-0.0429980246,0.0844294374,0,0,0
ETTh2,local_variation,480,528,0.4261708108,-0.0370588213,0.0843219602,0,0,0
ETTh2,local_variation,528,576,0.4850146245,-0.0012338560,0.0844948243,1,0,0
ETTh2,local_variation,576,624,0.5392487743,0.0299814455,0.0843375602,1,0,0
ETTh2,local_variation,624,672,0.5647823413,0.0324961642,0.0842262880,1,1,0
ETTh2,local_variation,672,720,0.5863097754,0.0310047499,0.0843253249,1,1,0
ETTh2,seasonal_residual,0,48,0.1986394134,-0.0344017353,0.3798957762,0,0,0
ETTh2,seasonal_residual,48,96,0.2854897329,0.0294297359,0.3833096495,0,0,1
ETTh2,seasonal_residual,96,144,0.3081867121,0.0291078667,0.3820907746,0,0,0
ETTh2,seasonal_residual,144,192,0.3389071769,0.0368094832,0.3851518010,0,1,1
ETTh2,seasonal_residual,192,240,0.3559635165,0.0308469744,0.3855370736,0,1,1
ETTh2,seasonal_residual,240,288,0.3521915398,0.0040561494,0.3833941958,0,0,1
ETTh2,seasonal_residual,288,336,0.3505635695,-0.0205906692,0.3734366191,0,0,0
ETTh2,seasonal_residual,336,384,0.3579270615,-0.0362460256,0.3705114876,0,0,0
ETTh2,seasonal_residual,384,432,0.3659884981,-0.0512034373,0.3660538359,0,0,0
ETTh2,seasonal_residual,432,480,0.3972127592,-0.0429980246,0.3668289086,0,0,0
ETTh2,seasonal_residual,480,528,0.4261708108,-0.0370588213,0.3663160507,0,0,0
ETTh2,seasonal_residual,528,576,0.4850146245,-0.0012338560,0.3668517130,1,0,0
ETTh2,seasonal_residual,576,624,0.5392487743,0.0299814455,0.3677059275,1,0,0
ETTh2,seasonal_residual,624,672,0.5647823413,0.0324961642,0.3662222395,1,1,0
ETTh2,seasonal_residual,672,720,0.5863097754,0.0310047499,0.3662830682,1,1,0
ETTm1,label_novelty,0,48,0.2485612384,-0.0506208715,0.6811491696,0,0,0
