dataset,arm,target_horizon,unit_start,unit_end,unit_len,mse,mae,sample_error_std,sample_error_cv,relative_to_dataset_min_mse_pct,unit_source
ETTh2,a6_lbf_r256,720,0,48,48,0.1986394134,0.2815636017,0.2087951871,1.0511266800,0.0000,predictions_test.npz
ETTh2,a6_lbf_r256,720,48,96,48,0.2854897329,0.3472647513,0.2947160987,1.0323176800,43.7226,predictions_test.npz
ETTh2,a6_lbf_r256,720,96,144,48,0.3081867121,0.3641195244,0.3176579490,1.0307321392,55.1488,predictions_test.npz
ETTh2,a6_lbf_r256,720,144,192,48,0.3389071769,0.3897648252,0.3126778027,0.9226060231,70.6143,predictions_test.npz
ETTh2,a6_lbf_r256,720,192,240,48,0.3559635165,0.4047059721,0.3132420152,0.8799834834,79.2008,predictions_test.npz
ETTh2,a6_lbf_r256,720,240,288,48,0.3521915398,0.4050767875,0.3050062294,0.8660237257,77.3019,predictions_test.npz
ETTh2,a6_lbf_r256,720,288,336,48,0.3505635695,0.4075253642,0.2972319625,0.8478689411,76.4824,predictions_test.npz
ETTh2,a6_lbf_r256,720,336,384,48,0.3579270615,0.4133723597,0.2890184101,0.8074785093,80.1893,predictions_test.npz
ETTh2,a6_lbf_r256,720,384,432,48,0.3659884981,0.4171664632,0.3038031814,0.8300894235,84.2477,predictions_test.npz
ETTh2,a6_lbf_r256,720,432,480,48,0.3972127592,0.4373241786,0.3386465140,0.8525569891,99.9667,predictions_test.npz
ETTh2,a6_lbf_r256,720,480,528,48,0.4261708108,0.4564682793,0.3376339616,0.7922503210,114.5449,predictions_test.npz
ETTh2,a6_lbf_r256,720,528,576,48,0.4850146245,0.4907041910,0.4130486059,0.8516209306,144.1684,predictions_test.npz
ETTh2,a6_lbf_r256,720,576,624,48,0.5392487743,0.5244382239,0.4480885134,0.8309495260,171.4712,predictions_test.npz
ETTh2,a6_lbf_r256,720,624,672,48,0.5647823413,0.5469297622,0.4144212628,0.7337716364,184.3254,predictions_test.npz
ETTh2,a6_lbf_r256,720,672,720,48,0.5863097754,0.5639866587,0.3856376875,0.6577370934,195.1629,predictions_test.npz
ETTm1,a6_lbf_r256,720,0,48,48,0.2485612384,0.3134040397,0.2535920529,1.0202397387,0.0000,predictions_test.npz
ETTm1,a6_lbf_r256,720,48,96,48,0.2976033955,0.3479750288,0.2909851330,0.9777614685,19.7304,predictions_test.npz
ETTm1,a6_lbf_r256,720,96,144,48,0.3435765604,0.3730877267,0.3356190291,0.9768391322,38.2261,predictions_test.npz
ETTm1,a6_lbf_r256,720,144,192,48,0.3476897341,0.3753698890,0.3312359236,0.9526767435,39.8809,predictions_test.npz
ETTm1,a6_lbf_r256,720,192,240,48,0.3843629995,0.3953831070,0.3741734471,0.9734897678,54.6351,predictions_test.npz
ETTm1,a6_lbf_r256,720,240,288,48,0.3889751794,0.3979461298,0.3822968623,0.9828309942,56.4907,predictions_test.npz
ETTm1,a6_lbf_r256,720,288,336,48,0.4194784944,0.4103244293,0.4156977182,0.9909869607,68.7626,predictions_test.npz
ETTm1,a6_lbf_r256,720,336,384,48,0.4216429515,0.4117465564,0.4147760119,0.9837138518,69.6334,predictions_test.npz
ETTm1,a6_lbf_r256,720,384,432,48,0.4390500828,0.4203644170,0.4359880729,0.9930258301,76.6366,predictions_test.npz
ETTm1,a6_lbf_r256,720,432,480,48,0.4387993311,0.4204227882,0.4377233985,0.9975480075,76.5357,predictions_test.npz
ETTm1,a6_lbf_r256,720,480,528,48,0.4635373241,0.4323179556,0.4505592723,0.9720021428,86.4882,predictions_test.npz
ETTm1,a6_lbf_r256,720,528,576,48,0.4684782591,0.4352780573,0.4500411128,0.9606446064,88.4760,predictions_test.npz
ETTm1,a6_lbf_r256,720,576,624,48,0.4833036179,0.4435315355,0.4557393418,0.9429669569,94.4405,predictions_test.npz
ETTm1,a6_lbf_r256,720,624,672,48,0.4786403099,0.4424744004,0.4490039151,0.9380821168,92.5643,predictions_test.npz
ETTm1,a6_lbf_r256,720,672,720,48,0.4948667252,0.4522824404,0.4522963892,0.9139761600,99.0925,predictions_test.npz
Weather,a6_lbf_r256,720,0,48,48,0.1116440726,0.1439644984,0.1422768220,1.2743786453,0.0000,predictions_test.npz
Weather,a6_lbf_r256,720,48,96,48,0.1710734916,0.2185896506,0.1778207315,1.0394405929,53.2311,predictions_test.npz
Weather,a6_lbf_r256,720,96,144,48,0.2050753835,0.2489976685,0.1933983993,0.9430600397,83.6868,predictions_test.npz
Weather,a6_lbf_r256,720,144,192,48,0.2419558522,0.2800486473,0.2117616550,0.8752078243,116.7207,predictions_test.npz
Weather,a6_lbf_r256,720,192,240,48,0.2750721501,0.3041634605,0.2323297409,0.8446138253,146.3831,predictions_test.npz
Weather,a6_lbf_r256,720,240,288,48,0.2978052938,0.3172319405,0.2577214309,0.8654024500,166.7453,predictions_test.npz
Weather,a6_lbf_r256,720,288,336,48,0.3197135966,0.3303476642,0.2816660146,0.8809947953,186.3686,predictions_test.npz
Weather,a6_lbf_r256,720,336,384,48,0.3359127867,0.3404365711,0.2948799914,0.8778468790,200.8783,predictions_test.npz
Weather,a6_lbf_r256,720,384,432,48,0.3442751307,0.3457266881,0.2918353645,0.8476806441,208.3685,predictions_test.npz
Weather,a6_lbf_r256,720,432,480,48,0.3564850026,0.3535188074,0.2925343007,0.8206075952,219.3049,predictions_test.npz
Weather,a6_lbf_r256,720,480,528,48,0.3669999055,0.3603016960,0.2925044472,0.7970150478,228.7231,predictions_test.npz
Weather,a6_lbf_r256,720,528,576,48,0.3708838418,0.3625437732,0.2879650362,0.7764291773,232.2020,predictions_test.npz
Weather,a6_lbf_r256,720,576,624,48,0.3784516598,0.3666349127,0.2898930375,0.7659975322,238.9805,predictions_test.npz
Weather,a6_lbf_r256,720,624,672,48,0.3865862494,0.3713769564,0.2917949900,0.7547991953,246.2667,predictions_test.npz
Weather,a6_lbf_r256,720,672,720,48,0.3890593490,0.3719487200,0.2886763978,0.7419855057,248.4819,predictions_test.npz
