variant,dataset,epoch_selector,epoch,train_loss,reconstructed_loss,prediction_l1,weighted_reconstruction_l1,weighted_alignment_loss,prediction_share,reconstruction_share,alignment_share,val_mean_mse,w_recon,w_align
a6_lbf_r256,ETTh2,best_val,3,0.5965590296,0.5965590298,0.4064638964,0.0983573798,0.0917377536,0.681347,0.164875,0.153778,0.4175242931,1.000000,0.100000
a6_lbf_r256,ETTh2,last,10,0.4873364941,0.4873364940,0.3803196585,0.0166053299,0.0904115056,0.780405,0.034074,0.185522,0.4586698934,1.000000,0.100000
a6_lbf_r256,ETTm1,best_val,9,0.4976344644,0.4976344641,0.3744746697,0.0816523354,0.0415074590,0.752510,0.164081,0.083410,0.6014749184,1.000000,0.100000
a6_lbf_r256,ETTm1,last,10,0.4971904068,0.4971904074,0.3742501586,0.0814460005,0.0414942483,0.752730,0.163812,0.083457,0.6019416898,1.000000,0.100000
a6_lbf_r256,Weather,best_val,5,0.3868812389,0.3868812393,0.3351196217,0.0048707504,0.0468908672,0.866208,0.012590,0.121202,0.4887669683,1.000000,0.100000
a6_lbf_r256,Weather,last,10,0.3777995299,0.3777995299,0.3304418435,0.0009381608,0.0464195255,0.874649,0.002483,0.122868,0.4903529063,1.000000,0.100000
official_unified,ETTh2,best_val,1,0.8527573223,0.8527573223,0.5425842995,0.2160855947,0.0940874280,0.636270,0.253396,0.110333,0.4068785012,1.000000,0.100000
official_unified,ETTh2,last,10,0.5688726207,0.5688726190,0.4557047430,0.0224544788,0.0907133973,0.801066,0.039472,0.159462,0.4913294166,1.000000,0.100000
official_unified,ETTm1,best_val,8,0.5532813610,0.5532813605,0.4286456527,0.0831865015,0.0414492063,0.774734,0.150351,0.074915,0.6157451347,1.000000,0.100000
official_unified,ETTm1,last,10,0.5519779155,0.5519779150,0.4282406029,0.0823460755,0.0413912367,0.775829,0.149184,0.074987,0.6160136238,1.000000,0.100000
official_unified,Weather,best_val,5,0.4475179234,0.4475179235,0.3957110220,0.0052305391,0.0465763624,0.884235,0.011688,0.104077,0.4895046279,1.000000,0.100000
official_unified,Weather,last,10,0.4381328573,0.4381328570,0.3909413162,0.0010835545,0.0461079863,0.892289,0.002473,0.105237,0.4907093272,1.000000,0.100000
