model,dataset,target_horizon,mse,mae
TimeAlignCarrierFixedH96,ETTh2,96,0.2776060402393341,0.333740234375
TimeAlignCarrierFixedH192,ETTh2,192,0.34608742594718933,0.3769344687461853
TimeAlignCarrierFixedH336,ETTh2,336,0.37340015172958374,0.4021376669406891
TimeAlignCarrierFixedH720,ETTh2,720,0.4263956844806671,0.45035669207572937
TimeAlignCarrierFixedH96,ETTm2,96,0.16123870015144348,0.24756276607513428
TimeAlignCarrierFixedH192,ETTm2,192,0.2158319354057312,0.28450268507003784
TimeAlignCarrierFixedH336,ETTm2,336,0.27088332176208496,0.32081741094589233
TimeAlignCarrierFixedH720,ETTm2,720,0.3472226858139038,0.37529322504997253
TimeAlignCarrierFixedH96,Weather,96,0.14964593946933746,0.19009435176849365
TimeAlignCarrierFixedH192,Weather,192,0.198689803481102,0.2381194680929184
TimeAlignCarrierFixedH336,Weather,336,0.24432256817817688,0.27259933948516846
TimeAlignCarrierFixedH720,Weather,720,0.3166704475879669,0.3269381821155548
