model,dataset,target_horizon,mse,mae
TimeAlignCarrierUnified720,ETTh2,96,0.25175195932388306,0.32124555110931396
TimeAlignCarrierUnified720,ETTh2,192,0.3020454943180084,0.35560938715934753
TimeAlignCarrierUnified720,ETTh2,336,0.3379392921924591,0.38622191548347473
TimeAlignCarrierUnified720,ETTh2,720,0.42650550603866577,0.44813427329063416
TimeAlignCarrierUnified720,ETTm2,96,0.16686369478702545,0.2497807741165161
TimeAlignCarrierUnified720,ETTm2,192,0.22081191837787628,0.2876600921154022
TimeAlignCarrierUnified720,ETTm2,336,0.27107295393943787,0.3222518563270569
TimeAlignCarrierUnified720,ETTm2,720,0.3472226858139038,0.37529322504997253
TimeAlignCarrierUnified720,Weather,96,0.1513024866580963,0.19513677060604095
TimeAlignCarrierUnified720,Weather,192,0.19306078553199768,0.2348906248807907
TimeAlignCarrierUnified720,Weather,336,0.24219438433647156,0.2736915051937103
TimeAlignCarrierUnified720,Weather,720,0.3113962411880493,0.3215283155441284
