dataset,arm,target_horizon,mse,mae,source_path
ETTh2,dense_initialized_nested_segment_decoder_multiprefix,96,0.24342790246009827,0.3157418966293335,analysis/phase5_timealign_hss_a3_interface_repair_20260701/raw/official-last/TimeAlignOfficialUnified720_A3_dense_initialized_nested_segment_decoder_multiprefix_official-last/ETTh2/mixed_h96_h192_h336_h720/seed2021/metrics_by_target_horizon.csv
ETTh2,dense_initialized_nested_segment_decoder_multiprefix,192,0.2837498188018799,0.346354216337204,analysis/phase5_timealign_hss_a3_interface_repair_20260701/raw/official-last/TimeAlignOfficialUnified720_A3_dense_initialized_nested_segment_decoder_multiprefix_official-last/ETTh2/mixed_h96_h192_h336_h720/seed2021/metrics_by_target_horizon.csv
ETTh2,dense_initialized_nested_segment_decoder_multiprefix,336,0.312313973903656,0.37105315923690796,analysis/phase5_timealign_hss_a3_interface_repair_20260701/raw/official-last/TimeAlignOfficialUnified720_A3_dense_initialized_nested_segment_decoder_multiprefix_official-last/ETTh2/mixed_h96_h192_h336_h720/seed2021/metrics_by_target_horizon.csv
ETTh2,dense_initialized_nested_segment_decoder_multiprefix,720,0.39292728900909424,0.42892152070999146,analysis/phase5_timealign_hss_a3_interface_repair_20260701/raw/official-last/TimeAlignOfficialUnified720_A3_dense_initialized_nested_segment_decoder_multiprefix_official-last/ETTh2/mixed_h96_h192_h336_h720/seed2021/metrics_by_target_horizon.csv
ETTm2,dense_initialized_nested_segment_decoder_multiprefix,96,0.16148346662521362,0.24726638197898865,analysis/phase5_timealign_hss_a3_interface_repair_20260701/raw/official-last/TimeAlignOfficialUnified720_A3_dense_initialized_nested_segment_decoder_multiprefix_official-last/ETTm2/mixed_h96_h192_h336_h720/seed2021/metrics_by_target_horizon.csv
ETTm2,dense_initialized_nested_segment_decoder_multiprefix,192,0.21514351665973663,0.283765584230423,analysis/phase5_timealign_hss_a3_interface_repair_20260701/raw/official-last/TimeAlignOfficialUnified720_A3_dense_initialized_nested_segment_decoder_multiprefix_official-last/ETTm2/mixed_h96_h192_h336_h720/seed2021/metrics_by_target_horizon.csv
ETTm2,dense_initialized_nested_segment_decoder_multiprefix,336,0.26575231552124023,0.31770655512809753,analysis/phase5_timealign_hss_a3_interface_repair_20260701/raw/official-last/TimeAlignOfficialUnified720_A3_dense_initialized_nested_segment_decoder_multiprefix_official-last/ETTm2/mixed_h96_h192_h336_h720/seed2021/metrics_by_target_horizon.csv
ETTm2,dense_initialized_nested_segment_decoder_multiprefix,720,0.3405262231826782,0.3698236644268036,analysis/phase5_timealign_hss_a3_interface_repair_20260701/raw/official-last/TimeAlignOfficialUnified720_A3_dense_initialized_nested_segment_decoder_multiprefix_official-last/ETTm2/mixed_h96_h192_h336_h720/seed2021/metrics_by_target_horizon.csv
Weather,dense_initialized_nested_segment_decoder_multiprefix,96,0.14129576086997986,0.18138982355594635,analysis/phase5_timealign_hss_a3_interface_repair_20260701/raw/official-last/TimeAlignOfficialUnified720_A3_dense_initialized_nested_segment_decoder_multiprefix_official-last/Weather/mixed_h96_h192_h336_h720/seed2021/metrics_by_target_horizon.csv
Weather,dense_initialized_nested_segment_decoder_multiprefix,192,0.1824847310781479,0.22301383316516876,analysis/phase5_timealign_hss_a3_interface_repair_20260701/raw/official-last/TimeAlignOfficialUnified720_A3_dense_initialized_nested_segment_decoder_multiprefix_official-last/Weather/mixed_h96_h192_h336_h720/seed2021/metrics_by_target_horizon.csv
Weather,dense_initialized_nested_segment_decoder_multiprefix,336,0.23171718418598175,0.263424277305603,analysis/phase5_timealign_hss_a3_interface_repair_20260701/raw/official-last/TimeAlignOfficialUnified720_A3_dense_initialized_nested_segment_decoder_multiprefix_official-last/Weather/mixed_h96_h192_h336_h720/seed2021/metrics_by_target_horizon.csv
Weather,dense_initialized_nested_segment_decoder_multiprefix,720,0.3035988509654999,0.3143322169780731,analysis/phase5_timealign_hss_a3_interface_repair_20260701/raw/official-last/TimeAlignOfficialUnified720_A3_dense_initialized_nested_segment_decoder_multiprefix_official-last/Weather/mixed_h96_h192_h336_h720/seed2021/metrics_by_target_horizon.csv
