dataset,arm,target_horizon,mse,mae,source_path,relative_mse_vs_a2_nested_pct,beats_a2_nested,relative_mae_vs_a2_nested_pct,relative_mse_vs_a3c_warm_pct,beats_a3c_warm,relative_mae_vs_a3c_warm_pct,relative_mse_vs_h1_target_set_pct,beats_h1_target_set,relative_mae_vs_h1_target_set_pct,relative_mse_vs_h1c_row_gated_pct,beats_h1c_row_gated,relative_mae_vs_h1c_row_gated_pct,relative_mse_vs_fixed_pct,beats_fixed,relative_mae_vs_fixed_pct
ETTh2,teacher_preserved_nested_w03,96,0.2418447881937027,0.31238245964050293,analysis/phase5_timealign_hss_a3d_teacher_preserved_nested_gate_20260701/raw/official-last/TimeAlignOfficialUnified720_A3D_teacher_preserved_nested_w03_official-last/ETTh2/mixed_h96_h192_h336_h720/seed2021/metrics_by_target_horizon.csv,-0.7707389909911266,True,-1.079397304182228,-2.341944288332609,True,-1.315663612501361,0.3581372780416814,False,-0.06300279241190365,-0.12548060592038057,True,-0.7735670228480429,-10.332518090479804,True,-5.640530381185826
ETTh2,teacher_preserved_nested_w03,192,0.2778474688529968,0.34067848324775696,analysis/phase5_timealign_hss_a3d_teacher_preserved_nested_gate_20260701/raw/official-last/TimeAlignOfficialUnified720_A3D_teacher_preserved_nested_w03_official-last/ETTh2/mixed_h96_h192_h336_h720/seed2021/metrics_by_target_horizon.csv,-2.286961685604505,True,-1.7285763569467094,-2.954698659334132,True,-1.3990205519176846,0.2222559293958204,False,-0.10367786385848676,-1.4263187421666101,True,-1.304202176936764,-16.960988735462845,True,-9.061291671124927
ETTh2,teacher_preserved_nested_w03,336,0.30260002613067627,0.36414772272109985,analysis/phase5_timealign_hss_a3d_teacher_preserved_nested_gate_20260701/raw/official-last/TimeAlignOfficialUnified720_A3D_teacher_preserved_nested_w03_official-last/ETTh2/mixed_h96_h192_h336_h720/seed2021/metrics_by_target_horizon.csv,-3.173051945451155,True,-1.9486340479044406,-1.9739365572594703,True,-0.7778355323703523,-0.3063299115905527,True,-0.46225355614436525,-2.690518365902328,True,-1.6521209301651685,-19.28339329302102,True,-9.861894816979833
ETTh2,teacher_preserved_nested_w03,720,0.38430118560791016,0.42372745275497437,analysis/phase5_timealign_hss_a3d_teacher_preserved_nested_gate_20260701/raw/official-last/TimeAlignOfficialUnified720_A3D_teacher_preserved_nested_w03_official-last/ETTh2/mixed_h96_h192_h336_h720/seed2021/metrics_by_target_horizon.csv,-2.026838931159447,True,-1.1601672929981377,-1.0841917601610351,True,-0.5984326527484707,-0.9682374346281386,True,-0.5443643934860409,-2.1164245273695093,True,-1.2253380901193434,-4.699519137499775,True,-2.6218927109908696
ETTh2,teacher_preserved_nested_w10,96,0.2408684343099594,0.31220826506614685,analysis/phase5_timealign_hss_a3d_teacher_preserved_nested_gate_20260701/raw/official-last/TimeAlignOfficialUnified720_A3D_teacher_preserved_nested_w10_official-last/ETTh2/mixed_h96_h192_h336_h720/seed2021/metrics_by_target_horizon.csv,-1.1713383799245136,True,-1.1345586352680903,-2.7362005494869224,True,-1.370693193843464,-0.047019507963486085,True,-0.11873089798810632,-0.5286849735882115,True,-0.8288988948014775,-10.694515530497906,True,-5.693148276779669
ETTh2,teacher_preserved_nested_w10,192,0.2767636179924011,0.340478777885437,analysis/phase5_timealign_hss_a3d_teacher_preserved_nested_gate_20260701/raw/official-last/TimeAlignOfficialUnified720_A3D_teacher_preserved_nested_w10_official-last/ETTh2/mixed_h96_h192_h336_h720/seed2021/metrics_by_target_horizon.csv,-2.668128953766702,True,-1.786182960326066,-3.3332611627431508,True,-1.4568203405572855,-0.16869950665096,True,-0.16223698099567807,-1.810843278972507,True,-1.3620575480063124,-17.2849143202221,True,-9.114599844633842
ETTh2,teacher_preserved_nested_w10,336,0.30269935727119446,0.36495235562324524,analysis/phase5_timealign_hss_a3d_teacher_preserved_nested_gate_20260701/raw/official-last/TimeAlignOfficialUnified720_A3D_teacher_preserved_nested_w10_official-last/ETTh2/mixed_h96_h192_h336_h720/seed2021/metrics_by_target_horizon.csv,-3.14126764157604,True,-1.7319764932290815,-1.9417586331304415,True,-0.558590942410675,-0.27360458080010197,True,-0.2423116457689667,-2.658575666103047,True,-1.4348081902571086,-19.25689735147904,True,-9.662722666113876
ETTh2,teacher_preserved_nested_w10,720,0.38631218671798706,0.42490682005882263,analysis/phase5_timealign_hss_a3d_teacher_preserved_nested_gate_20260701/raw/official-last/TimeAlignOfficialUnified720_A3D_teacher_preserved_nested_w10_official-last/ETTh2/mixed_h96_h192_h336_h720/seed2021/metrics_by_target_horizon.csv,-1.5141573599185998,True,-0.8850648273576178,-0.5665774315458116,True,-0.3217667022219928,-0.45001633120685947,True,-0.2675479539205883,-1.6042117465986716,True,-0.9504170153865621,-4.200823374950435,True,-2.350858688765989
ETTm2,teacher_preserved_nested_w03,96,0.16163185238838196,0.24674764275550842,analysis/phase5_timealign_hss_a3d_teacher_preserved_nested_gate_20260701/raw/official-last/TimeAlignOfficialUnified720_A3D_teacher_preserved_nested_w03_official-last/ETTm2/mixed_h96_h192_h336_h720/seed2021/metrics_by_target_horizon.csv,-0.21984523903374464,True,-0.41809002821424635,0.7975201066656057,False,0.40291031610482086,0.26816615393716603,False,0.21897049490600118,0.13333965998201247,False,-0.1479905081534061,4.327638798397926,False,2.3287376217509204
ETTm2,teacher_preserved_nested_w03,192,0.21564485132694244,0.2836027443408966,analysis/phase5_timealign_hss_a3d_teacher_preserved_nested_gate_20260701/raw/official-last/TimeAlignOfficialUnified720_A3D_teacher_preserved_nested_w03_official-last/ETTm2/mixed_h96_h192_h336_h720/seed2021/metrics_by_target_horizon.csv,0.04919608712741219,False,-0.212784230058638,0.33818429782350723,False,0.19665274433606772,0.04045395531773188,False,0.13103350745542475,0.23339825237360667,False,-0.03483396353464174,2.571328229460912,False,1.0495696850303382
ETTm2,teacher_preserved_nested_w03,336,0.26630938053131104,0.31764844059944153,analysis/phase5_timealign_hss_a3d_teacher_preserved_nested_gate_20260701/raw/official-last/TimeAlignOfficialUnified720_A3D_teacher_preserved_nested_w03_official-last/ETTm2/mixed_h96_h192_h336_h720/seed2021/metrics_by_target_horizon.csv,0.12943299027410315,False,-0.12429045322067678,-0.020128313241751794,True,0.04147701343728549,-0.000693828795728102,True,0.08884358908192169,0.22547720849726005,False,0.0008631672552716907,1.1423858318757585,False,0.21987509507406244
