dataset,arm,target_horizon,mse,mae,source_path
ETTh2,teacher_preserved_nested_w03,96,0.2418447881937027,0.31238245964050293,analysis/phase5_timealign_hss_a3d_teacher_preserved_nested_gate_20260701/raw/official-last/TimeAlignOfficialUnified720_A3D_teacher_preserved_nested_w03_official-last/ETTh2/mixed_h96_h192_h336_h720/seed2021/metrics_by_target_horizon.csv
ETTh2,teacher_preserved_nested_w03,192,0.2778474688529968,0.34067848324775696,analysis/phase5_timealign_hss_a3d_teacher_preserved_nested_gate_20260701/raw/official-last/TimeAlignOfficialUnified720_A3D_teacher_preserved_nested_w03_official-last/ETTh2/mixed_h96_h192_h336_h720/seed2021/metrics_by_target_horizon.csv
ETTh2,teacher_preserved_nested_w03,336,0.30260002613067627,0.36414772272109985,analysis/phase5_timealign_hss_a3d_teacher_preserved_nested_gate_20260701/raw/official-last/TimeAlignOfficialUnified720_A3D_teacher_preserved_nested_w03_official-last/ETTh2/mixed_h96_h192_h336_h720/seed2021/metrics_by_target_horizon.csv
ETTh2,teacher_preserved_nested_w03,720,0.38430118560791016,0.42372745275497437,analysis/phase5_timealign_hss_a3d_teacher_preserved_nested_gate_20260701/raw/official-last/TimeAlignOfficialUnified720_A3D_teacher_preserved_nested_w03_official-last/ETTh2/mixed_h96_h192_h336_h720/seed2021/metrics_by_target_horizon.csv
ETTh2,teacher_preserved_nested_w10,96,0.2408684343099594,0.31220826506614685,analysis/phase5_timealign_hss_a3d_teacher_preserved_nested_gate_20260701/raw/official-last/TimeAlignOfficialUnified720_A3D_teacher_preserved_nested_w10_official-last/ETTh2/mixed_h96_h192_h336_h720/seed2021/metrics_by_target_horizon.csv
ETTh2,teacher_preserved_nested_w10,192,0.2767636179924011,0.340478777885437,analysis/phase5_timealign_hss_a3d_teacher_preserved_nested_gate_20260701/raw/official-last/TimeAlignOfficialUnified720_A3D_teacher_preserved_nested_w10_official-last/ETTh2/mixed_h96_h192_h336_h720/seed2021/metrics_by_target_horizon.csv
ETTh2,teacher_preserved_nested_w10,336,0.30269935727119446,0.36495235562324524,analysis/phase5_timealign_hss_a3d_teacher_preserved_nested_gate_20260701/raw/official-last/TimeAlignOfficialUnified720_A3D_teacher_preserved_nested_w10_official-last/ETTh2/mixed_h96_h192_h336_h720/seed2021/metrics_by_target_horizon.csv
ETTh2,teacher_preserved_nested_w10,720,0.38631218671798706,0.42490682005882263,analysis/phase5_timealign_hss_a3d_teacher_preserved_nested_gate_20260701/raw/official-last/TimeAlignOfficialUnified720_A3D_teacher_preserved_nested_w10_official-last/ETTh2/mixed_h96_h192_h336_h720/seed2021/metrics_by_target_horizon.csv
ETTm2,teacher_preserved_nested_w03,96,0.16163185238838196,0.24674764275550842,analysis/phase5_timealign_hss_a3d_teacher_preserved_nested_gate_20260701/raw/official-last/TimeAlignOfficialUnified720_A3D_teacher_preserved_nested_w03_official-last/ETTm2/mixed_h96_h192_h336_h720/seed2021/metrics_by_target_horizon.csv
ETTm2,teacher_preserved_nested_w03,192,0.21564485132694244,0.2836027443408966,analysis/phase5_timealign_hss_a3d_teacher_preserved_nested_gate_20260701/raw/official-last/TimeAlignOfficialUnified720_A3D_teacher_preserved_nested_w03_official-last/ETTm2/mixed_h96_h192_h336_h720/seed2021/metrics_by_target_horizon.csv
