dataset,path_id,family,settings,mean_mse,wins_as_best,within_0p2pct_best,mean_gap_to_best_pct,mean_relative_vs_fixed_pct,mean_relative_vs_h1_pct
ETTh2,a2_nested,primary_nested,4,0.3082103841006756,0,0,2.317341416088353,-11.004943308359199,1.9366892736403463
ETTh2,a3c_warm_nested,primary_nested,4,0.3077895790338516,0,0,2.342438545834197,-10.981974745846182,1.964231674645539
ETTh2,a3d_teacher_preserved,teacher_preserved_nested,4,0.3016483671963215,2,2,0.1991713246738358,-12.819104814115862,-0.17354353469529737
ETTh2,a3e_target_conditioned_scratch,target_conditioned_nested,4,0.30465567857027054,1,1,1.0500600370271562,-12.074091920474839,0.6719631601349835
ETTh2,a3e_target_conditioned_warm,target_conditioned_nested,4,0.305383063852787,0,0,1.5221392917166399,-11.68695261216792,1.1464310453650843
ETTh2,fixed_specialist,fixed,4,0.34561391174793243,0,0,15.419564342863358,0.0,15.010386240165635
ETTh2,h1_target_set,dense_target_set,4,0.30245034769177437,1,1,0.37512383453762177,-12.650195093360013,0.0
ETTh2,h1c_row_gated,dense_target_set,4,0.3068983927369118,0,0,1.825078115904677,-11.417477524007097,1.4449441120226003
ETTm1,a2_nested,primary_nested,4,0.33506612479686737,0,1,0.6831522956057712,-1.3611369307812315,-0.15510126191028428
ETTm1,a3c_warm_nested,primary_nested,4,0.3331914395093918,3,4,0.035553893312528784,-1.98915120261709,-0.7944143385523295
ETTm1,a3d_teacher_preserved,teacher_preserved_nested,4,0.33589863777160645,0,0,0.9193038655295527,-1.1286279324896369,0.0795366481125881
ETTm1,a3e_target_conditioned_scratch,target_conditioned_nested,4,0.33534131944179535,0,1,0.7651799866946862,-1.280950887197152,-0.07372276832538216
ETTm1,a3e_target_conditioned_warm,target_conditioned_nested,4,0.33374183624982834,0,2,0.21106572170345728,-1.8180748391719266,-0.6206923575805573
ETTm1,fixed_specialist,fixed,4,0.3393188789486885,1,1,2.096864605785992,0.0,1.2441412507465999
ETTm1,h1_target_set,dense_target_set,4,0.33560343086719513,0,0,0.839373666857901,-1.2076942573815586,0.0
ETTm1,h1c_row_gated,dense_target_set,4,0.3352471888065338,0,1,0.7443837845896917,-1.301768563550998,-0.09459340563918728
Weather,a2_nested,primary_nested,4,0.21469474956393242,2,3,0.18823925444409473,-0.1982426496746459,-0.08286011543907068
Weather,a3c_warm_nested,primary_nested,4,0.2154303453862667,0,0,0.4753605889933399,0.08690104899247708,0.20395055384675176
Weather,a3d_teacher_preserved,teacher_preserved_nested,4,0.21473965421319008,0,3,0.19721445625438538,-0.1895620526904923,-0.07394569674820106
Weather,a3e_target_conditioned_scratch,target_conditioned_nested,4,0.2147555686533451,0,3,0.21528389016027827,-0.17136866735889267,-0.0559589156031326
Weather,a3e_target_conditioned_warm,target_conditioned_nested,4,0.21507428959012032,0,2,0.341421545494508,-0.04605856489347526,0.07004033644598395
Weather,fixed_specialist,fixed,4,0.21552317216992378,2,2,0.3901127524788883,0.0,0.12002278114679188
Weather,h1_target_set,dense_target_set,4,0.21485688537359238,0,3,0.27156103467222414,-0.11521730764020577,0.0
Weather,h1c_row_gated,dense_target_set,4,0.21490250527858734,0,3,0.27888556021495314,-0.10807521603060921,0.007538806128215558
ALL,a2_nested,primary_nested,12,0.2859904194871585,2,4,1.0629109887127395,-4.1881076296050255,0.5662426320969972
ALL,a3c_warm_nested,primary_nested,12,0.28547045464317006,3,4,0.9511176760466885,-4.294741633156932,0.457922629979987
ALL,a3d_teacher_preserved,teacher_preserved_nested,12,0.28409555306037265,2,5,0.43856321548592464,-4.71243159976533,-0.05598419444363678
ALL,a3e_target_conditioned_scratch,target_conditioned_nested,12,0.28491752222180367,1,5,0.6768413046273736,-4.508803825010295,0.18076049206882291
ALL,a3e_target_conditioned_warm,target_conditioned_nested,12,0.2847330632309119,0,4,0.6915421863048682,-4.517028672077774,0.198593008076837
ALL,fixed_specialist,fixed,12,0.3001519876221816,3,3,5.968847233709414,0.0,5.458183424019675
ALL,h1_target_set,dense_target_set,12,0.2843035546441873,1,4,0.49535284535591567,-4.657702219460593,0.0
ALL,h1c_row_gated,dense_target_set,12,0.28568269560734433,0,4,0.9494491535697739,-4.2757737678629,0.45262983750387625
