comparison,dataset,target_horizon,base_arm,bigger_arm,base_mse,bigger_mse,relative_bigger_vs_base_pct,bigger_wins
A5-B_rank_capacity,ETTh2,96,a5b_r64,a5b_r128,0.32184046506881714,0.2944892942905426,-8.498362930350044,True
A5-B_rank_capacity,ETTh2,192,a5b_r64,a5b_r128,0.3705187141895294,0.3395749032497406,-8.351483947976867,True
A5-B_rank_capacity,ETTh2,336,a5b_r64,a5b_r128,0.4122423827648163,0.3739951252937317,-9.277856685809184,True
A5-B_rank_capacity,ETTh2,720,a5b_r64,a5b_r128,0.5332939028739929,0.48750752210617065,-8.58558114410708,True
A5-B_rank_capacity,ETTm1,96,a5b_r64,a5b_r128,0.3116418421268463,0.29928863048553467,-3.9639130474282025,True
A5-B_rank_capacity,ETTm1,192,a5b_r64,a5b_r128,0.34118491411209106,0.3282347023487091,-3.795657787825679,True
A5-B_rank_capacity,ETTm1,336,a5b_r64,a5b_r128,0.37301337718963623,0.3604169189929962,-3.376945430628908,True
A5-B_rank_capacity,ETTm1,720,a5b_r64,a5b_r128,0.4266858994960785,0.41631776094436646,-2.429922939557394,True
A5-B_rank_capacity,Weather,96,a5b_r64,a5b_r128,0.15880276262760162,0.15737880766391754,-0.8966814809282075,True
A5-B_rank_capacity,Weather,192,a5b_r64,a5b_r128,0.20552586019039154,0.2055855244398117,0.02903004486389804,False
A5-B_rank_capacity,Weather,336,a5b_r64,a5b_r128,0.259966641664505,0.261260449886322,0.4976824001468261,False
A5-B_rank_capacity,Weather,720,a5b_r64,a5b_r128,0.3481740653514862,0.34742507338523865,-0.21511997612212452,True
A5-Q_query_capacity,ETTh2,96,a5q_seg48_small,a5q_seg24_wide,0.30815038084983826,0.32780590653419495,6.378549859373628,False
A5-Q_query_capacity,ETTh2,192,a5q_seg48_small,a5q_seg24_wide,0.340194433927536,0.35133224725723267,3.273955191186073,False
A5-Q_query_capacity,ETTh2,336,a5q_seg48_small,a5q_seg24_wide,0.36470359563827515,0.3751888573169708,2.8750091318253235,False
A5-Q_query_capacity,ETTh2,720,a5q_seg48_small,a5q_seg24_wide,0.42959994077682495,0.452714204788208,5.380416014393918,False
A5-Q_query_capacity,ETTm1,96,a5q_seg48_small,a5q_seg24_wide,0.5976341366767883,0.7063400745391846,18.18937895128745,False
A5-Q_query_capacity,ETTm1,192,a5q_seg48_small,a5q_seg24_wide,0.6100609302520752,0.7144714593887329,17.114770666188317,False
A5-Q_query_capacity,ETTm1,336,a5q_seg48_small,a5q_seg24_wide,0.6192857623100281,0.7213143110275269,16.475196900525724,False
A5-Q_query_capacity,ETTm1,720,a5q_seg48_small,a5q_seg24_wide,0.6387221813201904,0.7290924191474915,14.148598634935873,False
A5-Q_query_capacity,Weather,96,a5q_seg48_small,a5q_seg24_wide,0.17883379757404327,0.18680603802204132,4.457904801075019,False
A5-Q_query_capacity,Weather,192,a5q_seg48_small,a5q_seg24_wide,0.22108778357505798,0.2256070077419281,2.0440858801842765,False
A5-Q_query_capacity,Weather,336,a5q_seg48_small,a5q_seg24_wide,0.2659114897251129,0.2701096534729004,1.5787823806061807,False
A5-Q_query_capacity,Weather,720,a5q_seg48_small,a5q_seg24_wide,0.3293209373950958,0.3331396281719208,1.1595651363774495,False
A5-B_rank_capacity,ALL,ALL,a5b_r64,a5b_r128,0.33857423563798267,0.3226228927572568,-4.072067743810247,10
A5-Q_query_capacity,ALL,ALL,a5q_seg48_small,a5q_seg24_wide,0.40862544750173885,0.4494934839506944,7.756351128996602,0
