dataset,arm,family,target_horizon,mse,mae,source_path
ETTh2,a5b_r64,A5-B,96,0.32184046506881714,0.3796040713787079,analysis/phase5_timealign_hss_a5_unified_head_sync_gate_20260703/raw/official-last/TimeAlignOfficialUnified720_A5_a5b_r64_official-last/ETTh2/mixed_h96_h192_h336_h720/seed2021/metrics_by_target_horizon.csv
ETTh2,a5b_r64,A5-B,192,0.3705187141895294,0.4160107672214508,analysis/phase5_timealign_hss_a5_unified_head_sync_gate_20260703/raw/official-last/TimeAlignOfficialUnified720_A5_a5b_r64_official-last/ETTh2/mixed_h96_h192_h336_h720/seed2021/metrics_by_target_horizon.csv
ETTh2,a5b_r64,A5-B,336,0.4122423827648163,0.44977542757987976,analysis/phase5_timealign_hss_a5_unified_head_sync_gate_20260703/raw/official-last/TimeAlignOfficialUnified720_A5_a5b_r64_official-last/ETTh2/mixed_h96_h192_h336_h720/seed2021/metrics_by_target_horizon.csv
ETTh2,a5b_r64,A5-B,720,0.5332939028739929,0.5232295989990234,analysis/phase5_timealign_hss_a5_unified_head_sync_gate_20260703/raw/official-last/TimeAlignOfficialUnified720_A5_a5b_r64_official-last/ETTh2/mixed_h96_h192_h336_h720/seed2021/metrics_by_target_horizon.csv
ETTm1,a5b_r64,A5-B,96,0.3116418421268463,0.3660438656806946,analysis/phase5_timealign_hss_a5_unified_head_sync_gate_20260703/raw/official-last/TimeAlignOfficialUnified720_A5_a5b_r64_official-last/ETTm1/mixed_h96_h192_h336_h720/seed2021/metrics_by_target_horizon.csv
ETTm1,a5b_r64,A5-B,192,0.34118491411209106,0.3844629228115082,analysis/phase5_timealign_hss_a5_unified_head_sync_gate_20260703/raw/official-last/TimeAlignOfficialUnified720_A5_a5b_r64_official-last/ETTm1/mixed_h96_h192_h336_h720/seed2021/metrics_by_target_horizon.csv
ETTm1,a5b_r64,A5-B,336,0.37301337718963623,0.40247657895088196,analysis/phase5_timealign_hss_a5_unified_head_sync_gate_20260703/raw/official-last/TimeAlignOfficialUnified720_A5_a5b_r64_official-last/ETTm1/mixed_h96_h192_h336_h720/seed2021/metrics_by_target_horizon.csv
ETTm1,a5b_r64,A5-B,720,0.4266858994960785,0.4307349622249603,analysis/phase5_timealign_hss_a5_unified_head_sync_gate_20260703/raw/official-last/TimeAlignOfficialUnified720_A5_a5b_r64_official-last/ETTm1/mixed_h96_h192_h336_h720/seed2021/metrics_by_target_horizon.csv
Weather,a5b_r64,A5-B,96,0.15880276262760162,0.2010919600725174,analysis/phase5_timealign_hss_a5_unified_head_sync_gate_20260703/raw/official-last/TimeAlignOfficialUnified720_A5_a5b_r64_official-last/Weather/mixed_h96_h192_h336_h720/seed2021/metrics_by_target_horizon.csv
Weather,a5b_r64,A5-B,192,0.20552586019039154,0.24673707783222198,analysis/phase5_timealign_hss_a5_unified_head_sync_gate_20260703/raw/official-last/TimeAlignOfficialUnified720_A5_a5b_r64_official-last/Weather/mixed_h96_h192_h336_h720/seed2021/metrics_by_target_horizon.csv
Weather,a5b_r64,A5-B,336,0.259966641664505,0.2881205379962921,analysis/phase5_timealign_hss_a5_unified_head_sync_gate_20260703/raw/official-last/TimeAlignOfficialUnified720_A5_a5b_r64_official-last/Weather/mixed_h96_h192_h336_h720/seed2021/metrics_by_target_horizon.csv
Weather,a5b_r64,A5-B,720,0.3481740653514862,0.3435188829898834,analysis/phase5_timealign_hss_a5_unified_head_sync_gate_20260703/raw/official-last/TimeAlignOfficialUnified720_A5_a5b_r64_official-last/Weather/mixed_h96_h192_h336_h720/seed2021/metrics_by_target_horizon.csv
ETTh2,a5b_r128,A5-B,96,0.2944892942905426,0.35924404859542847,analysis/phase5_timealign_hss_a5_unified_head_sync_gate_20260703/raw/official-last/TimeAlignOfficialUnified720_A5_a5b_r128_official-last/ETTh2/mixed_h96_h192_h336_h720/seed2021/metrics_by_target_horizon.csv
ETTh2,a5b_r128,A5-B,192,0.3395749032497406,0.3936139643192291,analysis/phase5_timealign_hss_a5_unified_head_sync_gate_20260703/raw/official-last/TimeAlignOfficialUnified720_A5_a5b_r128_official-last/ETTh2/mixed_h96_h192_h336_h720/seed2021/metrics_by_target_horizon.csv
ETTh2,a5b_r128,A5-B,336,0.3739951252937317,0.42289113998413086,analysis/phase5_timealign_hss_a5_unified_head_sync_gate_20260703/raw/official-last/TimeAlignOfficialUnified720_A5_a5b_r128_official-last/ETTh2/mixed_h96_h192_h336_h720/seed2021/metrics_by_target_horizon.csv
ETTh2,a5b_r128,A5-B,720,0.48750752210617065,0.49695971608161926,analysis/phase5_timealign_hss_a5_unified_head_sync_gate_20260703/raw/official-last/TimeAlignOfficialUnified720_A5_a5b_r128_official-last/ETTh2/mixed_h96_h192_h336_h720/seed2021/metrics_by_target_horizon.csv
ETTm1,a5b_r128,A5-B,96,0.29928863048553467,0.3565627634525299,analysis/phase5_timealign_hss_a5_unified_head_sync_gate_20260703/raw/official-last/TimeAlignOfficialUnified720_A5_a5b_r128_official-last/ETTm1/mixed_h96_h192_h336_h720/seed2021/metrics_by_target_horizon.csv
ETTm1,a5b_r128,A5-B,192,0.3282347023487091,0.37470880150794983,analysis/phase5_timealign_hss_a5_unified_head_sync_gate_20260703/raw/official-last/TimeAlignOfficialUnified720_A5_a5b_r128_official-last/ETTm1/mixed_h96_h192_h336_h720/seed2021/metrics_by_target_horizon.csv
ETTm1,a5b_r128,A5-B,336,0.3604169189929962,0.3930032551288605,analysis/phase5_timealign_hss_a5_unified_head_sync_gate_20260703/raw/official-last/TimeAlignOfficialUnified720_A5_a5b_r128_official-last/ETTm1/mixed_h96_h192_h336_h720/seed2021/metrics_by_target_horizon.csv
ETTm1,a5b_r128,A5-B,720,0.41631776094436646,0.4230082333087921,analysis/phase5_timealign_hss_a5_unified_head_sync_gate_20260703/raw/official-last/TimeAlignOfficialUnified720_A5_a5b_r128_official-last/ETTm1/mixed_h96_h192_h336_h720/seed2021/metrics_by_target_horizon.csv
Weather,a5b_r128,A5-B,96,0.15737880766391754,0.19950075447559357,analysis/phase5_timealign_hss_a5_unified_head_sync_gate_20260703/raw/official-last/TimeAlignOfficialUnified720_A5_a5b_r128_official-last/Weather/mixed_h96_h192_h336_h720/seed2021/metrics_by_target_horizon.csv
Weather,a5b_r128,A5-B,192,0.2055855244398117,0.2463982105255127,analysis/phase5_timealign_hss_a5_unified_head_sync_gate_20260703/raw/official-last/TimeAlignOfficialUnified720_A5_a5b_r128_official-last/Weather/mixed_h96_h192_h336_h720/seed2021/metrics_by_target_horizon.csv
Weather,a5b_r128,A5-B,336,0.261260449886322,0.28851884603500366,analysis/phase5_timealign_hss_a5_unified_head_sync_gate_20260703/raw/official-last/TimeAlignOfficialUnified720_A5_a5b_r128_official-last/Weather/mixed_h96_h192_h336_h720/seed2021/metrics_by_target_horizon.csv
Weather,a5b_r128,A5-B,720,0.34742507338523865,0.34255826473236084,analysis/phase5_timealign_hss_a5_unified_head_sync_gate_20260703/raw/official-last/TimeAlignOfficialUnified720_A5_a5b_r128_official-last/Weather/mixed_h96_h192_h336_h720/seed2021/metrics_by_target_horizon.csv
ETTh2,a5q_seg48_small,A5-Q,96,0.30815038084983826,0.3624735176563263,analysis/phase5_timealign_hss_a5_unified_head_sync_gate_20260703/raw/official-last/TimeAlignOfficialUnified720_A5_a5q_seg48_small_official-last/ETTh2/mixed_h96_h192_h336_h720/seed2021/metrics_by_target_horizon.csv
ETTh2,a5q_seg48_small,A5-Q,192,0.340194433927536,0.3860052525997162,analysis/phase5_timealign_hss_a5_unified_head_sync_gate_20260703/raw/official-last/TimeAlignOfficialUnified720_A5_a5q_seg48_small_official-last/ETTh2/mixed_h96_h192_h336_h720/seed2021/metrics_by_target_horizon.csv
ETTh2,a5q_seg48_small,A5-Q,336,0.36470359563827515,0.40787070989608765,analysis/phase5_timealign_hss_a5_unified_head_sync_gate_20260703/raw/official-last/TimeAlignOfficialUnified720_A5_a5q_seg48_small_official-last/ETTh2/mixed_h96_h192_h336_h720/seed2021/metrics_by_target_horizon.csv
ETTh2,a5q_seg48_small,A5-Q,720,0.42959994077682495,0.45482131838798523,analysis/phase5_timealign_hss_a5_unified_head_sync_gate_20260703/raw/official-last/TimeAlignOfficialUnified720_A5_a5q_seg48_small_official-last/ETTh2/mixed_h96_h192_h336_h720/seed2021/metrics_by_target_horizon.csv
ETTm1,a5q_seg48_small,A5-Q,96,0.5976341366767883,0.48649728298187256,analysis/phase5_timealign_hss_a5_unified_head_sync_gate_20260703/raw/official-last/TimeAlignOfficialUnified720_A5_a5q_seg48_small_official-last/ETTm1/mixed_h96_h192_h336_h720/seed2021/metrics_by_target_horizon.csv
ETTm1,a5q_seg48_small,A5-Q,192,0.6100609302520752,0.4947699010372162,analysis/phase5_timealign_hss_a5_unified_head_sync_gate_20260703/raw/official-last/TimeAlignOfficialUnified720_A5_a5q_seg48_small_official-last/ETTm1/mixed_h96_h192_h336_h720/seed2021/metrics_by_target_horizon.csv
ETTm1,a5q_seg48_small,A5-Q,336,0.6192857623100281,0.5018225312232971,analysis/phase5_timealign_hss_a5_unified_head_sync_gate_20260703/raw/official-last/TimeAlignOfficialUnified720_A5_a5q_seg48_small_official-last/ETTm1/mixed_h96_h192_h336_h720/seed2021/metrics_by_target_horizon.csv
ETTm1,a5q_seg48_small,A5-Q,720,0.6387221813201904,0.5143353939056396,analysis/phase5_timealign_hss_a5_unified_head_sync_gate_20260703/raw/official-last/TimeAlignOfficialUnified720_A5_a5q_seg48_small_official-last/ETTm1/mixed_h96_h192_h336_h720/seed2021/metrics_by_target_horizon.csv
Weather,a5q_seg48_small,A5-Q,96,0.17883379757404327,0.2195669561624527,analysis/phase5_timealign_hss_a5_unified_head_sync_gate_20260703/raw/official-last/TimeAlignOfficialUnified720_A5_a5q_seg48_small_official-last/Weather/mixed_h96_h192_h336_h720/seed2021/metrics_by_target_horizon.csv
Weather,a5q_seg48_small,A5-Q,192,0.22108778357505798,0.25931352376937866,analysis/phase5_timealign_hss_a5_unified_head_sync_gate_20260703/raw/official-last/TimeAlignOfficialUnified720_A5_a5q_seg48_small_official-last/Weather/mixed_h96_h192_h336_h720/seed2021/metrics_by_target_horizon.csv
Weather,a5q_seg48_small,A5-Q,336,0.2659114897251129,0.2934460937976837,analysis/phase5_timealign_hss_a5_unified_head_sync_gate_20260703/raw/official-last/TimeAlignOfficialUnified720_A5_a5q_seg48_small_official-last/Weather/mixed_h96_h192_h336_h720/seed2021/metrics_by_target_horizon.csv
Weather,a5q_seg48_small,A5-Q,720,0.3293209373950958,0.3359927237033844,analysis/phase5_timealign_hss_a5_unified_head_sync_gate_20260703/raw/official-last/TimeAlignOfficialUnified720_A5_a5q_seg48_small_official-last/Weather/mixed_h96_h192_h336_h720/seed2021/metrics_by_target_horizon.csv
ETTh2,a5q_seg24_wide,A5-Q,96,0.32780590653419495,0.3816908001899719,analysis/phase5_timealign_hss_a5_unified_head_sync_gate_20260703/raw/official-last/TimeAlignOfficialUnified720_A5_a5q_seg24_wide_official-last/ETTh2/mixed_h96_h192_h336_h720/seed2021/metrics_by_target_horizon.csv
ETTh2,a5q_seg24_wide,A5-Q,192,0.35133224725723267,0.40083250403404236,analysis/phase5_timealign_hss_a5_unified_head_sync_gate_20260703/raw/official-last/TimeAlignOfficialUnified720_A5_a5q_seg24_wide_official-last/ETTh2/mixed_h96_h192_h336_h720/seed2021/metrics_by_target_horizon.csv
ETTh2,a5q_seg24_wide,A5-Q,336,0.3751888573169708,0.42115169763565063,analysis/phase5_timealign_hss_a5_unified_head_sync_gate_20260703/raw/official-last/TimeAlignOfficialUnified720_A5_a5q_seg24_wide_official-last/ETTh2/mixed_h96_h192_h336_h720/seed2021/metrics_by_target_horizon.csv
ETTh2,a5q_seg24_wide,A5-Q,720,0.452714204788208,0.4747552275657654,analysis/phase5_timealign_hss_a5_unified_head_sync_gate_20260703/raw/official-last/TimeAlignOfficialUnified720_A5_a5q_seg24_wide_official-last/ETTh2/mixed_h96_h192_h336_h720/seed2021/metrics_by_target_horizon.csv
ETTm1,a5q_seg24_wide,A5-Q,96,0.7063400745391846,0.5040408968925476,analysis/phase5_timealign_hss_a5_unified_head_sync_gate_20260703/raw/official-last/TimeAlignOfficialUnified720_A5_a5q_seg24_wide_official-last/ETTm1/mixed_h96_h192_h336_h720/seed2021/metrics_by_target_horizon.csv
