scope,dataset,arm,n,mean_mse,mean_relative_mse_vs_old_a5q_pct,mean_relative_mse_vs_official_unified_pct,mean_relative_mse_vs_best_stage_control_pct,wins_vs_best_stage_control
ALL,ALL,a5q_ettm1_patch48_dropout00,4,0.47608792781829834,-23.1649144121091,38.955361764614565,41.02435511653478,0
ALL,ALL,a5q_ettm1_patch48_dropout01,4,0.5364668071269989,-13.364593359289243,57.094180421297935,59.412239664868764,0
ALL,ALL,a5q_seg48_dropout00,12,0.33273284137248993,-13.345219466676438,13.487025572735794,16.760637178274028,0
ALL,ALL,a5q_seg48_dropout01,12,0.3346416341761748,-13.574953959366105,13.71990798922559,16.948098064312198,0
dataset,ETTh2,a5q_seg48_dropout00,4,0.36822790652513504,1.80322248626974,16.113777805240005,22.831343442595475,0
dataset,ETTh2,a5q_seg48_dropout01,4,0.3606620877981186,0.0,14.199400686005976,20.792634717039697,0
dataset,ETTm1,a5q_ettm1_patch48_dropout00,4,0.47608792781829834,-23.1649144121091,38.955361764614565,41.02435511653478,0
dataset,ETTm1,a5q_ettm1_patch48_dropout01,4,0.5364668071269989,-13.364593359289243,57.094180421297935,59.412239664868764,0
dataset,ETTm1,a5q_seg48_dropout00,4,0.3916640356183052,-36.81376509183877,14.12303164390125,15.815516060322949,0
dataset,ETTm1,a5q_seg48_dropout01,4,0.4088078364729881,-34.089790925601434,18.626310881642453,20.331769113413102,0
dataset,Weather,a5q_seg48_dropout00,4,0.2383065819740295,-5.025115794460291,10.224267269066125,11.635052031903653,0
dataset,Weather,a5q_seg48_dropout01,4,0.23445497825741762,-6.635070952496886,8.334012400028339,9.719890362483795,0
