dataset,arm,target_horizon,mse,mae,source_path
ETTh2,stochastic_prefix_k2,96,0.24324072897434235,0.31563088297843933,analysis/phase5_timealign_hss_h0b_schedule_gate_20260630/raw/official-last/TimeAlignOfficialUnified720_H0B_stochastic_prefix_k2_official-last/ETTh2/mixed_h96_h192_h336_h720/seed2021/metrics_by_target_horizon.csv
ETTh2,stochastic_prefix_k2,192,0.28293031454086304,0.3458016812801361,analysis/phase5_timealign_hss_h0b_schedule_gate_20260630/raw/official-last/TimeAlignOfficialUnified720_H0B_stochastic_prefix_k2_official-last/ETTh2/mixed_h96_h192_h336_h720/seed2021/metrics_by_target_horizon.csv
ETTh2,stochastic_prefix_k2,336,0.3120284080505371,0.3709297776222229,analysis/phase5_timealign_hss_h0b_schedule_gate_20260630/raw/official-last/TimeAlignOfficialUnified720_H0B_stochastic_prefix_k2_official-last/ETTh2/mixed_h96_h192_h336_h720/seed2021/metrics_by_target_horizon.csv
ETTh2,stochastic_prefix_k2,720,0.3941796123981476,0.4293217360973358,analysis/phase5_timealign_hss_h0b_schedule_gate_20260630/raw/official-last/TimeAlignOfficialUnified720_H0B_stochastic_prefix_k2_official-last/ETTh2/mixed_h96_h192_h336_h720/seed2021/metrics_by_target_horizon.csv
ETTh2,continuous_prefix_k2,96,0.24343371391296387,0.31576451659202576,analysis/phase5_timealign_hss_h0b_schedule_gate_20260630/raw/official-last/TimeAlignOfficialUnified720_H0B_continuous_prefix_k2_official-last/ETTh2/mixed_h96_h192_h336_h720/seed2021/metrics_by_target_horizon.csv
ETTh2,continuous_prefix_k2,192,0.2847745716571808,0.34688299894332886,analysis/phase5_timealign_hss_h0b_schedule_gate_20260630/raw/official-last/TimeAlignOfficialUnified720_H0B_continuous_prefix_k2_official-last/ETTh2/mixed_h96_h192_h336_h720/seed2021/metrics_by_target_horizon.csv
ETTh2,continuous_prefix_k2,336,0.3138013780117035,0.37191885709762573,analysis/phase5_timealign_hss_h0b_schedule_gate_20260630/raw/official-last/TimeAlignOfficialUnified720_H0B_continuous_prefix_k2_official-last/ETTh2/mixed_h96_h192_h336_h720/seed2021/metrics_by_target_horizon.csv
ETTh2,continuous_prefix_k2,720,0.39318665862083435,0.42869821190834045,analysis/phase5_timealign_hss_h0b_schedule_gate_20260630/raw/official-last/TimeAlignOfficialUnified720_H0B_continuous_prefix_k2_official-last/ETTh2/mixed_h96_h192_h336_h720/seed2021/metrics_by_target_horizon.csv
ETTh2,continuous_prefix_pool96,96,0.24406294524669647,0.3162067234516144,analysis/phase5_timealign_hss_h0b_schedule_gate_20260630/raw/official-last/TimeAlignOfficialUnified720_H0B_continuous_prefix_pool96_official-last/ETTh2/mixed_h96_h192_h336_h720/seed2021/metrics_by_target_horizon.csv
ETTh2,continuous_prefix_pool96,192,0.2862255275249481,0.3477175235748291,analysis/phase5_timealign_hss_h0b_schedule_gate_20260630/raw/official-last/TimeAlignOfficialUnified720_H0B_continuous_prefix_pool96_official-last/ETTh2/mixed_h96_h192_h336_h720/seed2021/metrics_by_target_horizon.csv
ETTh2,continuous_prefix_pool96,336,0.31584885716438293,0.3731658458709717,analysis/phase5_timealign_hss_h0b_schedule_gate_20260630/raw/official-last/TimeAlignOfficialUnified720_H0B_continuous_prefix_pool96_official-last/ETTh2/mixed_h96_h192_h336_h720/seed2021/metrics_by_target_horizon.csv
