checkpoint_policy,dataset,target_horizon,fixed_mse,unified_mse,relative_mse_pct,fixed_mae,unified_mae,relative_mae_pct,unified_win
best-val,ETTh2,96,0.27018916606903076,0.25043150782585144,-7.3125279339037,0.33173882961273193,0.3215818405151367,-3.0617426092243605,True
best-val,ETTh2,192,0.34279870986938477,0.29431602358818054,-14.143193916825824,0.38126954436302185,0.3537699580192566,-7.212636506204073,True
best-val,ETTh2,336,0.3746516704559326,0.32948461174964905,-12.055747316251786,0.40716028213500977,0.3834702968597412,-5.818343859829933,True
best-val,ETTh2,720,0.42462989687919617,0.42462989687919617,0.0,0.44861987233161926,0.44861987233161926,0.0,False
best-val,ETTm2,96,0.1547023355960846,0.16940325498580933,9.502713280365494,0.24140889942646027,0.25505807995796204,5.653967423707051,False
best-val,ETTm2,192,0.21442751586437225,0.2209130972623825,3.024603149398253,0.2853275239467621,0.28932881355285645,1.402349675470127,False
best-val,ETTm2,336,0.26370513439178467,0.2694823145866394,2.19077273871795,0.31760457158088684,0.3222408890724182,1.4597766866055961,False
best-val,ETTm2,720,0.3412989675998688,0.3412989675998688,0.0,0.3721885085105896,0.3721885085105896,0.0,False
best-val,Weather,96,0.14138399064540863,0.1435701698064804,1.5462706570185336,0.1826915442943573,0.186073899269104,1.8514020382338847,False
best-val,Weather,192,0.18221214413642883,0.1852833479642868,1.6855099545716623,0.22012463212013245,0.22726108133792877,3.2420039270760093,False
best-val,Weather,336,0.23373481631278992,0.23474204540252686,0.4309281371197349,0.2635226547718048,0.2671949565410614,1.3935430987656705,False
best-val,Weather,720,0.30450135469436646,0.3073175251483917,0.9248466092546259,0.3174610733985901,0.318570077419281,0.3493354346781663,False
