model,dataset,target_horizon,mse,mae
TimeAlignOfficialFixedH96_official-last,ETTh2,96,0.2697129249572754,0.33105576038360596
TimeAlignOfficialFixedH192_official-last,ETTh2,192,0.33459872007369995,0.3746242821216583
TimeAlignOfficialFixedH336_official-last,ETTh2,336,0.37489190697669983,0.40398865938186646
TimeAlignOfficialFixedH720_official-last,ETTh2,720,0.40325209498405457,0.43513625860214233
TimeAlignOfficialFixedH96_official-last,ETTm2,96,0.15492716431617737,0.24113230407238007
TimeAlignOfficialFixedH192_official-last,ETTm2,192,0.21023891866207123,0.2806570529937744
TimeAlignOfficialFixedH336_official-last,ETTm2,336,0.26330146193504333,0.31695154309272766
TimeAlignOfficialFixedH720_official-last,ETTm2,720,0.343566358089447,0.3716011643409729
TimeAlignOfficialFixedH96_official-last,Weather,96,0.14042679965496063,0.1782880425453186
TimeAlignOfficialFixedH192_official-last,Weather,192,0.1822342574596405,0.22007882595062256
TimeAlignOfficialFixedH336_official-last,Weather,336,0.2326551377773285,0.2622069716453552
TimeAlignOfficialFixedH720_official-last,Weather,720,0.3067764937877655,0.31663402915000916
