arm,runs,oracle_positive_runs,best_fixed_beats_fused_runs,oracle_headroom_percent,best_fixed_over_fused_percent,worst_fixed_over_fused_percent,arm_loss_cv_percent,min_pairwise_probe_nrmse,mean_pairwise_probe_nrmse,policy_entropy,usage_min,usage_max
pcsd_direct,5,4,0,4.4053106464014835,-18.05175341145236,-269.7302412653504,36.108631548307116,0.15122129526703737,0.9054926501224827,0.6709204051995801,0.06450955716790051,0.6497496676254183
pcsd_equal,5,5,3,7.587198502872918,-0.05803970048399165,-3.707402796805197,1.434608911132482,0.023323830151040763,0.11315711099585787,0.8369122588964372,0.10685798155149687,0.37129761797262334
pcsd_measure,5,4,0,8.00897777877691,-14.871735407522399,-265.6171327098822,36.78970544573628,0.13890104784632445,0.739319313861278,0.609224328050695,0.05304839823150921,0.6989819710957182
pcsd_pcc,5,5,2,16.171895907458023,-0.8417413683639886,-7.203710582352367,2.359855302224844,0.029719325649393624,0.17480034554187523,0.9654559189791077,0.15493693737585695,0.27587497644734044
pcsd_prior,5,5,2,7.079815629226539,-0.35453321758185163,-3.763116720426205,1.3423805273136291,0.023049933879990502,0.11203287838202217,0.988225478854854,0.17055744806818146,0.2552885254576712
siff_constant_pcc,5,5,2,14.682243758669836,-0.5605936350460872,-8.830878835211768,3.0660188243942934,0.030887280108737387,0.16936626114274272,0.960786994915447,0.14610187415115727,0.28605973244023336
siff_equal,5,5,1,6.393690096767699,-0.31355306649217596,-9.961231640200898,3.4492338559562823,0.06884587380003201,0.1334021077609367,0.8122041912407842,0.06409058227757121,0.3616770336164376
siff_independent_pcc,5,5,1,24.272741693259867,-2.793744600244492,-15.91865908749856,4.249486520119811,0.19024401446400302,0.26199049705473515,0.9801234772335523,0.1823193208684864,0.22332406604397909
siff_pcc,5,5,0,18.17024742762131,-0.6124809635312145,-19.7324205409493,6.528174088412051,0.11406586740181983,0.2250501053283128,0.9748029832367745,0.14002351221682413,0.2369259487598741
siff_permuted_pcc,5,5,1,17.699375630437707,-1.239729012685522,-12.134939451571814,3.5929180655155593,0.07546312218553893,0.2057507552103514,0.972535802060472,0.1427827855025094,0.2528878680720756
siff_prior,5,5,1,7.194818011964282,-0.27840122215466057,-12.630957905112648,4.429490361841247,0.07831402761768214,0.1550475466991174,0.9883736337868116,0.17796495096003495,0.2445752479919517
siff_q1_wide_pcc,5,5,3,14.948625666135973,0.7156531461805731,-7.58571762355575,2.956482425066771,0.02940906927742997,0.16140024908762662,0.9551058719000529,0.14626972995999413,0.28900757219301176
