epoch,train_steps,train_loss,train_prediction_l1,train_prediction_full_l1,train_reconstruction_l1,train_alignment_loss,train_weighted_reconstruction_l1,train_weighted_alignment_loss,pred_loss_mode,pcc_objective_mode,gradient_accumulation_steps,effective_batch_size,validation_horizons,val_mean_mse,lr,epoch_seconds,early_stopping_enabled,early_stopping_patience,early_stopping_min_delta,best_epoch_so_far,epochs_without_improvement,stop_triggered,train_prediction_h720_l1
1,1036,0.4534442004492384,0.4534442004492384,0.4534442004492384,0.0,0.0,0.0,0.0,full,off,1,32,"96,192,336,720",0.6684731764968352,0.0001,10.843926429748535,1,5,0.0,1,0,0,0.4534442004492384
2,1036,0.4335210964256272,0.4335210964256272,0.4335210964256272,0.0,0.0,0.0,0.0,full,off,1,32,"96,192,336,720",0.6494753308411289,9.938441702975689e-05,10.509302616119385,1,5,0.0,2,0,0,0.4335210964256272
3,1036,0.4300146090823251,0.4300146090823251,0.4300146090823251,0.0,0.0,0.0,0.0,full,off,1,32,"96,192,336,720",0.642524210143731,9.755282581475769e-05,10.317740678787231,1,5,0.0,3,0,0,0.4300146090823251
4,1036,0.4276461928622603,0.4276461928622603,0.4276461928622603,0.0,0.0,0.0,0.0,full,off,1,32,"96,192,336,720",0.6468044855210575,9.45503262094184e-05,10.301625728607178,1,5,0.0,3,1,0,0.4276461928622603
5,1036,0.4257271349660218,0.4257271349660218,0.4257271349660218,0.0,0.0,0.0,0.0,full,off,1,32,"96,192,336,720",0.6517318124010686,9.045084971874738e-05,10.434521436691284,1,5,0.0,3,2,0,0.4257271349660218
6,1036,0.42405442436114243,0.42405442436114243,0.42405442436114243,0.0,0.0,0.0,0.0,full,off,1,32,"96,192,336,720",0.6486899903219652,8.535533905932738e-05,10.465153217315674,1,5,0.0,3,3,0,0.42405442436114243
7,1036,0.42325363063674176,0.42325363063674176,0.42325363063674176,0.0,0.0,0.0,0.0,full,off,1,32,"96,192,336,720",0.649362950184704,7.938926261462366e-05,10.55173659324646,1,5,0.0,3,4,0,0.42325363063674176
8,1036,0.42229232215052864,0.42229232215052864,0.42229232215052864,0.0,0.0,0.0,0.0,full,off,1,32,"96,192,336,720",0.6422782688798006,7.269952498697734e-05,10.430952072143555,1,5,0.0,8,0,0,0.42229232215052864
9,1036,0.4215594030715324,0.4215594030715324,0.4215594030715324,0.0,0.0,0.0,0.0,full,off,1,32,"96,192,336,720",0.6423496033452147,6.545084971874738e-05,10.402144432067871,1,5,0.0,8,1,0,0.4215594030715324
10,1036,0.42095285602287896,0.42095285602287896,0.42095285602287896,0.0,0.0,0.0,0.0,full,off,1,32,"96,192,336,720",0.6437428385509909,5.782172325201155e-05,10.252820253372192,1,5,0.0,8,2,0,0.42095285602287896
11,1036,0.4202122608321974,0.4202122608321974,0.4202122608321974,0.0,0.0,0.0,0.0,full,off,1,32,"96,192,336,720",0.6440618295744541,5e-05,10.36580514907837,1,5,0.0,8,3,0,0.4202122608321974
12,1036,0.41974258742162157,0.41974258742162157,0.41974258742162157,0.0,0.0,0.0,0.0,full,off,1,32,"96,192,336,720",0.6433258654990432,4.2178276747988446e-05,10.451229333877563,1,5,0.0,8,4,0,0.41974258742162157
13,1036,0.41959899640911796,0.41959899640911796,0.41959899640911796,0.0,0.0,0.0,0.0,full,off,1,32,"96,192,336,720",0.6422140501889526,3.4549150281252636e-05,10.375163316726685,1,5,0.0,13,0,0,0.41959899640911796
14,1036,0.41903848957601203,0.41903848957601203,0.41903848957601203,0.0,0.0,0.0,0.0,full,off,1,32,"96,192,336,720",0.642949074863859,2.7300475013022663e-05,10.304692268371582,1,5,0.0,13,1,0,0.41903848957601203
15,1036,0.4187585620288683,0.4187585620288683,0.4187585620288683,0.0,0.0,0.0,0.0,full,off,1,32,"96,192,336,720",0.6416366123602659,2.061073738537635e-05,10.432335615158081,1,5,0.0,15,0,0,0.4187585620288683
16,1036,0.41904674798365266,0.41904674798365266,0.41904674798365266,0.0,0.0,0.0,0.0,full,off,1,32,"96,192,336,720",0.6442483047743157,1.4644660940672627e-05,10.15693473815918,1,5,0.0,15,1,0,0.41904674798365266
17,1036,0.41837392862469075,0.41837392862469075,0.41837392862469075,0.0,0.0,0.0,0.0,full,off,1,32,"96,192,336,720",0.6420596785695544,9.549150281252633e-06,10.178115367889404,1,5,0.0,15,2,0,0.41837392862469075
18,1036,0.4187177751055095,0.4187177751055095,0.4187177751055095,0.0,0.0,0.0,0.0,full,off,1,32,"96,192,336,720",0.6421127924356528,5.449673790581611e-06,10.35671615600586,1,5,0.0,15,3,0,0.4187177751055095
19,1036,0.4182716434584161,0.4182716434584161,0.4182716434584161,0.0,0.0,0.0,0.0,full,off,1,32,"96,192,336,720",0.6420741111311751,2.4471741852423237e-06,10.57549500465393,1,5,0.0,15,4,0,0.4182716434584161
20,1036,0.4184445017898405,0.4184445017898405,0.4184445017898405,0.0,0.0,0.0,0.0,full,off,1,32,"96,192,336,720",0.6421540888518812,6.15582970243117e-07,10.440027475357056,1,5,0.0,15,5,1,0.4184445017898405
