epoch,train_steps,train_loss,train_prediction_l1,train_prediction_full_l1,train_reconstruction_l1,train_alignment_loss,train_weighted_reconstruction_l1,train_weighted_alignment_loss,pred_loss_mode,pcc_objective_mode,gradient_accumulation_steps,effective_batch_size,validation_horizons,val_mean_mse,lr,epoch_seconds,early_stopping_enabled,early_stopping_patience,early_stopping_min_delta,best_epoch_so_far,epochs_without_improvement,stop_triggered,train_pcc_arm_s0_measure_l1,train_pcc_arm_s1_measure_l1,train_pcc_arm_s2_measure_l1,train_pcc_arm_s3_measure_l1,train_pcc_arm_s4_measure_l1,train_pcc_credit_argmax_accuracy,train_pcc_credit_max,train_pcc_credit_min,train_pcc_credit_normalized_entropy,train_pcc_credit_policy_kl,train_pcc_fused_measure_l1,train_pcc_policy_normalized_entropy,train_pcc_policy_usage_max,train_pcc_route_kl,train_pcc_route_weight,train_pcc_skill_floor,train_pcc_skill_loss,train_pcc_total_loss,train_pcc_weighted_route_loss,train_pcc_weighted_skill_loss
1,1108,0.7647716588599587,0.37551073759579057,0.43240502538556225,0.0,0.0,0.0,0.0,full,equal_skill,1,32,"96,192,336,720",0.49736663885192856,0.0001,103.99511098861694,1,5,0.0,1,0,0,0.3890601769627647,0.3885328403610185,0.3865791125095278,0.3875396646263367,0.3945927760069551,0.35479311337570546,0.7510740186763585,0.020164797897870897,0.8161545247915419,0.20928284617322446,0.37551073759579057,0.9007126077848221,0.31886944790717064,0.0,0.0,1.0,0.3892609219366032,0.7647716588599587,0.0,0.3892609219366032
2,1108,0.7046317325817549,0.34931909368249053,0.4071829788897872,0.0,0.0,0.0,0.0,full,equal_skill,1,32,"96,192,336,720",0.49383196809443664,9.938441702975689e-05,104.13650703430176,1,5,0.0,2,0,0,0.3551351341691258,0.35493516324874724,0.354226327033895,0.35437380700012405,0.357892731359289,0.3592165053052162,0.7518899665089721,0.020133997234667144,0.8169578158898474,0.28547111578581563,0.34931909368249053,0.8174093688438085,0.3698518553257849,0.0,0.0,1.0,0.3553126391951358,0.7046317325817549,0.0,0.3553126391951358
3,1108,0.6910012898031985,0.34310367512466244,0.4020947580518275,0.0,0.0,0.0,0.0,full,equal_skill,1,32,"96,192,336,720",0.49324724362305705,9.755282581475769e-05,105.14673280715942,1,5,0.0,3,0,0,0.3478489385292418,0.34768191859502656,0.3471497184048921,0.3473538997640248,0.34945356488120255,0.35686340704829256,0.7519671195035377,0.020134498405569513,0.8188215699652042,0.3386369830380708,0.34310367512466244,0.7814990829689838,0.38377118097208035,0.0,0.0,1.0,0.34789761438266464,0.6910012898031985,0.0,0.34789761438266464
4,1108,0.6825974265160544,0.339088791167693,0.398713138425178,0.0,0.0,0.0,0.0,full,equal_skill,1,32,"96,192,336,720",0.4903459467904805,9.45503262094184e-05,106.49772310256958,1,5,0.0,4,0,0,0.3433909158521611,0.34323957847559067,0.3428202086407355,0.34327488190860955,0.3448175554994211,0.35937415445324317,0.7520146750263359,0.020133802122587762,0.8217811274076627,0.39520650970268767,0.339088791167693,0.7492905364570205,0.39150623692071823,0.0,0.0,1.0,0.3435086349180029,0.6825974265160544,0.0,0.3435086349180029
5,1108,0.6756672933966674,0.3356582454341844,0.39585159154144867,0.0,0.0,0.0,0.0,full,equal_skill,1,32,"96,192,336,720",0.49014553575950215,9.045084971874738e-05,104.19952630996704,1,5,0.0,5,0,0,0.33955203209220286,0.33942148667703037,0.33915793812339484,0.34024334160967423,0.3416704126912764,0.3523970834023255,0.7521285983306837,0.02013202108247777,0.8247961125972039,0.4409515164012513,0.3356582454341844,0.7348154892990305,0.3741366772606485,0.0,0.0,1.0,0.3400090481238675,0.6756672933966674,0.0,0.3400090481238675
6,1108,0.6691159077176979,0.3322155606068859,0.392862566434089,0.0,0.0,0.0,0.0,full,equal_skill,1,32,"96,192,336,720",0.4857171823403665,8.535533905932738e-05,104.8085708618164,1,5,0.0,6,0,0,0.3361236084023968,0.33600306809486463,0.3358292124277848,0.33754592961783014,0.3389998860791702,0.35390260549336133,0.7521677785939689,0.020130463743024248,0.8254430754520402,0.48384510249652585,0.3322155606068859,0.7245777675929053,0.3570489599117303,0.0,0.0,1.0,0.3369003471646068,0.6691159077176979,0.0,0.3369003471646068
7,1108,0.6619981767253325,0.32839644729875916,0.389481879851448,0.0,0.0,0.0,0.0,full,equal_skill,1,32,"96,192,336,720",0.48574824766255914,7.938926261462366e-05,104.57371973991394,1,5,0.0,6,1,0,0.332278236746788,0.332179328298956,0.33218644935947034,0.3348145443502316,0.33655005540120475,0.3635220483537185,0.7521594527718823,0.02013048812888213,0.8254532195385613,0.5599370868305007,0.32839644729875916,0.7030504879000384,0.33566912212526756,0.0,0.0,1.0,0.33360172864654863,0.6619981767253325,0.0,0.33360172864654863
8,1108,0.655155303622411,0.3246424079264114,0.3859428169763906,0.0,0.0,0.0,0.0,full,equal_skill,1,32,"96,192,336,720",0.48616509976674843,7.269952498697734e-05,105.35209727287292,1,5,0.0,6,2,0,0.3286100007889503,0.32853127623292944,0.3287060719373424,0.33228013462753503,0.334436962508768,0.37768476959385167,0.7522131561264664,0.02012861580234895,0.8249484133849505,0.6333146382809116,0.3246424079264114,0.6720725254354064,0.33557001988164786,0.0,0.0,1.0,0.33051289609946066,0.655155303622411,0.0,0.33051289609946066
9,1108,0.6483182911946025,0.32090441885300064,0.38240157648759626,0.0,0.0,0.0,0.0,full,equal_skill,1,32,"96,192,336,720",0.48469857758720447,6.545084971874738e-05,105.59013772010803,1,5,0.0,9,0,0,0.3248087779655784,0.32475946773690867,0.3251569424402843,0.3298171616364472,0.3325269798670865,0.3876478711028822,0.752182263437161,0.020128316908321658,0.8251333447032027,0.6822143453122906,0.32090441885300064,0.6519010314980138,0.3521273632664973,0.0,0.0,1.0,0.32741387239539665,0.6483182911946025,0.0,0.32741387239539665
10,1108,0.641893389422971,0.3173763383489223,0.37898031073464383,0.0,0.0,0.0,0.0,full,equal_skill,1,32,"96,192,336,720",0.4872215829177996,5.782172325201155e-05,104.61243271827698,1,5,0.0,9,1,0,0.32121332707925826,0.32119918617315674,0.3218216887718934,0.3275617449023233,0.3307892834828218,0.39309872877834506,0.7522080371741353,0.02012746980151545,0.8254291667512178,0.7277868522956483,0.3173763383489223,0.632616111302634,0.3791582559635493,0.0,0.0,1.0,0.32451705150440713,0.641893389422971,0.0,0.32451705150440713
