epoch,train_steps,train_loss,train_prediction_l1,train_prediction_full_l1,train_reconstruction_l1,train_alignment_loss,train_weighted_reconstruction_l1,train_weighted_alignment_loss,pred_loss_mode,pcc_objective_mode,gradient_accumulation_steps,effective_batch_size,validation_horizons,val_mean_mse,lr,epoch_seconds,early_stopping_enabled,early_stopping_patience,early_stopping_min_delta,best_epoch_so_far,epochs_without_improvement,stop_triggered,train_pcc_arm_s0_measure_l1,train_pcc_arm_s1_measure_l1,train_pcc_arm_s2_measure_l1,train_pcc_arm_s3_measure_l1,train_pcc_arm_s4_measure_l1,train_pcc_credit_argmax_accuracy,train_pcc_credit_max,train_pcc_credit_min,train_pcc_credit_normalized_entropy,train_pcc_credit_policy_kl,train_pcc_fused_measure_l1,train_pcc_policy_normalized_entropy,train_pcc_policy_usage_max,train_pcc_route_kl,train_pcc_route_weight,train_pcc_skill_floor,train_pcc_skill_loss,train_pcc_total_loss,train_pcc_weighted_route_loss,train_pcc_weighted_skill_loss
1,1108,0.7774946363071242,0.37694728479381073,0.43378732340000165,0.0,0.0,0.0,0.0,full,pointwise_prior_composed,1,32,"96,192,336,720",0.49727489850336004,0.0001,104.29893136024475,1,5,0.0,1,0,0,0.43410664350332334,0.38849579577841914,0.390029302384664,0.38901779924381513,0.3886893513723401,0.22299385879067737,0.7527724487256487,0.020108819448318507,0.7733354889636436,0.24627203050503232,0.37694728479381073,0.9735218621117974,0.2769149190305803,0.24627203050503232,0.009991425612100263,1.0,0.3980677868323636,0.7774946363071242,0.002479565234535414,0.3980677868323636
2,1108,0.7156715872916074,0.3508952203801823,0.4082231022121674,0.0,0.0,0.0,0.0,full,pointwise_prior_composed,1,32,"96,192,336,720",0.4962398946131875,9.938441702975689e-05,103.66799736022949,1,5,0.0,2,0,0,0.36956792182225184,0.3551490964495748,0.3548593723924582,0.35445635082596905,0.35460118069868224,0.2700120727750153,0.7527786406691754,0.020108208179621813,0.7684314397805865,0.23545328117503586,0.3508952203801823,0.9883428567798559,0.23292286540734639,0.23545328117503586,0.02999232816997418,1.0,0.3577267904412876,0.7156715872916074,0.007049577237133757,0.3577267904412876
3,1108,0.7064750993940374,0.3445696002847451,0.4031554555473345,0.0,0.0,0.0,0.0,full,pointwise_prior_composed,1,32,"96,192,336,720",0.49282746840571423,9.755282581475769e-05,103.37927627563477,1,5,0.0,3,0,0,0.3596826104265688,0.34836513775027617,0.3480134940965081,0.34779347404030686,0.3478126676504362,0.29064606732624965,0.7527861944820046,0.020107616895695457,0.7671191264145641,0.23152801000415632,0.3445696002847451,0.9918285311882247,0.22799710727663247,0.23152801000415632,0.04999323073935961,1.0,0.35033348334502656,0.7064750993940374,0.011572016625823151,0.35033348334502656
4,1108,0.7025155526205951,0.3404588104639243,0.39969609672412115,0.0,0.0,0.0,0.0,full,pointwise_prior_composed,1,32,"96,192,336,720",0.48989360738002385,9.45503262094184e-05,103.5682921409607,1,5,0.0,4,0,0,0.35369028393111934,0.34416200849984097,0.34393589115207374,0.3439102804671556,0.34396080371490023,0.30502986794989895,0.7527938796617494,0.020106278163202724,0.7662214553420724,0.23038578844403962,0.3404588104639243,0.9917532288963614,0.23787487282111758,0.23038578844403962,0.06999413331546939,1.0,0.34593185965334894,0.7025155526205951,0.016124882878204436,0.34593185965334894
5,1108,0.7003412124051944,0.337017258420748,0.3967881288231495,0.0,0.0,0.0,0.0,full,pointwise_prior_composed,1,32,"96,192,336,720",0.4898415250773911,9.045084971874738e-05,103.24289393424988,1,5,0.0,5,0,0,0.3491113936320109,0.34094675226869997,0.3408536382207802,0.34105597678504695,0.34117947107295266,0.3114298997372927,0.7527907232515219,0.020107429614122485,0.7656574605389193,0.2299595977102376,0.337017258420748,0.9910123123373796,0.24635203945238668,0.2299595977102376,0.08999503587476829,1.0,0.34262945247471116,0.7003412124051944,0.020694502999178986,0.34262945247471116
6,1108,0.6962437984745425,0.3335403493649262,0.39378060333242487,0.0,0.0,0.0,0.0,full,pointwise_prior_composed,1,32,"96,192,336,720",0.48884852953303215,8.535533905932738e-05,103.23557543754578,1,5,0.0,6,0,0,0.34503026048414115,0.3380112331696796,0.33815920159274493,0.33860818866895853,0.33881144712440375,0.31567282638502464,0.7527989512746515,0.020107652141379752,0.7653951755714761,0.22979375496775664,0.3335403493649262,0.9888059861070413,0.2543501515573543,0.22979375496775664,0.10000000149011612,1.0,0.33972407280322875,0.6962437984745425,0.022979375864261433,0.33972407280322875
7,1108,0.6892882191209586,0.3295579011474706,0.39022035797257715,0.0,0.0,0.0,0.0,full,pointwise_prior_composed,1,32,"96,192,336,720",0.48731758577216955,7.938926261462366e-05,103.31914782524109,1,5,0.0,7,0,0,0.34087425760844126,0.33489421787352336,0.3353868833732949,0.33619302643012483,0.3364878219656566,0.3196920061800024,0.7528189390574982,0.020106391224754633,0.7655222823150751,0.2296307086137658,0.3295579011474706,0.9847712502260071,0.2627702698326713,0.2296307086137658,0.10000000149011612,1.0,0.3367672477065441,0.6892882191209586,0.022963071253742445,0.3367672477065441
8,1108,0.6822465930927532,0.32534173908324016,0.3861748772246313,0.0,0.0,0.0,0.0,full,pointwise_prior_composed,1,32,"96,192,336,720",0.48786210915321365,7.269952498697734e-05,103.01590251922607,1,5,0.0,7,1,0,0.33696293212231315,0.3317881388730951,0.33265964399068365,0.33393956271642383,0.33438658751950795,0.32418175014778167,0.752803816423089,0.020108219562266494,0.7658879390046915,0.22957474863432376,0.32534173908324016,0.9794230685982893,0.27040032213990867,0.22957474863432376,0.10000000149011612,1.0,0.3339473790748025,0.6822465930927532,0.022957475213771047,0.3339473790748025
9,1108,0.675098412034744,0.32093302031393944,0.38186765671959855,0.0,0.0,0.0,0.0,full,pointwise_prior_composed,1,32,"96,192,336,720",0.48605031259912285,6.545084971874738e-05,103.12788152694702,1,5,0.0,9,0,0,0.3327930031700685,0.32864596207864877,0.32998935377985134,0.3318034374165191,0.33249060443807593,0.3275690215105184,0.7527988120536941,0.02010842275701544,0.7660046818023984,0.23020913585052163,0.32093302031393944,0.9741031956801776,0.27862222589525504,0.23020913585052163,0.10000000149011612,1.0,0.33114447853517875,0.675098412034744,0.02302091393875301,0.33114447853517875
10,1108,0.6678382871598543,0.31642504345746675,0.3774504608841149,0.0,0.0,0.0,0.0,full,pointwise_prior_composed,1,32,"96,192,336,720",0.48668774870826703,5.782172325201155e-05,103.5723147392273,1,5,0.0,9,1,0,0.3284616729896852,0.3254601213852421,0.3272665345012496,0.32965319864586373,0.33063884867550236,0.3287300051926276,0.7528001032904167,0.020108707092823426,0.7660798441201772,0.23117164570824764,0.31642504345746675,0.9695471398774467,0.2860911273622771,0.23117164570824764,0.10000000149011612,1.0,0.3282960806889224,0.6678382871598543,0.023117164936629443,0.3282960806889224
