arm,dataset,epochs_trained,best_epoch,final_recorded_val_mean_mse,early_stopping_triggered
a6_full,Weather,17,12,0.4911537606583258,True
a6_full,ETTm1,20,15,0.6421540888518812,True
a6_full,ETTm2,10,5,0.18744430030457718,True
a6_full,ETTh1,8,3,1.2170133934422795,True
a6_full,ETTh2,7,2,0.4500337010610752,True
pcsd_direct,Weather,11,6,0.5014358338101634,True
pcsd_direct,ETTm1,9,4,0.6768484054637762,True
pcsd_direct,ETTm2,7,2,0.20714984688735089,True
pcsd_direct,ETTh1,8,3,1.3288714284391423,True
pcsd_direct,ETTh2,6,1,0.46378336406556797,True
dense_measure,Weather,8,3,0.5198074864609803,True
dense_measure,ETTm1,7,2,0.6996632943712433,True
dense_measure,ETTm2,6,1,0.22350291608096404,True
dense_measure,ETTh1,6,1,1.4037377068809869,True
dense_measure,ETTh2,6,1,0.5189601498762226,True
pcsd_measure,Weather,14,9,0.49340083269561297,True
pcsd_measure,ETTm1,9,4,0.6433551311457348,True
pcsd_measure,ETTm2,7,2,0.20178318904580675,True
pcsd_measure,ETTh1,8,3,1.2763609935023217,True
pcsd_measure,ETTh2,7,2,0.4432439387623509,True
pcsd_equal,Weather,14,9,0.490713643261771,True
pcsd_equal,ETTm1,9,4,0.6321214568697282,True
pcsd_equal,ETTm2,7,2,0.19401631884323986,True
pcsd_equal,ETTh1,7,2,1.205857830564861,True
pcsd_equal,ETTh2,9,4,0.4326160563337561,True
pcsd_prior,Weather,14,9,0.487916317453704,True
pcsd_prior,ETTm1,9,4,0.6294849351303937,True
pcsd_prior,ETTm2,7,2,0.1937458740779206,True
pcsd_prior,ETTh1,7,2,1.2094439422497378,True
pcsd_prior,ETTh2,9,4,0.4310894002566956,True
pcsd_pcc,Weather,14,9,0.4882868937054088,True
pcsd_pcc,ETTm1,9,4,0.6312745967951496,True
pcsd_pcc,ETTm2,7,2,0.19269659151780488,True
pcsd_pcc,ETTh1,7,2,1.2189258090926276,True
pcsd_pcc,ETTh2,9,4,0.4276570397516018,True
siff_equal,Weather,9,4,0.4901855152800665,True
siff_equal,ETTm1,9,4,0.6423071367795014,True
siff_equal,ETTm2,7,2,0.20179752526118325,True
siff_equal,ETTh1,9,4,1.2127097349926195,True
siff_equal,ETTh2,8,3,0.43189590013565654,True
siff_prior,Weather,14,9,0.4878305993013321,True
siff_prior,ETTm1,9,4,0.6344621845102953,True
siff_prior,ETTm2,7,2,0.1991299155182094,True
siff_prior,ETTh1,7,2,1.1687752305572512,True
siff_prior,ETTh2,8,3,0.42798029145152894,True
siff_pcc,Weather,14,9,0.48921757536101346,True
siff_pcc,ETTm1,9,4,0.6392892656096678,True
siff_pcc,ETTm2,7,2,0.20058506864865885,True
siff_pcc,ETTh1,7,2,1.1848077552880916,True
siff_pcc,ETTh2,8,3,0.45601971632974697,True
siff_constant_pcc,Weather,14,9,0.4880423042854841,True
siff_constant_pcc,ETTm1,9,4,0.6319819733720377,True
siff_constant_pcc,ETTm2,7,2,0.19788310112877905,True
siff_constant_pcc,ETTh1,7,2,1.201536075992229,True
siff_constant_pcc,ETTh2,8,3,0.43009517501849337,True
siff_permuted_pcc,Weather,14,9,0.49110800874205157,True
siff_permuted_pcc,ETTm1,9,4,0.6331225508589774,True
siff_permuted_pcc,ETTm2,7,2,0.20013819627074841,True
siff_permuted_pcc,ETTh1,7,2,1.2130969213850293,True
siff_permuted_pcc,ETTh2,8,3,0.43948625754135373,True
siff_q1_wide_pcc,Weather,11,6,0.4887074581007399,True
siff_q1_wide_pcc,ETTm1,9,4,0.6439972262681714,True
siff_q1_wide_pcc,ETTm2,6,1,0.20714243511819014,True
siff_q1_wide_pcc,ETTh1,8,3,1.2906059035098196,True
siff_q1_wide_pcc,ETTh2,7,2,0.4408245228894335,True
siff_independent_pcc,Weather,18,13,0.4845385942262568,True
siff_independent_pcc,ETTm1,9,4,0.6239370762802927,True
siff_independent_pcc,ETTm2,10,5,0.19088988630272014,True
siff_independent_pcc,ETTh1,8,3,1.1668097998636464,True
siff_independent_pcc,ETTh2,9,4,0.42688540332573693,True
