dataset,horizon,full_shape,prefix_shape,prefix_gap,prefix_gradient_l1,tail_gradient_max_abs,total_parameters,active_forward_parameters
Weather,96,"[2, 720, 21]","[2, 96, 21]",0.0,20.74896812438965,0.0,972896,419216
Weather,192,"[2, 720, 21]","[2, 192, 21]",0.0,20.503812789916992,0.0,972896,419216
Weather,336,"[2, 720, 21]","[2, 336, 21]",0.0,20.311738967895508,0.0,972896,419216
ETTm1,96,"[2, 720, 7]","[2, 96, 7]",0.0,32.707191467285156,0.0,945088,391408
ETTm1,192,"[2, 720, 7]","[2, 192, 7]",0.0,34.74472427368164,0.0,945088,391408
ETTm1,336,"[2, 720, 7]","[2, 336, 7]",0.0,33.54240798950195,0.0,945088,391408
ETTh1,96,"[2, 720, 7]","[2, 96, 7]",0.0,33.9426155090332,0.0,1720544,613904
ETTh1,192,"[2, 720, 7]","[2, 192, 7]",0.0,34.386695861816406,0.0,1720544,613904
ETTh1,336,"[2, 720, 7]","[2, 336, 7]",0.0,33.86499786376953,0.0,1720544,613904
ETTh2,96,"[2, 720, 7]","[2, 96, 7]",0.0,33.43244934082031,0.0,972896,419216
ETTh2,192,"[2, 720, 7]","[2, 192, 7]",0.0,32.93696212768555,0.0,972896,419216
ETTh2,336,"[2, 720, 7]","[2, 336, 7]",0.0,33.24545669555664,0.0,972896,419216
ETTm2,96,"[2, 720, 7]","[2, 96, 7]",0.0,34.47663497924805,0.0,3218720,1006160
ETTm2,192,"[2, 720, 7]","[2, 192, 7]",0.0,33.76063537597656,0.0,3218720,1006160
ETTm2,336,"[2, 720, 7]","[2, 336, 7]",0.0,35.355194091796875,0.0,3218720,1006160
