dataset,arm,job_type,own_horizon,target_horizons,validation_horizons,pred_loss_mode,pcc_objective_mode,profile,patch_num,d_model,d_ff,seed,test_role
Weather,a6_measure,reuse,720,720,"96,192,336,720",full,measure_only,r2b_p12_d64_ff128_medium,12,64,128,2021,primary-problem-existence-diagnostic
Weather,a6_full,reuse,720,720,"96,192,336,720",full,off,r2b_p12_d64_ff128_medium,12,64,128,2021,primary-problem-existence-diagnostic
Weather,a6_spec96,train,96,96,96,multi-prefix,off,r2b_p12_d64_ff128_medium,12,64,128,2021,primary-problem-existence-diagnostic
Weather,a6_spec192,train,192,192,192,multi-prefix,off,r2b_p12_d64_ff128_medium,12,64,128,2021,primary-problem-existence-diagnostic
Weather,a6_spec336,train,336,336,336,multi-prefix,off,r2b_p12_d64_ff128_medium,12,64,128,2021,primary-problem-existence-diagnostic
ETTm1,a6_measure,reuse,720,720,"96,192,336,720",full,measure_only,r2b_p24_d32_ff64_narrow,24,32,64,2021,primary-problem-existence-diagnostic
ETTm1,a6_full,reuse,720,720,"96,192,336,720",full,off,r2b_p24_d32_ff64_narrow,24,32,64,2021,primary-problem-existence-diagnostic
ETTm1,a6_spec96,train,96,96,96,multi-prefix,off,r2b_p24_d32_ff64_narrow,24,32,64,2021,primary-problem-existence-diagnostic
ETTm1,a6_spec192,train,192,192,192,multi-prefix,off,r2b_p24_d32_ff64_narrow,24,32,64,2021,primary-problem-existence-diagnostic
ETTm1,a6_spec336,train,336,336,336,multi-prefix,off,r2b_p24_d32_ff64_narrow,24,32,64,2021,primary-problem-existence-diagnostic
ETTh1,a6_measure,reuse,720,720,"96,192,336,720",full,measure_only,r2b_p24_d64_ff128_medium,24,64,128,2021,primary-problem-existence-diagnostic
ETTh1,a6_full,reuse,720,720,"96,192,336,720",full,off,r2b_p24_d64_ff128_medium,24,64,128,2021,primary-problem-existence-diagnostic
ETTh1,a6_spec96,train,96,96,96,multi-prefix,off,r2b_p24_d64_ff128_medium,24,64,128,2021,primary-problem-existence-diagnostic
ETTh1,a6_spec192,train,192,192,192,multi-prefix,off,r2b_p24_d64_ff128_medium,24,64,128,2021,primary-problem-existence-diagnostic
ETTh1,a6_spec336,train,336,336,336,multi-prefix,off,r2b_p24_d64_ff128_medium,24,64,128,2021,primary-problem-existence-diagnostic
ETTh2,a6_measure,reuse,720,720,"96,192,336,720",full,measure_only,r2b_p12_d64_ff128_medium,12,64,128,2021,primary-problem-existence-diagnostic
ETTh2,a6_full,reuse,720,720,"96,192,336,720",full,off,r2b_p12_d64_ff128_medium,12,64,128,2021,primary-problem-existence-diagnostic
ETTh2,a6_spec96,train,96,96,96,multi-prefix,off,r2b_p12_d64_ff128_medium,12,64,128,2021,primary-problem-existence-diagnostic
ETTh2,a6_spec192,train,192,192,192,multi-prefix,off,r2b_p12_d64_ff128_medium,12,64,128,2021,primary-problem-existence-diagnostic
ETTh2,a6_spec336,train,336,336,336,multi-prefix,off,r2b_p12_d64_ff128_medium,12,64,128,2021,primary-problem-existence-diagnostic
ETTm2,a6_measure,reuse,720,720,"96,192,336,720",full,measure_only,r2b_p48_d64_ff128_medium,48,64,128,2021,primary-problem-existence-diagnostic
ETTm2,a6_full,reuse,720,720,"96,192,336,720",full,off,r2b_p48_d64_ff128_medium,48,64,128,2021,primary-problem-existence-diagnostic
ETTm2,a6_spec96,train,96,96,96,multi-prefix,off,r2b_p48_d64_ff128_medium,48,64,128,2021,primary-problem-existence-diagnostic
ETTm2,a6_spec192,train,192,192,192,multi-prefix,off,r2b_p48_d64_ff128_medium,48,64,128,2021,primary-problem-existence-diagnostic
ETTm2,a6_spec336,train,336,336,336,multi-prefix,off,r2b_p48_d64_ff128_medium,48,64,128,2021,primary-problem-existence-diagnostic
