dataset,horizon,epochs_trained,best_epoch,best_validation_mse,early_stopping_triggered,best_epoch_at_budget_boundary
Weather,96,14,9,0.39527072726438445,True,False
Weather,192,19,14,0.4522936458233744,True,False
Weather,336,20,18,0.5115796455758668,False,False
ETTm1,96,20,19,0.37653362766529125,False,False
ETTm1,192,20,15,0.4985088555452724,True,False
ETTm1,336,14,9,0.6605705600897116,True,False
ETTh1,96,7,2,0.8102764142677188,True,False
ETTh1,192,7,2,1.0505514475516975,True,False
ETTh1,336,7,2,1.2632190250747262,True,False
ETTh2,96,19,14,0.22256522113457322,True,False
ETTh2,192,7,2,0.3191254135842125,True,False
ETTh2,336,7,2,0.4273639248151864,True,False
ETTm2,96,18,13,0.10858979726132627,True,False
ETTm2,192,10,5,0.14760216973566762,True,False
ETTm2,336,10,5,0.19517220096618293,True,False
