dataset,specialist_horizon,interval_start,interval_end,specialist_probe_mse,a6_measure_probe_mse,gain_over_a6_measure_percent,prediction_nrmse
Weather,96,1,48,0.12140504270792007,0.1185215637087822,-2.4328728957903722,0.07966805249452591
Weather,96,49,96,0.12712013721466064,0.12417330592870712,-2.373160047494771,0.11982742697000504
Weather,192,1,96,0.12281942367553711,0.12134742736816406,-1.213042863205538,0.05004362761974335
Weather,192,97,192,0.3104729652404785,0.3119161128997803,0.46267172474204754,0.05874629318714142
Weather,336,1,96,0.12812170386314392,0.12134742736816406,-5.582546446927905,0.04862889274954796
Weather,336,97,192,0.31177183985710144,0.3119161128997803,0.046253796040729434,0.05000407248735428
Weather,336,193,336,0.3455986976623535,0.34733453392982483,0.4997591940633317,0.05647321790456772
ETTm1,96,1,48,0.5412577390670776,0.47017720341682434,-15.117818374371183,0.09047160297632217
ETTm1,96,49,96,0.14275407791137695,0.12798456847667694,-11.540070502633682,0.11063695698976517
ETTm1,192,1,96,0.3210356533527374,0.29908087849617004,-7.340748417939569,0.07261892408132553
ETTm1,192,97,192,0.4421714246273041,0.43151965737342834,-2.4684315237713195,0.0634695291519165
ETTm1,336,1,96,0.29489684104919434,0.29908087849617004,1.398965212357861,0.048762377351522446
ETTm1,336,97,192,0.42326346039772034,0.43151965737342834,1.913284096015877,0.0560658723115921
ETTm1,336,193,336,0.1582721322774887,0.16360700130462646,3.26078284217467,0.05667427182197571
ETTh1,96,1,48,0.3001965582370758,0.296709269285202,-1.1753218766218376,0.09963793307542801
ETTh1,96,49,96,0.23009078204631805,0.24453912675380707,5.908397931769449,0.1026906743645668
ETTh1,192,1,96,0.2768944203853607,0.27062419056892395,-2.3169509729544346,0.09431544691324234
ETTh1,192,97,192,0.45287850499153137,0.45297935605049133,0.02226394152688993,0.10191679000854492
ETTh1,336,1,96,0.2813016176223755,0.27062419056892395,-3.945481381765892,0.08881592005491257
ETTh1,336,97,192,0.45711550116539,0.45297935605049133,-0.9130979281178675,0.07896594703197479
ETTh1,336,193,336,0.369784951210022,0.37550467252731323,1.523209093190503,0.09622102230787277
ETTh2,96,1,48,0.07546009123325348,0.08379777520895004,9.949767705534573,0.056692078709602356
ETTh2,96,49,96,0.07513385266065598,0.07795953005552292,3.6245439048368966,0.060023922473192215
ETTh2,192,1,96,0.08226919919252396,0.08087864518165588,-1.719309228962529,0.016722002997994423
ETTh2,192,97,192,0.12083954364061356,0.11835142225027084,-2.1023164259752036,0.01863670162856579
ETTh2,336,1,96,0.08234035223722458,0.08087864518165588,-1.8072842989464766,0.017007354646921158
ETTh2,336,97,192,0.11997982114553452,0.11835142225027084,-1.3759014165627859,0.014013832435011864
ETTh2,336,193,336,0.11056587100028992,0.11249943822622299,1.7187350056316775,0.019590221345424652
ETTm2,96,1,48,0.09743254631757736,0.09893115609884262,1.5148006354722021,0.035085078328847885
ETTm2,96,49,96,0.043031904846429825,0.04112343117594719,-4.64084249759511,0.039232537150382996
ETTm2,192,1,96,0.07019700855016708,0.07002729177474976,-0.2423580451508034,0.02314826287329197
ETTm2,192,97,192,0.08701545000076294,0.08474549651145935,-2.678553531156247,0.03680302947759628
ETTm2,336,1,96,0.07037710398435593,0.07002729177474976,-0.49953696728894936,0.020845716819167137
ETTm2,336,97,192,0.08616039901971817,0.08474549651145935,-1.669590204203364,0.01917155273258686
ETTm2,336,193,336,0.11579158902168274,0.11099696159362793,-4.319602410026735,0.022995464503765106
