dataset,readout_mode,checkpoint_sha256,checkpoint_retrained,all_finite,protocol_pass,readout_contract_pass,prefix_gap,test_access_authorized,pass
ETTh1,learned-basis-forecast-operator,608023e3564640e7c0fc00c29edadc19c614fbe3a46683537ee7eff1089fa967,False,True,True,True,2.384185791015625e-07,True,True
ETTh2,learned-basis-forecast-operator,b6178da4e329647e88bb5b340650926a4d86506eb06f5ff02831dae7cf27eacf,False,True,True,True,2.384185791015625e-07,True,True
ETTm1,learned-basis-forecast-operator,cbb57f5c5f32ba2889f6ef9c0aaf165103b319fc64c288df843ac1bb4a0fcef3,False,True,True,True,2.384185791015625e-07,True,True
ETTm2,learned-basis-forecast-operator,80667ea06869d886243687a83935e14d2d22f1400de2b61464e7f56449470668,False,True,True,True,2.384185791015625e-07,True,True
Weather,learned-basis-forecast-operator,14b572a18f8ecc12dab40fc0f7c16e10953df982155b71eec6bfa77788f1073d,False,True,True,True,3.5762786865234375e-07,True,True
ETTh1,learned-basis-forecast-operator,5cfa4eb8bd58d0c524afe747aa58665e18e9ef0490ff082d5355d9ba059c6e69,False,True,True,True,3.5762786865234375e-07,True,True
ETTh2,learned-basis-forecast-operator,501587f8cc26578b791273bdd5d0058b35b53edd2fa83f94421f071964192005,False,True,True,True,2.384185791015625e-07,True,True
ETTm1,learned-basis-forecast-operator,2492d7c6f840fa69117201b957f7dc6b37bcaea0df44ad26f479b1e2495dae03,False,True,True,True,5.960464477539063e-08,True,True
ETTm2,learned-basis-forecast-operator,5d89a48bad84e9c61e8c6e2acd10848f25e62a4b65241db769bffdfc596f9a05,False,True,True,True,2.9802322387695312e-08,True,True
Weather,learned-basis-forecast-operator,d55d81b75735056a9016f6f3217127bca9c0c71cdcb5ac18045b1736c7846489,False,True,True,True,3.5762786865234375e-07,True,True
ETTh1,learned-basis-forecast-operator,9d34828adc96f27a4e93ca5b35d340d731a718e7ef6d9119b11922e3012f41d2,True,True,True,True,2.384185791015625e-07,True,True
ETTh2,learned-basis-forecast-operator,82cb58d15b2ba6615bfcc572e0521334c0820ded596ca39bacac31df44d7b9f6,True,True,True,True,2.384185791015625e-07,True,True
ETTm1,learned-basis-forecast-operator,b507f5adadd525bfccc57828f1482e5d76cacba2c493a50f10bc4fce9e936358,True,True,True,True,5.960464477539063e-08,True,True
ETTm2,learned-basis-forecast-operator,d89a46f5749d9f45c8a97ded7b94a60eaf10f8cdcc36e0cb348d8a28641916b9,True,True,True,True,2.384185791015625e-07,True,True
Weather,learned-basis-forecast-operator,8924376a5adfcb2959701b4f17b3b47cbc861abc8c143cce6fcce5c2626d15c1,True,True,True,True,3.5762786865234375e-07,True,True
ETTh1,learned-basis-forecast-operator,3cba98aec19184295584c6edc4e73668b99f35b1cba29f96e2137e7117d4ab31,True,True,True,True,1.1920928955078125e-07,True,True
ETTh2,learned-basis-forecast-operator,3ddbfbf35758292f45d239da36187bf6dfa4a67466da80e64a276b0002b58b19,True,True,True,True,1.1920928955078125e-07,True,True
ETTm1,learned-basis-forecast-operator,365287d98b8dc352a21e62388b8465eed2f932236a3bb753f67159aa5bde7aa0,True,True,True,True,1.7881393432617188e-07,True,True
ETTm2,learned-basis-forecast-operator,6dc6899986d201b8e712d8eea12bda14801773e25885a9231d3cd787e519c450,True,True,True,True,5.960464477539063e-08,True,True
Weather,learned-basis-forecast-operator,8be01be67436253e3da972ecff9fa228d72cbe821af04753aa3801b5093eaf74,True,True,True,True,3.5762786865234375e-07,True,True
ETTh1,learned-basis-forecast-operator,7adb341935015b0296177366703ea1c70b054f6ceb252e638406beea885fbe58,True,True,True,True,1.1920928955078125e-07,True,True
ETTh2,learned-basis-forecast-operator,c33dc4f912dade5f39d2198b7bf491577c8c4cae56d8625fdea31222ebdaa635,True,True,True,True,2.384185791015625e-07,True,True
ETTm1,learned-basis-forecast-operator,7a08799b8a9dff2412e813f7c7b88c5a248a64e766cd56531be9ff63375ce7c4,True,True,True,True,2.384185791015625e-07,True,True
ETTm2,learned-basis-forecast-operator,303ba717fba4a1b2155c7e3e5abbba0e1a65fb9a7464900270fb79b87d7668d1,True,True,True,True,2.384185791015625e-07,True,True
Weather,learned-basis-forecast-operator,566aca0db9f6ee5ade8caecd194e1d4acdf8082fba3286a745e818d292acfdd1,True,True,True,True,3.5762786865234375e-07,True,True
