split,comparison,metric,horizon,gain_percent,dataset_wins
validation,transfer_spec_vs_a6,mse,96,1.3807473011328208,4
validation,transfer_spec_vs_a6,mse,192,0.597496229481016,3
validation,transfer_spec_vs_a6,mse,336,0.3208866847670633,3
validation,transfer_spec_vs_a6,mse,720,0.002875566321498546,3
validation,transfer_spec_vs_a6,mae,96,0.09956498893398669,2
validation,transfer_spec_vs_a6,mae,192,-0.1476910077369209,1
validation,transfer_spec_vs_a6,mae,336,-0.201801989633017,2
validation,transfer_spec_vs_a6,mae,720,-0.328963041550967,1
validation,specificity_spec_vs_random,mse,96,1.600424870505437,4
validation,specificity_spec_vs_random,mse,192,0.8068120043402671,4
validation,specificity_spec_vs_random,mse,336,0.40851073302633045,4
validation,specificity_spec_vs_random,mse,720,0.09933575887557389,3
validation,specificity_spec_vs_random,mae,96,0.6391461381384844,4
validation,specificity_spec_vs_random,mae,192,0.3056692426053176,3
validation,specificity_spec_vs_random,mae,336,0.15747481681104514,3
validation,specificity_spec_vs_random,mae,720,0.05217155786032324,3
validation,capacity_random_vs_a6,mse,96,-0.22882489704418196,2
validation,capacity_random_vs_a6,mse,192,-0.21413930004502646,2
validation,capacity_random_vs_a6,mse,336,-0.090591937742035,2
validation,capacity_random_vs_a6,mse,720,-0.09853959435907056,2
validation,capacity_random_vs_a6,mae,96,-0.5433183480004411,1
validation,capacity_random_vs_a6,mae,192,-0.45493228642610406,2
validation,capacity_random_vs_a6,mae,336,-0.3603248918356128,2
validation,capacity_random_vs_a6,mae,720,-0.3819317308198711,1
test,transfer_spec_vs_a6,mse,96,-0.8421744673322529,2
test,transfer_spec_vs_a6,mse,192,-0.7137086140038673,2
test,transfer_spec_vs_a6,mse,336,-0.7271797039543637,2
test,transfer_spec_vs_a6,mse,720,-0.7624355810249095,2
test,transfer_spec_vs_a6,mae,96,-0.7521294406667867,1
test,transfer_spec_vs_a6,mae,192,-0.6095309747119515,1
test,transfer_spec_vs_a6,mae,336,-0.4801689850325652,1
test,transfer_spec_vs_a6,mae,720,-0.49051239713705286,0
test,specificity_spec_vs_random,mse,96,0.2657248163627557,4
test,specificity_spec_vs_random,mse,192,0.2538558927967771,4
test,specificity_spec_vs_random,mse,336,0.06721745416173652,3
test,specificity_spec_vs_random,mse,720,-0.021837512216229538,3
test,specificity_spec_vs_random,mae,96,0.07329736995768998,3
test,specificity_spec_vs_random,mae,192,0.07089085306416276,3
test,specificity_spec_vs_random,mae,336,0.00863640615202943,3
test,specificity_spec_vs_random,mae,720,-0.04370740107070059,3
test,capacity_random_vs_a6,mse,96,-1.1093874241039736,2
test,capacity_random_vs_a6,mse,192,-0.9676038576263357,1
test,capacity_random_vs_a6,mse,336,-0.7925836895690952,2
test,capacity_random_vs_a6,mse,720,-0.7414678556881449,2
test,capacity_random_vs_a6,mae,96,-0.8264463433574165,1
test,capacity_random_vs_a6,mae,192,-0.6809931493745625,0
test,capacity_random_vs_a6,mae,336,-0.4892152982849107,1
test,capacity_random_vs_a6,mae,720,-0.4477415889789427,1
