split,control,dataset,horizon,ordered_mse,control_mse,mse_gain,ordered_mae,control_mae,mae_gain
validation,GLOBAL_COMPRESSED,ETTh1,96,1.3114316867930549,1.406466971550669,0.06757022146978331,0.8296151168289638,0.8571008358682904,0.03206824435246533
validation,GLOBAL_COMPRESSED,ETTh1,192,1.572896381219228,1.518805286714009,-0.03561423901956989,0.9063060006925038,0.8938439843200502,-0.013942048714388878
validation,GLOBAL_COMPRESSED,ETTh1,336,1.7594608125232516,1.6476263707997847,-0.06787609357647065,0.9577513738554351,0.9373936101692875,-0.02171741247785029
validation,GLOBAL_COMPRESSED,ETTh1,720,1.8545549105084131,1.8374153984917534,-0.009328055066224415,0.9793074085598901,0.9971454453846765,0.01788910224416153
validation,GLOBAL_COMPRESSED,ETTh2,96,0.28015661310581935,0.3964946073080812,0.29341633418954877,0.3856023695497286,0.46509454470305217,0.17091616330197285
validation,GLOBAL_COMPRESSED,ETTh2,192,0.34419348356979235,0.45515618473291397,0.24379038423532493,0.42220241469996317,0.49614490958906354,0.14903406940190903
validation,GLOBAL_COMPRESSED,ETTh2,336,0.44721428309979083,0.5382621521446981,0.16915153458612736,0.47662091092998476,0.5383703274791743,0.1146969165970207
validation,GLOBAL_COMPRESSED,ETTh2,720,0.7195389225369409,0.7333623730947101,0.018849413420865546,0.6051887746841188,0.6225930618861365,0.027954515184110254
validation,GLOBAL_COMPRESSED,ETTm1,96,0.49951186243976864,0.963436080231553,0.48153087403606937,0.4941526793298267,0.6988802119379952,0.29293651345551613
validation,GLOBAL_COMPRESSED,ETTm1,192,0.6086349338293076,1.0487490253789085,0.4196562579789665,0.541037841921761,0.7279871993121647,0.2568030833056432
validation,GLOBAL_COMPRESSED,ETTm1,336,0.740257427805946,1.1561391763135689,0.35971599010569916,0.5916597612050115,0.7624431045687928,0.2239948690471396
validation,GLOBAL_COMPRESSED,ETTm1,720,0.993336030036684,1.364812307509165,0.27218121893290914,0.6776518840638418,0.8267660110715835,0.1803583178443351
