control,dataset,bin,start,end,mse_gain,mae_gain
GLOBAL_COMPRESSED,ETTh1,h1_48,0,48,0.04374969998153579,0.01807710656107458
GLOBAL_COMPRESSED,ETTh1,h49_96,48,96,0.03365373969450422,0.016976183121387562
GLOBAL_COMPRESSED,ETTh1,h97_192,96,192,0.025969515422196717,0.014446644574816377
GLOBAL_COMPRESSED,ETTh1,h193_336,192,336,0.040700058750272744,0.026985754578775004
GLOBAL_COMPRESSED,ETTh1,h337_720,336,720,0.05868233931974233,0.04524294769400914
GLOBAL_COMPRESSED,ETTh2,h1_48,0,48,0.17561958808417288,0.13778409450291415
GLOBAL_COMPRESSED,ETTh2,h49_96,48,96,0.1197596615052162,0.09721761550805046
GLOBAL_COMPRESSED,ETTh2,h97_192,96,192,0.05805465599715766,0.06209004283349571
GLOBAL_COMPRESSED,ETTh2,h193_336,192,336,0.036254243656598295,0.03205202316091163
GLOBAL_COMPRESSED,ETTh2,h337_720,336,720,0.03516061897446351,0.03335167004571698
GLOBAL_COMPRESSED,ETTm1,h1_48,0,48,0.41938360318823903,0.23359926430204467
GLOBAL_COMPRESSED,ETTm1,h49_96,48,96,0.40895661024443175,0.22298890508969302
GLOBAL_COMPRESSED,ETTm1,h97_192,96,192,0.35253644756126185,0.19013266660216413
GLOBAL_COMPRESSED,ETTm1,h193_336,192,336,0.2971926241101018,0.15924494531790082
GLOBAL_COMPRESSED,ETTm1,h337_720,336,720,0.23208164861943187,0.13056791010777785
GLOBAL_COMPRESSED,ETTm2,h1_48,0,48,0.2825077331636723,0.15018190027947265
GLOBAL_COMPRESSED,ETTm2,h49_96,48,96,0.2075324805403286,0.13045043894596905
GLOBAL_COMPRESSED,ETTm2,h97_192,96,192,0.0785465035183094,0.059156324868819575
GLOBAL_COMPRESSED,ETTm2,h193_336,192,336,0.06026884751143109,0.044265466158586564
GLOBAL_COMPRESSED,ETTm2,h337_720,336,720,0.07281093023193311,0.047697912843619246
GLOBAL_COMPRESSED,Weather,h1_48,0,48,0.4273501355905941,0.3725359846422585
GLOBAL_COMPRESSED,Weather,h49_96,48,96,0.2717111407702497,0.21553555753392262
GLOBAL_COMPRESSED,Weather,h97_192,96,192,0.20829292549858958,0.16238453791841817
GLOBAL_COMPRESSED,Weather,h193_336,192,336,0.11941521732262436,0.10475219181753036
GLOBAL_COMPRESSED,Weather,h337_720,336,720,0.06500091388612282,0.07075996896690734
POOLED_MEMORY,ETTh1,h1_48,0,48,0.06518583147040469,0.058346512183138154
POOLED_MEMORY,ETTh1,h49_96,48,96,0.05340907105712567,0.04711828469001403
POOLED_MEMORY,ETTh1,h97_192,96,192,0.04481463783574757,0.04003840909831641
POOLED_MEMORY,ETTh1,h193_336,192,336,0.05966396671282116,0.045348357452646815
POOLED_MEMORY,ETTh1,h337_720,336,720,0.06469571528360041,0.050157617027763314
POOLED_MEMORY,ETTh2,h1_48,0,48,0.19203582567584873,0.14551214450019714
POOLED_MEMORY,ETTh2,h49_96,48,96,0.149660976789276,0.11509813809533177
POOLED_MEMORY,ETTh2,h97_192,96,192,0.12490983196165432,0.09939494471005267
POOLED_MEMORY,ETTh2,h193_336,192,336,0.10848259581677594,0.07987697968095661
POOLED_MEMORY,ETTh2,h337_720,336,720,0.11004398855002333,0.07903151587967566
POOLED_MEMORY,ETTm1,h1_48,0,48,0.4070359851537073,0.22290753116661738
POOLED_MEMORY,ETTm1,h49_96,48,96,0.3956455062364119,0.21663617993511788
POOLED_MEMORY,ETTm1,h97_192,96,192,0.34473045645858114,0.1862569814336785
POOLED_MEMORY,ETTm1,h193_336,192,336,0.29140651138631724,0.15633732694121816
POOLED_MEMORY,ETTm1,h337_720,336,720,0.23088425774503923,0.1310709092850052
POOLED_MEMORY,ETTm2,h1_48,0,48,0.3707273880039409,0.18749333453682285
POOLED_MEMORY,ETTm2,h49_96,48,96,0.25178045188730536,0.1488642765315882
POOLED_MEMORY,ETTm2,h97_192,96,192,0.09644028485313846,0.06862620986950362
POOLED_MEMORY,ETTm2,h193_336,192,336,0.060064592001294284,0.04752410349668532
POOLED_MEMORY,ETTm2,h337_720,336,720,0.05609670309051012,0.04206175603116359
POOLED_MEMORY,Weather,h1_48,0,48,0.31056328141933104,0.28964928665167045
POOLED_MEMORY,Weather,h49_96,48,96,0.16405419627501483,0.15529828348925884
POOLED_MEMORY,Weather,h97_192,96,192,0.12844832473237686,0.12018202323863161
POOLED_MEMORY,Weather,h193_336,192,336,0.08328874976489989,0.08510275518330378
POOLED_MEMORY,Weather,h337_720,336,720,0.05010938455031139,0.06335340842521628
ORDER_SHUFFLED,ETTh1,h1_48,0,48,0.036081083528650935,0.034108360364686084
ORDER_SHUFFLED,ETTh1,h49_96,48,96,0.02729156465822722,0.026355519949855823
ORDER_SHUFFLED,ETTh1,h97_192,96,192,0.018819980518924254,0.02105971448400069
ORDER_SHUFFLED,ETTh1,h193_336,192,336,0.028873022582945777,0.022400162496398132
ORDER_SHUFFLED,ETTh1,h337_720,336,720,0.0007520083597357322,-0.0026349422095431597
ORDER_SHUFFLED,ETTh2,h1_48,0,48,0.21784558422350989,0.15959735845294562
ORDER_SHUFFLED,ETTh2,h49_96,48,96,0.13240057673428954,0.10922218411425791
ORDER_SHUFFLED,ETTh2,h97_192,96,192,0.08758753184334396,0.07966816185280515
ORDER_SHUFFLED,ETTh2,h193_336,192,336,0.054551759514295355,0.04435102180767262
ORDER_SHUFFLED,ETTh2,h337_720,336,720,0.06880079912235099,0.05291479493239042
ORDER_SHUFFLED,ETTm1,h1_48,0,48,0.4083360363011393,0.2166794603187877
ORDER_SHUFFLED,ETTm1,h49_96,48,96,0.39813504112218295,0.2078418982817287
ORDER_SHUFFLED,ETTm1,h97_192,96,192,0.3421926420879395,0.17603223445124863
ORDER_SHUFFLED,ETTm1,h193_336,192,336,0.2825735674263557,0.15012169498330558
ORDER_SHUFFLED,ETTm1,h337_720,336,720,0.22201290531688636,0.12902393567411946
ORDER_SHUFFLED,ETTm2,h1_48,0,48,0.37252635413906354,0.18836484238797366
ORDER_SHUFFLED,ETTm2,h49_96,48,96,0.25418428722359393,0.1505462484508172
ORDER_SHUFFLED,ETTm2,h97_192,96,192,0.09905903928625788,0.07025023027189499
ORDER_SHUFFLED,ETTm2,h193_336,192,336,0.06269269683634253,0.04829789793426526
ORDER_SHUFFLED,ETTm2,h337_720,336,720,0.0619165554383726,0.04388344108935611
ORDER_SHUFFLED,Weather,h1_48,0,48,0.3476602039914268,0.32605876218099744
ORDER_SHUFFLED,Weather,h49_96,48,96,0.20580420883080786,0.18357818372987
ORDER_SHUFFLED,Weather,h97_192,96,192,0.1645667996315334,0.14131479476798675
ORDER_SHUFFLED,Weather,h193_336,192,336,0.10544267152604554,0.09542337278693548
ORDER_SHUFFLED,Weather,h337_720,336,720,0.058497533723464744,0.06555388967682312
TARGET_SHUFFLED_QUERY,ETTh1,h1_48,0,48,0.04771352167965465,0.04576731236003596
TARGET_SHUFFLED_QUERY,ETTh1,h49_96,48,96,0.048858648780932816,0.04161199484746267
TARGET_SHUFFLED_QUERY,ETTh1,h97_192,96,192,0.043728965109415555,0.03708473225511367
TARGET_SHUFFLED_QUERY,ETTh1,h193_336,192,336,0.04534318907734938,0.03660880836692186
TARGET_SHUFFLED_QUERY,ETTh1,h337_720,336,720,0.017811934736314535,0.017701683124176824
TARGET_SHUFFLED_QUERY,ETTh2,h1_48,0,48,0.12301426137468333,0.08419295752026208
TARGET_SHUFFLED_QUERY,ETTh2,h49_96,48,96,0.09923744785638014,0.06561695038561446
TARGET_SHUFFLED_QUERY,ETTh2,h97_192,96,192,0.09168142385635415,0.05819627350780885
TARGET_SHUFFLED_QUERY,ETTh2,h193_336,192,336,0.03897620507499297,0.030080910570808143
TARGET_SHUFFLED_QUERY,ETTh2,h337_720,336,720,0.027527670521490348,0.01687487891964491
TARGET_SHUFFLED_QUERY,ETTm1,h1_48,0,48,0.4619564451405412,0.24522837119239477
TARGET_SHUFFLED_QUERY,ETTm1,h49_96,48,96,0.4352582331737049,0.22533886615290283
