job,dataset,arm,projection_mode,partition,mode_rank,profile,seed,split
1,Weather,sps_scope_canonical,scope,canonical,116,r2b_p12_d64_ff128_medium,2021,validation
2,Weather,sps_identity_canonical,identity,canonical,116,r2b_p12_d64_ff128_medium,2021,validation
3,Weather,sps_global_canonical,global,canonical,116,r2b_p12_d64_ff128_medium,2021,validation
4,Weather,sps_scope_random,scope,random,116,r2b_p12_d64_ff128_medium,2021,validation
5,ETTm1,sps_scope_canonical,scope,canonical,116,r2b_p24_d32_ff64_narrow,2021,validation
6,ETTm1,sps_identity_canonical,identity,canonical,116,r2b_p24_d32_ff64_narrow,2021,validation
7,ETTm1,sps_global_canonical,global,canonical,116,r2b_p24_d32_ff64_narrow,2021,validation
8,ETTm1,sps_scope_random,scope,random,116,r2b_p24_d32_ff64_narrow,2021,validation
9,ETTh1,sps_scope_canonical,scope,canonical,109,r2b_p24_d64_ff128_medium,2021,validation
10,ETTh1,sps_identity_canonical,identity,canonical,109,r2b_p24_d64_ff128_medium,2021,validation
11,ETTh1,sps_global_canonical,global,canonical,109,r2b_p24_d64_ff128_medium,2021,validation
12,ETTh1,sps_scope_random,scope,random,109,r2b_p24_d64_ff128_medium,2021,validation
13,ETTh2,sps_scope_canonical,scope,canonical,116,r2b_p12_d64_ff128_medium,2021,validation
14,ETTh2,sps_identity_canonical,identity,canonical,116,r2b_p12_d64_ff128_medium,2021,validation
15,ETTh2,sps_global_canonical,global,canonical,116,r2b_p12_d64_ff128_medium,2021,validation
16,ETTh2,sps_scope_random,scope,random,116,r2b_p12_d64_ff128_medium,2021,validation
17,ETTm2,sps_scope_canonical,scope,canonical,106,r2b_p48_d64_ff128_medium,2021,validation
18,ETTm2,sps_identity_canonical,identity,canonical,106,r2b_p48_d64_ff128_medium,2021,validation
19,ETTm2,sps_global_canonical,global,canonical,106,r2b_p48_d64_ff128_medium,2021,validation
20,ETTm2,sps_scope_random,scope,random,106,r2b_p48_d64_ff128_medium,2021,validation
