dataset,seed,left_scale,right_scale,prediction_nrmse,residual_correlation,log_scale_distance
ETTh1,2021,1,48,0.3621498945333274,0.8878499109087974,3.871201010907891
ETTh1,2021,1,144,0.3820075834376354,0.8757847187247229,4.969813299576001
ETTh1,2021,1,360,0.43562449136119547,0.8530291125641347,5.886104031450156
ETTh1,2021,1,720,0.5117261874325258,0.8126214976852549,6.579251212010101
ETTh1,2021,48,144,0.382388551109986,0.8746443509267748,1.0986122886681096
ETTh1,2021,48,360,0.44036062711452095,0.8490630076098696,2.0149030205422647
ETTh1,2021,48,720,0.5022650918887793,0.8181956967153841,2.70805020110221
ETTh1,2021,144,360,0.424142630338233,0.8606011696363594,0.9162907318741551
ETTh1,2021,144,720,0.5071323080797542,0.8155451765449706,1.6094379124341005
ETTh1,2021,360,720,0.4319309133620799,0.8795695759093067,0.6931471805599454
ETTh1,2022,1,48,0.35341186016363574,0.8818075100415654,3.871201010907891
ETTh1,2022,1,144,0.3737391068000974,0.8692630277512342,4.969813299576001
ETTh1,2022,1,360,0.41418349170930435,0.8511400196124213,5.886104031450156
ETTh1,2022,1,720,0.47989842156584134,0.8138359238156841,6.579251212010101
ETTh1,2022,48,144,0.37075854600490227,0.8704444165167379,1.0986122886681096
ETTh1,2022,48,360,0.4130490999243413,0.8509905146726939,2.0149030205422647
ETTh1,2022,48,720,0.4781505420316911,0.814239296437432,2.70805020110221
ETTh1,2022,144,360,0.40454648941262733,0.8581472033126835,0.9162907318741551
ETTh1,2022,144,720,0.47034636461101115,0.8216650794569934,1.6094379124341005
ETTh1,2022,360,720,0.39489358232703026,0.8844246608347462,0.6931471805599454
ETTh1,2023,1,48,0.3543345697881113,0.8903554984789729,3.871201010907891
ETTh1,2023,1,144,0.38327637246549884,0.8730589517676254,4.969813299576001
ETTh1,2023,1,360,0.4395353852555726,0.8485268980529715,5.886104031450156
ETTh1,2023,1,720,0.5154351392108796,0.8081276064529973,6.579251212010101
ETTh1,2023,48,144,0.38021165695808706,0.874235186127783,1.0986122886681096
ETTh1,2023,48,360,0.43683203734065157,0.8494867981979207,2.0149030205422647
ETTh1,2023,48,720,0.5106142294621581,0.8105517982822625,2.70805020110221
ETTh1,2023,144,360,0.4233738007494442,0.8602351988191655,0.9162907318741551
ETTh1,2023,144,720,0.5070314510461582,0.815408835102925,1.6094379124341005
ETTh1,2023,360,720,0.42757534755351567,0.8816103777188307,0.6931471805599454
ETTh2,2021,1,48,0.08981370559033565,0.9032641192195048,3.871201010907891
ETTh2,2021,1,144,0.09340432644877389,0.8984742120834806,4.969813299576001
ETTh2,2021,1,360,0.08442650699758952,0.912689768037014,5.886104031450156
ETTh2,2021,1,720,0.0831978256211746,0.9158937224486521,6.579251212010101
ETTh2,2021,48,144,0.09320748414042666,0.8999121357149136,1.0986122886681096
ETTh2,2021,48,360,0.08110315939616831,0.9197072812973688,2.0149030205422647
ETTh2,2021,48,720,0.08250897747777312,0.9180800300699987,2.70805020110221
ETTh2,2021,144,360,0.08435589220606472,0.918266924861416,0.9162907318741551
ETTh2,2021,144,720,0.08191039364996473,0.9187043079763073,1.6094379124341005
ETTh2,2021,360,720,0.06671811886658091,0.9458505105187519,0.6931471805599454
ETTh2,2022,1,48,0.10832972896226198,0.871775198267993,3.871201010907891
ETTh2,2022,1,144,0.11033926100277709,0.8654982569835199,4.969813299576001
ETTh2,2022,1,360,0.1034079476909945,0.8805108936664225,5.886104031450156
ETTh2,2022,1,720,0.1007613283977423,0.8853618851421836,6.579251212010101
ETTh2,2022,48,144,0.11044889705260806,0.8658955802041999,1.0986122886681096
ETTh2,2022,48,360,0.10398227282781568,0.8797574270265577,2.0149030205422647
ETTh2,2022,48,720,0.10140227237273775,0.8846322034984728,2.70805020110221
