epoch,train_steps,train_loss,train_prediction_l1,train_prediction_full_l1,train_reconstruction_l1,train_alignment_loss,train_weighted_reconstruction_l1,train_weighted_alignment_loss,pred_loss_mode,pcc_objective_mode,gradient_accumulation_steps,effective_batch_size,validation_horizons,val_mean_mse,lr,epoch_seconds,early_stopping_enabled,early_stopping_patience,early_stopping_min_delta,best_epoch_so_far,epochs_without_improvement,stop_triggered,train_pcc_arm_s0_measure_l1,train_pcc_arm_s1_measure_l1,train_pcc_arm_s2_measure_l1,train_pcc_arm_s3_measure_l1,train_pcc_arm_s4_measure_l1,train_pcc_credit_argmax_accuracy,train_pcc_credit_max,train_pcc_credit_min,train_pcc_credit_normalized_entropy,train_pcc_credit_policy_kl,train_pcc_fused_measure_l1,train_pcc_policy_normalized_entropy,train_pcc_policy_usage_max,train_pcc_route_kl,train_pcc_route_weight,train_pcc_skill_floor,train_pcc_skill_loss,train_pcc_total_loss,train_pcc_weighted_route_loss,train_pcc_weighted_skill_loss
1,1036,0.8346038635057832,0.40845309416529757,0.45663673721225106,0.0,0.0,0.0,0.0,full,equal_skill,1,32,"96,192,336,720",0.654371581694928,0.0001,53.33567237854004,1,5,0.0,1,0,0,0.4426476078891846,0.41880831271985325,0.42064547245336775,0.42372943317107714,0.424922984625612,0.33602234149031546,0.7440330934167829,0.020125472819267208,0.847761530155841,0.24634896305796034,0.40845309416529757,0.8913437749428178,0.3416681307364385,0.0,0.0,1.0,0.4261507693404857,0.8346038635057832,0.0,0.4261507693404857
2,1036,0.7784540700981516,0.3852954203960518,0.4338804730519825,0.0,0.0,0.0,0.0,full,equal_skill,1,32,"96,192,336,720",0.6450467986411356,9.938441702975689e-05,49.57226490974426,1,5,0.0,2,0,0,0.4010552376163512,0.3903988532463096,0.3907838373743429,0.391528919540547,0.3920263633937449,0.2904217675126888,0.7503682778263644,0.020134887703007597,0.841258310328119,0.22864055997443936,0.3852954203960518,0.8999203969382872,0.31248735049631604,0.0,0.0,1.0,0.3931586488966316,0.7784540700981516,0.0,0.3931586488966316
3,1036,0.7669411658895522,0.37958820192970366,0.42949799770438996,0.0,0.0,0.0,0.0,full,equal_skill,1,32,"96,192,336,720",0.6277580203760105,9.755282581475769e-05,50.14095377922058,1,5,0.0,3,0,0,0.39322372160593055,0.3852564105368489,0.38558738232809603,0.3862850499486831,0.3864122259800959,0.3024438145825762,0.7496314659772232,0.020146665055462983,0.8317767325860653,0.32120540236126505,0.37958820192970366,0.8320208241350402,0.2870799711973741,0.0,0.0,1.0,0.3873529644488828,0.7669411658895522,0.0,0.3873529644488828
4,1036,0.7594586116006475,0.37573967233990613,0.4263714336462923,0.0,0.0,0.0,0.0,full,equal_skill,1,32,"96,192,336,720",0.6280502843837779,9.45503262094184e-05,54.38236951828003,1,5,0.0,3,1,0,0.38852705164995893,0.3820411534152896,0.3823489324984403,0.38303220932260446,0.38264531446584865,0.3225366802361136,0.749483025039485,0.02014689748337255,0.8278091653433546,0.4183881996508731,0.37573967233990613,0.7673315523213862,0.27576981621531904,0.0,0.0,1.0,0.3837189394764919,0.7594586116006475,0.0,0.3837189394764919
5,1036,0.7537014899221627,0.372634596835002,0.42385358242569743,0.0,0.0,0.0,0.0,full,equal_skill,1,32,"96,192,336,720",0.6257851144880064,9.045084971874738e-05,53.20971322059631,1,5,0.0,5,0,0,0.384875015459926,0.37977316578612824,0.380079705483895,0.38073416255615855,0.37987238059402895,0.34040985785741146,0.7490086698739225,0.020157448150951083,0.8244499420337235,0.5594131919523003,0.372634596835002,0.6855734192611628,0.2752752183832257,0.0,0.0,1.0,0.38106689323099424,0.7537014899221627,0.0,0.38106689323099424
6,1036,0.7489898743316473,0.3699886899254497,0.42146033224106755,0.0,0.0,0.0,0.0,full,equal_skill,1,32,"96,192,336,720",0.6249305872338092,8.535533905932738e-05,50.318607568740845,1,5,0.0,6,0,0,0.382076779531466,0.3780167372933226,0.37838126917488324,0.37887665574730134,0.377654444699582,0.35469953960857736,0.7485451840410822,0.020171532010062665,0.8224337493360733,0.778086147310651,0.3699886899254497,0.6019108843159031,0.28668360763074807,0.0,0.0,1.0,0.37900118417606393,0.7489898743316473,0.0,0.37900118417606393
7,1036,0.7446199924214006,0.3674174872547043,0.4192451791528569,0.0,0.0,0.0,0.0,full,equal_skill,1,32,"96,192,336,720",0.6234462894981594,7.938926261462366e-05,50.02850127220154,1,5,0.0,7,0,0,0.37971811709947106,0.3764726379778394,0.37687762291620136,0.377239045144048,0.3757050633718148,0.37070680999387645,0.7485477961168326,0.020178138051886816,0.8213699869092367,1.043816136232214,0.3674174872547043,0.533339770144017,0.29657902617482146,0.0,0.0,1.0,0.3772025045625952,0.7446199924214006,0.0,0.3772025045625952
8,1036,0.740834750724115,0.36509804194613316,0.41722367496794255,0.0,0.0,0.0,0.0,full,equal_skill,1,32,"96,192,336,720",0.6207730325979239,7.269952498697734e-05,51.42453742027283,1,5,0.0,8,0,0,0.3778588202239003,0.37521358674327376,0.37561395726954155,0.37587192015988485,0.37412522589377917,0.38410981054126525,0.7484909828220095,0.020180616883783958,0.8209098033808373,1.303324408742912,0.36509804194613316,0.4823039226435326,0.3015464031960973,0.0,0.0,1.0,0.37573670826018085,0.740834750724115,0.0,0.37573670826018085
9,1036,0.7373704303875853,0.3629815032468339,0.4153883257830465,0.0,0.0,0.0,0.0,full,equal_skill,1,32,"96,192,336,720",0.622406866274301,6.545084971874738e-05,49.725773334503174,1,5,0.0,8,1,0,0.3759531141995923,0.374123825385994,0.3745070431223247,0.37463463178357564,0.3727259904318795,0.3981266427914608,0.7486306324773774,0.020184425414183884,0.8202262816511986,1.5337386752647784,0.3629815032468339,0.4457172939848716,0.3042527308047508,0.0,0.0,1.0,0.37438892757225223,0.7373704303875853,0.0,0.37438892757225223
10,1036,0.7344202359555771,0.36112098430344497,0.41372858502805004,0.0,0.0,0.0,0.0,full,equal_skill,1,32,"96,192,336,720",0.6171680887944864,5.782172325201155e-05,49.51077747344971,1,5,0.0,10,0,0,0.3743914965266887,0.3731528694622765,0.37366782381958025,0.3737078542644913,0.3715761750361174,0.40889120444252686,0.7487764830294723,0.020182650252227388,0.8197268095716086,1.7589931481133096,0.36112098430344497,0.41570570092633885,0.3052825890337638,0.0,0.0,1.0,0.37329925122063135,0.7344202359555771,0.0,0.37329925122063135
11,1036,0.7318045117795238,0.3594533603739094,0.41226692788274133,0.0,0.0,0.0,0.0,full,equal_skill,1,32,"96,192,336,720",0.621390027149039,5e-05,54.18693137168884,1,5,0.0,10,1,0,0.3729699552634508,0.3723923369494184,0.3729073825835261,0.37287604823190734,0.37061000577961617,0.41746317684420287,0.7485444304105398,0.020182258329034197,0.8190503266557303,1.956246324947902,0.3594533603739094,0.3936430757656751,0.30497510875053846,0.0,0.0,1.0,0.3723511518083484,0.7318045117795238,0.0,0.3723511518083484
12,1036,0.7293753508895521,0.3579396828577555,0.41101120288652804,0.0,0.0,0.0,0.0,full,equal_skill,1,32,"96,192,336,720",0.6220933457406881,4.2178276747988446e-05,50.66960668563843,1,5,0.0,10,2,0,0.3715716528069789,0.37171021600084875,0.3721366429190838,0.3720437530212421,0.3697160547563238,0.4248856482128379,0.7487475002134169,0.020184201019381003,0.8185252277432261,2.1218798738188727,0.3579396828577555,0.37692914788097026,0.3051942319943638,0.0,0.0,1.0,0.37143566980094983,0.7293753508895521,0.0,0.37143566980094983
13,1036,0.727542029326947,0.3567312063224988,0.4099898007788253,0.0,0.0,0.0,0.0,full,equal_skill,1,32,"96,192,336,720",0.6228943548307085,3.4549150281252636e-05,51.56864857673645,1,5,0.0,10,3,0,0.37046813616766433,0.37118644434167614,0.3717752517592953,0.37153179086313287,0.36909244836642474,0.4307679246866565,0.7486110003413381,0.02019204926752561,0.8178084091099993,2.286153937398697,0.3567312063224988,0.3620471020577957,0.3056923125413854,0.0,0.0,1.0,0.3708108214510454,0.727542029326947,0.0,0.3708108214510454
14,1036,0.7261494673126913,0.35578743555370906,0.40918455405239895,0.0,0.0,0.0,0.0,full,equal_skill,1,32,"96,192,336,720",0.6216137554626802,2.7300475013022663e-05,51.286797761917114,1,5,0.0,10,4,0,0.3696129555350105,0.37089457026319617,0.3714440610245388,0.37118189074242897,0.36867664288369845,0.4351232064506722,0.7486645956757446,0.020187273377042018,0.8173271954404802,2.410443606178733,0.35578743555370906,0.35220247043951136,0.30658601267572533,0.0,0.0,1.0,0.37036203095351405,0.7261494673126913,0.0,0.37036203095351405
15,1036,0.7247783949016144,0.35489265310027884,0.4084905532106009,0.0,0.0,0.0,0.0,full,equal_skill,1,32,"96,192,336,720",0.6228897964536113,2.061073738537635e-05,49.9168975353241,1,5,0.0,10,5,1,0.36884228180389145,0.37056881275646475,0.3710345975393034,0.3707654657971445,0.3682175158994078,0.44025969910920815,0.7486269934297068,0.020187531853216957,0.8170535822747758,2.520555851082084,0.35489265310027884,0.3441204764092751,0.3084055412862752,0.0,0.0,1.0,0.36988574168626864,0.7247783949016144,0.0,0.36988574168626864
