dataset,arm,source,status,protocol_pass,checkpoint_sha256,run_dir
Weather,a6_full,reused_reference,ok,True,14b572a18f8ecc12dab40fc0f7c16e10953df982155b71eec6bfa77788f1073d,/home/yingch/exp_outputs/r-2026-fatst/stage_c_siff_equal_attribution_v2/a6_full/Weather/h720_full/seed2021
ETTm1,a6_full,reused_reference,ok,True,cbb57f5c5f32ba2889f6ef9c0aaf165103b319fc64c288df843ac1bb4a0fcef3,/home/yingch/exp_outputs/r-2026-fatst/stage_c_siff_equal_attribution_v2/a6_full/ETTm1/h720_full/seed2021
ETTh1,a6_full,reused_reference,ok,True,608023e3564640e7c0fc00c29edadc19c614fbe3a46683537ee7eff1089fa967,/home/yingch/exp_outputs/r-2026-fatst/stage_c_siff_equal_attribution_v2/a6_full/ETTh1/h720_full/seed2021
ETTh2,a6_full,reused_reference,ok,True,b6178da4e329647e88bb5b340650926a4d86506eb06f5ff02831dae7cf27eacf,/home/yingch/exp_outputs/r-2026-fatst/stage_c_siff_equal_attribution_v2/a6_full/ETTh2/h720_full/seed2021
ETTm2,a6_full,reused_reference,ok,True,80667ea06869d886243687a83935e14d2d22f1400de2b61464e7f56449470668,/home/yingch/exp_outputs/r-2026-fatst/stage_c_siff_equal_attribution_v2/a6_full/ETTm2/h720_full/seed2021
Weather,iscf_v0,reused_reference,ok,True,d94e4c2cc8769b45c50d44c567132c91414979b752eaf17244f38c446a713d64,/home/yingch/exp_outputs/r-2026-fatst/stage_c_siff_equal_attribution_v2/siff_independent_equal/Weather/h720_full/seed2021
ETTm1,iscf_v0,reused_reference,ok,True,6bd4d86c41c901be55708e0d09ae64bd8be8a428a5c53fa3b5d7ba4955a629b1,/home/yingch/exp_outputs/r-2026-fatst/stage_c_siff_equal_attribution_v2/siff_independent_equal/ETTm1/h720_full/seed2021
ETTh1,iscf_v0,reused_reference,ok,True,6cc42d65b2ae48a1f5f55e3c79df96820641664f4b4668a7298d2f6108e53643,/home/yingch/exp_outputs/r-2026-fatst/stage_c_siff_equal_attribution_v2/siff_independent_equal/ETTh1/h720_full/seed2021
ETTh2,iscf_v0,reused_reference,ok,True,a4c7d5d4818c08e316cc26a8025c39b072bb4ead53119aed021da616cd7ddd31,/home/yingch/exp_outputs/r-2026-fatst/stage_c_siff_equal_attribution_v2/siff_independent_equal/ETTh2/h720_full/seed2021
ETTm2,iscf_v0,reused_reference,ok,True,f63d649b96d6eda29e137b91990e1370c8716fc131c712d740aae7902195b40a,/home/yingch/exp_outputs/r-2026-fatst/stage_c_siff_equal_attribution_v2/siff_independent_equal/ETTm2/h720_full/seed2021
Weather,iscf_v1_cpsi,new_training,ok,True,174cd1be3a6078c8acab7e391b255a4900130630120836ac936cdf34888494ab,/home/yingch/exp_outputs/r-2026-fatst/stage_c_iscf_v1_cpsi_v1/iscf_v1_cpsi/Weather/h720_full/seed2021
ETTm1,iscf_v1_cpsi,new_training,ok,True,2f5f058d37daa9091883a403d8473a75231d3c212f8bdcb7bd8e63ada2aca823,/home/yingch/exp_outputs/r-2026-fatst/stage_c_iscf_v1_cpsi_v1/iscf_v1_cpsi/ETTm1/h720_full/seed2021
ETTh1,iscf_v1_cpsi,new_training,ok,True,af2f725e0d2059f9443dd9fa5ac6a6a3f42e4c8f2e4f14410974967c433a1922,/home/yingch/exp_outputs/r-2026-fatst/stage_c_iscf_v1_cpsi_v1/iscf_v1_cpsi/ETTh1/h720_full/seed2021
ETTh2,iscf_v1_cpsi,new_training,ok,True,f72c44214e939c83e6f947e663558ba8183d6329f3970e25f57626e6a0063c9b,/home/yingch/exp_outputs/r-2026-fatst/stage_c_iscf_v1_cpsi_v1/iscf_v1_cpsi/ETTh2/h720_full/seed2021
ETTm2,iscf_v1_cpsi,new_training,ok,True,6036286dc5f03a76944a8521daeafa04f70681b056c377d3d7ae0e2ef59fa78a,/home/yingch/exp_outputs/r-2026-fatst/stage_c_iscf_v1_cpsi_v1/iscf_v1_cpsi/ETTm2/h720_full/seed2021
