epoch,train_steps,train_loss,train_prediction_l1,train_prediction_full_l1,train_reconstruction_l1,train_alignment_loss,train_weighted_reconstruction_l1,train_weighted_alignment_loss,pred_loss_mode,pcc_objective_mode,gradient_accumulation_steps,effective_batch_size,validation_horizons,val_mean_mse,lr,epoch_seconds,early_stopping_enabled,early_stopping_patience,early_stopping_min_delta,best_epoch_so_far,epochs_without_improvement,stop_triggered,train_pcc_arm_s0_measure_l1,train_pcc_arm_s1_measure_l1,train_pcc_arm_s2_measure_l1,train_pcc_arm_s3_measure_l1,train_pcc_arm_s4_measure_l1,train_pcc_credit_argmax_accuracy,train_pcc_credit_max,train_pcc_credit_min,train_pcc_credit_normalized_entropy,train_pcc_credit_policy_kl,train_pcc_fused_measure_l1,train_pcc_policy_normalized_entropy,train_pcc_policy_usage_max,train_pcc_route_kl,train_pcc_route_weight,train_pcc_skill_floor,train_pcc_skill_loss,train_pcc_total_loss,train_pcc_weighted_route_loss,train_pcc_weighted_skill_loss
1,1108,0.7582097728114696,0.3676815101278388,0.42671691308920995,0.0,0.0,0.0,0.0,full,equal_skill,1,32,"96,192,336,720",0.49975278011101876,0.0001,61.415353298187256,1,5,0.0,1,0,0,0.3930623139177419,0.3928051418238168,0.39023032337965086,0.38633134046616535,0.39021216268358677,0.3063755910115227,0.7494118015150731,0.020190756272067338,0.8227905917253735,0.1733921111463855,0.3676815101278388,0.9703441209526269,0.2324462125904939,0.0,0.0,1.0,0.39052826276432306,0.7582097728114696,0.0,0.39052826276432306
2,1108,0.6974873127489745,0.3446559186231358,0.4036605231168038,0.0,0.0,0.0,0.0,full,equal_skill,1,32,"96,192,336,720",0.4930398341672983,9.938441702975689e-05,60.256181716918945,1,5,0.0,2,0,0,0.35462844928571896,0.354438856028908,0.3535618864618484,0.35055886007280557,0.3509688928508156,0.34872817576254317,0.7511145384303068,0.020163547903272433,0.8217225826281502,0.17264837541681335,0.3446559186231358,0.9497498676772582,0.28474583449884444,0.0,0.0,1.0,0.3528313943410178,0.6974873127489745,0.0,0.3528313943410178
3,1108,0.6853472670600733,0.33947907294069385,0.3991831948826029,0.0,0.0,0.0,0.0,full,equal_skill,1,32,"96,192,336,720",0.48603974654974913,9.755282581475769e-05,58.58097696304321,1,5,0.0,3,0,0,0.3474436997022439,0.34735973859844654,0.34669579772635056,0.34405926219607946,0.3437824386982281,0.3686079583013101,0.7511075218662028,0.02016515275194488,0.8197597974797018,0.1974566212656911,0.33947907294069385,0.9146808503659624,0.31530169408351505,0.0,0.0,1.0,0.345868193823508,0.6853472670600733,0.0,0.345868193823508
4,1108,0.6768697942960133,0.3355524010337647,0.3958206926657405,0.0,0.0,0.0,0.0,full,equal_skill,1,32,"96,192,336,720",0.48725947008120807,9.45503262094184e-05,61.066691875457764,1,5,0.0,3,1,0,0.3426490982839777,0.342658861772248,0.3420909000325289,0.33971736577443695,0.33947070887050046,0.36742333626704093,0.7511732337276859,0.02016955229961431,0.8190585045607942,0.21577697414030667,0.3355524010337647,0.8886693604693946,0.32678644466701395,0.0,0.0,1.0,0.34131739299327457,0.6768697942960133,0.0,0.34131739299327457
5,1108,0.6692605543653026,0.3317772676690821,0.39233457461160876,0.0,0.0,0.0,0.0,full,equal_skill,1,32,"96,192,336,720",0.48634407440300237,9.045084971874738e-05,58.88240194320679,1,5,0.0,3,2,0,0.33860688446768783,0.3387605639625112,0.33822686604429236,0.3359885998473701,0.3358334886575864,0.37851913859697883,0.7506823222344533,0.020181479372944858,0.8205887233629984,0.2319581680107418,0.3317772676690821,0.8612603204129835,0.3444349546025806,0.0,0.0,1.0,0.33748328677691275,0.6692605543653026,0.0,0.33748328677691275
6,1108,0.6617291448671465,0.32793241061458517,0.38853721775195227,0.0,0.0,0.0,0.0,full,equal_skill,1,32,"96,192,336,720",0.4843047321731565,8.535533905932738e-05,60.80862998962402,1,5,0.0,6,0,0,0.3346724602181989,0.3350036420223945,0.33440393545674935,0.3323836521336318,0.3325199510108693,0.39029555323967435,0.7503583613608288,0.020195968412131823,0.8230427521876049,0.26747959050676023,0.32793241061458517,0.8222321220791297,0.359828649848592,0.0,0.0,1.0,0.3337967342794587,0.6617291448671465,0.0,0.3337967342794587
7,1108,0.6542986785784525,0.3240706993784715,0.38443203004151044,0.0,0.0,0.0,0.0,full,equal_skill,1,32,"96,192,336,720",0.48363004289770734,7.938926261462366e-05,61.364673137664795,1,5,0.0,7,0,0,0.33092569949824885,0.3313737713634322,0.33056550564425946,0.32892858559796956,0.32934630433574913,0.3943404537030506,0.7499268454119616,0.020211202045398283,0.8246798987100271,0.32169529593916146,0.3240706993784715,0.7773273152026889,0.3685390639929135,0.0,0.0,1.0,0.330227979603442,0.6542986785784525,0.0,0.330227979603442
8,1108,0.6470538681702493,0.3202151350058373,0.3803647285871988,0.0,0.0,0.0,0.0,full,equal_skill,1,32,"96,192,336,720",0.4846696106822319,7.269952498697734e-05,61.25895547866821,1,5,0.0,7,1,0,0.32749616007727406,0.32780716135183396,0.3269462043197577,0.3256047759944781,0.32633933126388476,0.39327473540383556,0.7496173397405913,0.020218368691967175,0.8253851607172928,0.4146865336796007,0.3202151350058373,0.7209146482204272,0.3675629377149933,0.0,0.0,1.0,0.3268387323843873,0.6470538681702493,0.0,0.3268387323843873
9,1108,0.6397321359775557,0.31624571473374696,0.37636622646655415,0.0,0.0,0.0,0.0,full,equal_skill,1,32,"96,192,336,720",0.48819017420441563,6.545084971874738e-05,56.560741662979126,1,5,0.0,7,2,0,0.3239813141175126,0.32428724999247044,0.3234840269983891,0.3223170613069827,0.3233624199398588,0.39480569805371635,0.7495893611159136,0.020216858860051482,0.8254657376974498,0.5323184583107486,0.31624571473374696,0.665449354515179,0.3618449438565044,0.0,0.0,1.0,0.3234864206520659,0.6397321359775557,0.0,0.3234864206520659
10,1108,0.6327504647445162,0.3124146136028242,0.37250484550365043,0.0,0.0,0.0,0.0,full,equal_skill,1,32,"96,192,336,720",0.48712653699109243,5.782172325201155e-05,57.881470918655396,1,5,0.0,7,3,0,0.3206983722396706,0.3209263388914752,0.3202411650212663,0.31925522869567147,0.3205581206276959,0.40168305760794165,0.7497569892273053,0.02021742749972679,0.8252986199911752,0.6492787464269663,0.3124146136028242,0.6214549377399231,0.3538422366395754,0.0,0.0,1.0,0.32033585060374403,0.6327504647445162,0.0,0.32033585060374403
