target_horizon,segment_start,segment_end,mse,mae,mode,run_name,dataset,pred_len,checkpoint_policy,evaluation_split,official_test_mode,protocol_class,protocol_profile,profile_hash
96,0,96,0.3754864037036896,0.40033355355262756,unified,CPSI_iscf_v1_cpsi_linear,ETTm1,720,best-val,val,1,method_screening,stage_c_iscf_v1_cpsi_v1,80912741f9da5560234c400a36e2ec48461cef70bf96701b19fcb90ea278990a
192,0,96,0.3754864037036896,0.40033355355262756,unified,CPSI_iscf_v1_cpsi_linear,ETTm1,720,best-val,val,1,method_screening,stage_c_iscf_v1_cpsi_v1,80912741f9da5560234c400a36e2ec48461cef70bf96701b19fcb90ea278990a
192,96,192,0.6231734156608582,0.5216691493988037,unified,CPSI_iscf_v1_cpsi_linear,ETTm1,720,best-val,val,1,method_screening,stage_c_iscf_v1_cpsi_v1,80912741f9da5560234c400a36e2ec48461cef70bf96701b19fcb90ea278990a
336,0,96,0.3754864037036896,0.40033355355262756,unified,CPSI_iscf_v1_cpsi_linear,ETTm1,720,best-val,val,1,method_screening,stage_c_iscf_v1_cpsi_v1,80912741f9da5560234c400a36e2ec48461cef70bf96701b19fcb90ea278990a
336,96,192,0.6231734156608582,0.5216691493988037,unified,CPSI_iscf_v1_cpsi_linear,ETTm1,720,best-val,val,1,method_screening,stage_c_iscf_v1_cpsi_v1,80912741f9da5560234c400a36e2ec48461cef70bf96701b19fcb90ea278990a
336,192,288,0.8169414401054382,0.5968888998031616,unified,CPSI_iscf_v1_cpsi_linear,ETTm1,720,best-val,val,1,method_screening,stage_c_iscf_v1_cpsi_v1,80912741f9da5560234c400a36e2ec48461cef70bf96701b19fcb90ea278990a
336,288,336,0.9457197189331055,0.641078770160675,unified,CPSI_iscf_v1_cpsi_linear,ETTm1,720,best-val,val,1,method_screening,stage_c_iscf_v1_cpsi_v1,80912741f9da5560234c400a36e2ec48461cef70bf96701b19fcb90ea278990a
720,0,96,0.3754864037036896,0.40033355355262756,unified,CPSI_iscf_v1_cpsi_linear,ETTm1,720,best-val,val,1,method_screening,stage_c_iscf_v1_cpsi_v1,80912741f9da5560234c400a36e2ec48461cef70bf96701b19fcb90ea278990a
720,96,192,0.6231734156608582,0.5216691493988037,unified,CPSI_iscf_v1_cpsi_linear,ETTm1,720,best-val,val,1,method_screening,stage_c_iscf_v1_cpsi_v1,80912741f9da5560234c400a36e2ec48461cef70bf96701b19fcb90ea278990a
720,192,288,0.8169414401054382,0.5968888998031616,unified,CPSI_iscf_v1_cpsi_linear,ETTm1,720,best-val,val,1,method_screening,stage_c_iscf_v1_cpsi_v1,80912741f9da5560234c400a36e2ec48461cef70bf96701b19fcb90ea278990a
720,288,384,0.9731304049491882,0.6485627889633179,unified,CPSI_iscf_v1_cpsi_linear,ETTm1,720,best-val,val,1,method_screening,stage_c_iscf_v1_cpsi_v1,80912741f9da5560234c400a36e2ec48461cef70bf96701b19fcb90ea278990a
720,384,480,1.1248888969421387,0.6901767253875732,unified,CPSI_iscf_v1_cpsi_linear,ETTm1,720,best-val,val,1,method_screening,stage_c_iscf_v1_cpsi_v1,80912741f9da5560234c400a36e2ec48461cef70bf96701b19fcb90ea278990a
720,480,576,1.2544727325439453,0.7291557192802429,unified,CPSI_iscf_v1_cpsi_linear,ETTm1,720,best-val,val,1,method_screening,stage_c_iscf_v1_cpsi_v1,80912741f9da5560234c400a36e2ec48461cef70bf96701b19fcb90ea278990a
720,576,672,1.3302366733551025,0.7630713582038879,unified,CPSI_iscf_v1_cpsi_linear,ETTm1,720,best-val,val,1,method_screening,stage_c_iscf_v1_cpsi_v1,80912741f9da5560234c400a36e2ec48461cef70bf96701b19fcb90ea278990a
720,672,720,1.3887195587158203,0.789903461933136,unified,CPSI_iscf_v1_cpsi_linear,ETTm1,720,best-val,val,1,method_screening,stage_c_iscf_v1_cpsi_v1,80912741f9da5560234c400a36e2ec48461cef70bf96701b19fcb90ea278990a
