epoch,train_steps,train_loss,train_prediction_l1,train_prediction_full_l1,train_reconstruction_l1,train_alignment_loss,train_weighted_reconstruction_l1,train_weighted_alignment_loss,pred_loss_mode,pcc_objective_mode,gradient_accumulation_steps,effective_batch_size,validation_horizons,val_mean_mse,lr,epoch_seconds,early_stopping_enabled,early_stopping_patience,early_stopping_min_delta,best_epoch_so_far,epochs_without_improvement,stop_triggered,train_pcc_arm_s0_measure_l1,train_pcc_arm_s1_measure_l1,train_pcc_arm_s2_measure_l1,train_pcc_arm_s3_measure_l1,train_pcc_arm_s4_measure_l1,train_pcc_credit_argmax_accuracy,train_pcc_credit_max,train_pcc_credit_min,train_pcc_credit_normalized_entropy,train_pcc_credit_policy_kl,train_pcc_fused_measure_l1,train_pcc_policy_normalized_entropy,train_pcc_policy_usage_max,train_pcc_route_kl,train_pcc_route_weight,train_pcc_skill_floor,train_pcc_skill_loss,train_pcc_total_loss,train_pcc_weighted_route_loss,train_pcc_weighted_skill_loss
1,1036,0.84309293116842,0.40965401084956976,0.4590660461357662,0.0,0.0,0.0,0.0,full,equal_skill,1,32,"96,192,336,720",0.6741951401086731,0.0001,53.64904069900513,1,5,0.0,1,0,0,0.4347239525046588,0.43448502098616487,0.43159506659825336,0.43025297254439027,0.4361375555050879,0.22890134019726388,0.7430803654967127,0.020304854207718926,0.8337293973760715,0.18845520336828175,0.40965401084956976,0.9793615103573412,0.2516130239030339,0.0,0.0,1.0,0.43343892123938527,0.84309293116842,0.0,0.43343892123938527
2,1036,0.7825343149739343,0.38686533686507163,0.43513503598775644,0.0,0.0,0.0,0.0,full,equal_skill,1,32,"96,192,336,720",0.6376999844738749,9.938441702975689e-05,51.8294415473938,1,5,0.0,2,0,0,0.39654891103736223,0.3963726534288822,0.39540009606183724,0.39442150329300796,0.3956016882045849,0.28598134888472704,0.7474335460819332,0.020266584976500756,0.828718872489156,0.18812226768741278,0.38686533686507163,0.964482347477357,0.240025828013549,0.0,0.0,1.0,0.3956689771595609,0.7825343149739343,0.0,0.3956689771595609
3,1036,0.7691228795926083,0.38057413697242737,0.4303057512779033,0.0,0.0,0.0,0.0,full,equal_skill,1,32,"96,192,336,720",0.6336364593964794,9.755282581475769e-05,52.810378074645996,1,5,0.0,3,0,0,0.3886462866569578,0.3885004310994535,0.3882666841782198,0.38789701786855935,0.3894332598707851,0.33017493049437935,0.7480427037680011,0.020251698800970344,0.8236673129111183,0.24721135637762465,0.38057413697242737,0.9005454891436809,0.2552374783888977,0.0,0.0,1.0,0.3885487427064811,0.7691228795926083,0.0,0.3885487427064811
4,1036,0.7608067373741547,0.37625632541520254,0.42680833376512567,0.0,0.0,0.0,0.0,full,equal_skill,1,32,"96,192,336,720",0.6250920842262171,9.45503262094184e-05,51.86333727836609,1,5,0.0,4,0,0,0.3842385349126396,0.38396722780231346,0.38447733818909374,0.384113082094082,0.38595584098206526,0.3338923274348832,0.7474813477413075,0.0202704823529168,0.8218217406378749,0.3215992925940333,0.37625632541520254,0.843707499529404,0.26064327144887456,0.0,0.0,1.0,0.3845504115849848,0.7608067373741547,0.0,0.3845504115849848
5,1036,0.754151747723804,0.37278557902482484,0.4240463405099615,0.0,0.0,0.0,0.0,full,equal_skill,1,32,"96,192,336,720",0.6329664430684514,9.045084971874738e-05,55.27072072029114,1,5,0.0,4,1,0,0.38078281596935853,0.3805576366404769,0.3811801561805272,0.3811391815543175,0.3831710219670907,0.32623489418976787,0.7477096678782614,0.02027054405573425,0.8205910345762393,0.42428974381514956,0.37278557902482484,0.789152170412789,0.2564441991761384,0.0,0.0,1.0,0.3813661684976121,0.754151747723804,0.0,0.3813661684976121
6,1036,0.7488517994240904,0.3698146888360554,0.42154539114720113,0.0,0.0,0.0,0.0,full,equal_skill,1,32,"96,192,336,720",0.6245207467892979,8.535533905932738e-05,51.94150352478027,1,5,0.0,6,0,0,0.3782533719905555,0.3781612699844202,0.3786447848765086,0.37896809637776674,0.38115800068530337,0.3292761143282574,0.7478576549346843,0.02027601659707869,0.8188111858593451,0.5628954311652994,0.3698146888360554,0.7294016271024137,0.24809549472737036,0.0,0.0,1.0,0.37903711170993715,0.7488517994240904,0.0,0.37903711170993715
7,1036,0.743753709733256,0.36682066151649334,0.41900892544206964,0.0,0.0,0.0,0.0,full,equal_skill,1,32,"96,192,336,720",0.622485250060489,7.938926261462366e-05,53.78601264953613,1,5,0.0,7,0,0,0.3760732303024719,0.3759324601545757,0.376364313756407,0.37701961844008863,0.37927557858836236,0.34271752284875706,0.7476651345210646,0.02028090617543942,0.8175985127342253,0.7510554834509908,0.36682066151649334,0.6584630238043295,0.2514995739266679,0.0,0.0,1.0,0.3769330472674609,0.743753709733256,0.0,0.3769330472674609
8,1036,0.7390833827864709,0.3640009473620925,0.4165762796652823,0.0,0.0,0.0,0.0,full,equal_skill,1,32,"96,192,336,720",0.6219219252782215,7.269952498697734e-05,51.94340419769287,1,5,0.0,8,0,0,0.3740832484884612,0.3738974337699791,0.3744222130266856,0.37531655973621775,0.3776926923845265,0.35756964355879767,0.7478104790665469,0.020291746006091935,0.8169466772594968,0.9556225162560416,0.3640009473620925,0.5946959027567426,0.2573924241551561,0.0,0.0,1.0,0.3750824364168303,0.7390833827864709,0.0,0.3750824364168303
9,1036,0.7353196701027712,0.3616013390849916,0.4146212029871333,0.0,0.0,0.0,0.0,full,equal_skill,1,32,"96,192,336,720",0.6251349656559464,6.545084971874738e-05,50.48846411705017,1,5,0.0,8,1,0,0.3725092061525606,0.3723781166677309,0.3729973880998416,0.3740751747919326,0.37663173583483606,0.37189823691103907,0.7475368772924637,0.02029500506516244,0.8167431456356895,1.183745615500741,0.3616013390849916,0.5355537231709506,0.2699903270596473,0.0,0.0,1.0,0.3737183313917469,0.7353196701027712,0.0,0.3737183313917469
10,1036,0.7313472250598738,0.3591013947451437,0.41232644156714665,0.0,0.0,0.0,0.0,full,equal_skill,1,32,"96,192,336,720",0.6309346136519692,5.782172325201155e-05,51.15129733085632,1,5,0.0,8,2,0,0.37101830392500607,0.37077308420278854,0.37147146923661695,0.37271609522661187,0.3752501636283278,0.38647946734772454,0.7473912718903604,0.020298087874132578,0.8163609510453051,1.3960008680475264,0.3591013947451437,0.4888990923877388,0.28000431976723394,0.0,0.0,1.0,0.3722458302571967,0.7313472250598738,0.0,0.3722458302571967
