epoch,train_steps,train_loss,train_prediction_l1,train_prediction_full_l1,train_reconstruction_l1,train_alignment_loss,train_weighted_reconstruction_l1,train_weighted_alignment_loss,pred_loss_mode,pcc_objective_mode,gradient_accumulation_steps,effective_batch_size,validation_horizons,val_mean_mse,lr,epoch_seconds,early_stopping_enabled,early_stopping_patience,early_stopping_min_delta,best_epoch_so_far,epochs_without_improvement,stop_triggered,train_pcc_arm_s0_measure_l1,train_pcc_arm_s1_measure_l1,train_pcc_arm_s2_measure_l1,train_pcc_arm_s3_measure_l1,train_pcc_arm_s4_measure_l1,train_pcc_credit_argmax_accuracy,train_pcc_credit_max,train_pcc_credit_min,train_pcc_credit_normalized_entropy,train_pcc_credit_policy_kl,train_pcc_fused_measure_l1,train_pcc_policy_normalized_entropy,train_pcc_policy_usage_max,train_pcc_route_kl,train_pcc_route_weight,train_pcc_skill_floor,train_pcc_skill_loss,train_pcc_total_loss,train_pcc_weighted_route_loss,train_pcc_weighted_skill_loss
1,1108,0.7536694548943413,0.3655463885852146,0.42385996036258416,0.0,0.0,0.0,0.0,full,equal_skill,1,32,"96,192,336,720",0.49661120015717597,0.0001,60.72274351119995,1,5,0.0,1,0,0,0.39557109001203566,0.3967805427065395,0.39083103733372604,0.3799865124780779,0.37744610918020083,0.3940199308283543,0.7465235739946365,0.020240035706572908,0.8185830582672938,0.17994541318461782,0.3655463885852146,0.9027618442524211,0.3068482879589611,0.0,0.0,1.0,0.3881230663360241,0.7536694548943413,0.0,0.3881230663360241
2,1108,0.7010789487228497,0.3455616053368641,0.4061604583037459,0.0,0.0,0.0,0.0,full,equal_skill,1,32,"96,192,336,720",0.4952212755217231,9.938441702975689e-05,59.01806402206421,1,5,0.0,2,0,0,0.3590389275486289,0.36020773156993224,0.35735946124426293,0.3512271797882951,0.3497533840446696,0.3603267701685644,0.7480354291329745,0.0202124858315402,0.8208552675341871,0.22208859838733605,0.3455616053368641,0.8766740671886865,0.31060309291208693,0.0,0.0,1.0,0.3555173436011648,0.7010789487228497,0.0,0.3555173436011648
3,1108,0.690115973891334,0.34077563798492133,0.4024843248111677,0.0,0.0,0.0,0.0,full,equal_skill,1,32,"96,192,336,720",0.49235298875460604,9.755282581475769e-05,57.770631313323975,1,5,0.0,3,0,0,0.35235803700741447,0.3534554993794283,0.35091808007942643,0.3456469587309266,0.34432307025585795,0.35389916695627494,0.7480619556744607,0.020224313273528315,0.8198130610079541,0.2532954601846662,0.34077563798492133,0.8554847535243534,0.311750693549318,0.0,0.0,1.0,0.34934033550295157,0.690115973891334,0.0,0.34934033550295157
4,1108,0.6828103313484777,0.337054977159853,0.399554255179765,0.0,0.0,0.0,0.0,full,equal_skill,1,32,"96,192,336,720",0.4917683004490322,9.45503262094184e-05,59.43764305114746,1,5,0.0,4,0,0,0.3486221360869786,0.3498714765271555,0.34741440509523297,0.3421163752621262,0.34075234324708314,0.3623559936504502,0.7483185687865591,0.020227452289541707,0.8189209558150398,0.29200993346500914,0.337054977159853,0.8201482048533884,0.3137191538345943,0.0,0.0,1.0,0.3457553540810351,0.6828103313484777,0.0,0.3457553540810351
5,1108,0.6749682036440295,0.33281192643440155,0.39617485434677624,0.0,0.0,0.0,0.0,full,equal_skill,1,32,"96,192,336,720",0.49034473707285964,9.045084971874738e-05,57.6312141418457,1,5,0.0,5,0,0,0.3450798501230319,0.3464750025407932,0.3438662839280139,0.33838276503210896,0.33697745787645506,0.3718065638834819,0.7486056651556965,0.0202315933111423,0.8185940670515226,0.3394337963003544,0.33281192643440155,0.7818221275556819,0.3101157086366781,0.0,0.0,1.0,0.3421562780703448,0.6749682036440295,0.0,0.3421562780703448
6,1108,0.6670404250333456,0.32832377909645705,0.39250886927120093,0.0,0.0,0.0,0.0,full,equal_skill,1,32,"96,192,336,720",0.4887210584330624,8.535533905932738e-05,57.32948660850525,1,5,0.0,6,0,0,0.34199223008396823,0.3432008020230149,0.3406310290743728,0.3346926842140377,0.3330664562888524,0.38317957897048566,0.7488146073551385,0.020229926334512472,0.8182860001760269,0.39353872214306135,0.32832377909645705,0.7420238317242598,0.31473044930059557,0.0,0.0,1.0,0.3387166458292989,0.6670404250333456,0.0,0.3387166458292989
7,1108,0.657559147756883,0.3227924704820671,0.38789699081371837,0.0,0.0,0.0,0.0,full,equal_skill,1,32,"96,192,336,720",0.48146748243820015,7.938926261462366e-05,58.4382050037384,1,5,0.0,7,0,0,0.33872774490810903,0.33962083059205045,0.33685717223353334,0.33016059356691174,0.3284670097571848,0.3921726493413698,0.7483851805813476,0.020236308788981573,0.8195380630906308,0.4468811148179137,0.3227924704820671,0.7117214414832395,0.31737977053822164,0.0,0.0,1.0,0.3347666767099704,0.657559147756883,0.0,0.3347666767099704
8,1108,0.6463075819751416,0.31621103591221766,0.38221989077135976,0.0,0.0,0.0,0.0,full,equal_skill,1,32,"96,192,336,720",0.4884582250561964,7.269952498697734e-05,57.319854736328125,1,5,0.0,7,1,0,0.33518248341896906,0.33542180838675273,0.33207275320368984,0.32474464710653905,0.32306099887466605,0.40021488132352,0.7478563474619001,0.020230627551486562,0.821683956558954,0.5070498201337101,0.31621103591221766,0.6862322173824379,0.319958596211263,0.0,0.0,1.0,0.3300965447180538,0.6463075819751416,0.0,0.3300965447180538
9,1108,0.6335312076424003,0.30903461704615653,0.375716064999465,0.0,0.0,0.0,0.0,full,equal_skill,1,32,"96,192,336,720",0.48707532287789657,6.545084971874738e-05,57.60478663444519,1,5,0.0,7,2,0,0.33063359994320235,0.3304298384794259,0.3262713138646167,0.31838304027646025,0.3167651291627316,0.4049648005340504,0.7472801601736124,0.020227538112429937,0.8238883162125784,0.5503240239265162,0.30903461704615653,0.6728569787224278,0.32270158526053927,0.0,0.0,1.0,0.3244965898162191,0.6335312076424003,0.0,0.3244965898162191
10,1108,0.6205593520768713,0.30208740033720377,0.3688862875157745,0.0,0.0,0.0,0.0,full,equal_skill,1,32,"96,192,336,720",0.48966638528472106,5.782172325201155e-05,57.87794232368469,1,5,0.0,7,3,0,0.32543829511111394,0.3250913056225553,0.32008365805291095,0.31170761781586637,0.3100388555481546,0.4109781557149405,0.7463934921293052,0.02023576913293895,0.8255340090082011,0.5661327778109575,0.30208740033720377,0.6676512612870454,0.32776161643679824,0.0,0.0,1.0,0.31847195260038447,0.6205593520768713,0.0,0.31847195260038447
11,1108,0.6090476335386077,0.2961495982395613,0.36259196195684185,0.0,0.0,0.0,0.0,full,equal_skill,1,32,"96,192,336,720",0.49656591389442817,5e-05,59.78342080116272,1,5,0.0,7,4,0,0.320404284401706,0.32010340141905774,0.31439584243491236,0.3055851323133341,0.30400149139579025,0.41580997090047017,0.745689835681812,0.020232654245577027,0.8269302943445715,0.562323347003021,0.2961495982395613,0.6710441152326467,0.33057539517375967,0.0,0.0,1.0,0.31289803546043077,0.6090476335386077,0.0,0.31289803546043077
12,1108,0.5997667783864569,0.2914042570476928,0.35757322364658223,0.0,0.0,0.0,0.0,full,equal_skill,1,32,"96,192,336,720",0.5014954616221422,4.2178276747988446e-05,61.37370467185974,1,5,0.0,7,5,1,0.31615770054100223,0.316070475921519,0.3098143062382829,0.30064136720521356,0.2991287286800168,0.41913646099154267,0.745219282294869,0.020238882549349153,0.827849537833503,0.5652896429442327,0.2914042570476928,0.6701399853405969,0.33383059934696135,0.0,0.0,1.0,0.30836252109668744,0.5997667783864569,0.0,0.30836252109668744
