epoch,train_steps,train_loss,train_prediction_l1,train_prediction_full_l1,train_reconstruction_l1,train_alignment_loss,train_weighted_reconstruction_l1,train_weighted_alignment_loss,pred_loss_mode,pcc_objective_mode,gradient_accumulation_steps,effective_batch_size,validation_horizons,val_mean_mse,lr,epoch_seconds,early_stopping_enabled,early_stopping_patience,early_stopping_min_delta,best_epoch_so_far,epochs_without_improvement,stop_triggered,train_prediction_h720_l1
1,1036,0.45201693610450017,0.45201693610450017,0.45201693610450017,0.0,0.0,0.0,0.0,full,off,1,32,"96,192,336,720",0.6633400990376397,0.0001,10.769214868545532,1,5,0.0,1,0,0,0.45201693610450017
2,1036,0.433846585308723,0.433846585308723,0.433846585308723,0.0,0.0,0.0,0.0,full,off,1,32,"96,192,336,720",0.6509824823175135,9.938441702975689e-05,10.24245309829712,1,5,0.0,2,0,0,0.433846585308723
3,1036,0.43016008040274434,0.43016008040274434,0.43016008040274434,0.0,0.0,0.0,0.0,full,off,1,32,"96,192,336,720",0.648228259465476,9.755282581475769e-05,10.413594007492065,1,5,0.0,3,0,0,0.43016008040274434
4,1036,0.4277047399848585,0.4277047399848585,0.4277047399848585,0.0,0.0,0.0,0.0,full,off,1,32,"96,192,336,720",0.6462894742679228,9.45503262094184e-05,10.240187406539917,1,5,0.0,4,0,0,0.4277047399848585
5,1036,0.4256619126985432,0.4256619126985432,0.4256619126985432,0.0,0.0,0.0,0.0,full,off,1,32,"96,192,336,720",0.6503995505484959,9.045084971874738e-05,10.661940574645996,1,5,0.0,4,1,0,0.4256619126985432
6,1036,0.4243548049026935,0.4243548049026935,0.4243548049026935,0.0,0.0,0.0,0.0,full,off,1,32,"96,192,336,720",0.6446906809028912,8.535533905932738e-05,10.513480186462402,1,5,0.0,6,0,0,0.4243548049026935
7,1036,0.42299587972836145,0.42299587972836145,0.42299587972836145,0.0,0.0,0.0,0.0,full,off,1,32,"96,192,336,720",0.6460859821404382,7.938926261462366e-05,10.449526309967041,1,5,0.0,6,1,0,0.42299587972836145
8,1036,0.422121843920021,0.422121843920021,0.422121843920021,0.0,0.0,0.0,0.0,full,off,1,32,"96,192,336,720",0.6488767467285802,7.269952498697734e-05,10.474317073822021,1,5,0.0,6,2,0,0.422121843920021
9,1036,0.4215063002521467,0.4215063002521467,0.4215063002521467,0.0,0.0,0.0,0.0,full,off,1,32,"96,192,336,720",0.6447006973560848,6.545084971874738e-05,10.746454238891602,1,5,0.0,6,3,0,0.4215063002521467
10,1036,0.4207931867437473,0.4207931867437473,0.4207931867437473,0.0,0.0,0.0,0.0,full,off,1,32,"96,192,336,720",0.6478314068767109,5.782172325201155e-05,10.608280658721924,1,5,0.0,6,4,0,0.4207931867437473
11,1036,0.42031109154684665,0.42031109154684665,0.42031109154684665,0.0,0.0,0.0,0.0,full,off,1,32,"96,192,336,720",0.6452199668239151,5e-05,10.46292757987976,1,5,0.0,6,5,1,0.42031109154684665
