epoch,train_steps,train_loss,train_prediction_l1,train_prediction_full_l1,train_reconstruction_l1,train_alignment_loss,train_weighted_reconstruction_l1,train_weighted_alignment_loss,pred_loss_mode,pcc_objective_mode,gradient_accumulation_steps,effective_batch_size,validation_horizons,val_mean_mse,lr,epoch_seconds,early_stopping_enabled,early_stopping_patience,early_stopping_min_delta,best_epoch_so_far,epochs_without_improvement,stop_triggered,train_prediction_h720_l1
1,1108,0.4268906317409195,0.4268906317409195,0.4268906317409195,0.0,0.0,0.0,0.0,full,off,1,32,"96,192,336,720",0.5012345256500079,0.0001,12.873281717300415,1,5,0.0,1,0,0,0.4268906317409195
2,1108,0.4062571390817742,0.4062571390817742,0.4062571390817742,0.0,0.0,0.0,0.0,full,off,1,32,"96,192,336,720",0.4931026111817031,9.938441702975689e-05,12.170399188995361,1,5,0.0,2,0,0,0.4062571390817742
3,1108,0.40171536133500213,0.40171536133500213,0.40171536133500213,0.0,0.0,0.0,0.0,full,off,1,32,"96,192,336,720",0.4955647468023623,9.755282581475769e-05,12.113898038864136,1,5,0.0,2,1,0,0.40171536133500213
4,1108,0.39867500796752714,0.39867500796752714,0.39867500796752714,0.0,0.0,0.0,0.0,full,off,1,32,"96,192,336,720",0.4953584262715016,9.45503262094184e-05,11.999513387680054,1,5,0.0,2,2,0,0.39867500796752714
5,1108,0.3963306268092097,0.3963306268092097,0.3963306268092097,0.0,0.0,0.0,0.0,full,off,1,32,"96,192,336,720",0.49221179880874444,9.045084971874738e-05,12.077182054519653,1,5,0.0,5,0,0,0.3963306268092097
6,1108,0.39453213656529623,0.39453213656529623,0.39453213656529623,0.0,0.0,0.0,0.0,full,off,1,32,"96,192,336,720",0.4908143094742655,8.535533905932738e-05,12.091993570327759,1,5,0.0,6,0,0,0.39453213656529623
7,1108,0.3931006925577291,0.3931006925577291,0.3931006925577291,0.0,0.0,0.0,0.0,full,off,1,32,"96,192,336,720",0.4910401557575882,7.938926261462366e-05,11.935985326766968,1,5,0.0,6,1,0,0.3931006925577291
8,1108,0.39185381371406874,0.39185381371406874,0.39185381371406874,0.0,0.0,0.0,0.0,full,off,1,32,"96,192,336,720",0.49129863088388764,7.269952498697734e-05,12.08889126777649,1,5,0.0,6,2,0,0.39185381371406874
9,1108,0.3908224720440617,0.3908224720440617,0.3908224720440617,0.0,0.0,0.0,0.0,full,off,1,32,"96,192,336,720",0.49126904175361796,6.545084971874738e-05,12.2067129611969,1,5,0.0,6,3,0,0.3908224720440617
10,1108,0.38984598302776635,0.38984598302776635,0.38984598302776635,0.0,0.0,0.0,0.0,full,off,1,32,"96,192,336,720",0.49097164257351933,5.782172325201155e-05,12.191551685333252,1,5,0.0,6,4,0,0.38984598302776635
11,1108,0.38910673475330054,0.38910673475330054,0.38910673475330054,0.0,0.0,0.0,0.0,full,off,1,32,"96,192,336,720",0.49075544265187565,5e-05,12.203440427780151,1,5,0.0,11,0,0,0.38910673475330054
12,1108,0.3884090237346367,0.3884090237346367,0.3884090237346367,0.0,0.0,0.0,0.0,full,off,1,32,"96,192,336,720",0.49055401960679784,4.2178276747988446e-05,12.187965393066406,1,5,0.0,12,0,0,0.3884090237346367
13,1108,0.3877930648705589,0.3877930648705589,0.3877930648705589,0.0,0.0,0.0,0.0,full,off,1,32,"96,192,336,720",0.4902322226000714,3.4549150281252636e-05,12.064687490463257,1,5,0.0,13,0,0,0.3877930648705589
14,1108,0.3873084646915271,0.3873084646915271,0.3873084646915271,0.0,0.0,0.0,0.0,full,off,1,32,"96,192,336,720",0.4914405448600605,2.7300475013022663e-05,12.32463002204895,1,5,0.0,13,1,0,0.3873084646915271
15,1108,0.3869277181823331,0.3869277181823331,0.3869277181823331,0.0,0.0,0.0,0.0,full,off,1,32,"96,192,336,720",0.4904318923404115,2.061073738537635e-05,11.890350818634033,1,5,0.0,13,2,0,0.3869277181823331
16,1108,0.38663561773967225,0.38663561773967225,0.38663561773967225,0.0,0.0,0.0,0.0,full,off,1,32,"96,192,336,720",0.49028675215030537,1.4644660940672627e-05,12.125544309616089,1,5,0.0,13,3,0,0.38663561773967225
17,1108,0.38640366672178467,0.38640366672178467,0.38640366672178467,0.0,0.0,0.0,0.0,full,off,1,32,"96,192,336,720",0.4920233821934311,9.549150281252633e-06,12.17484712600708,1,5,0.0,13,4,0,0.38640366672178467
18,1108,0.3862319758921754,0.3862319758921754,0.3862319758921754,0.0,0.0,0.0,0.0,full,off,1,32,"96,192,336,720",0.48970995589163124,5.449673790581611e-06,12.175620555877686,1,5,0.0,18,0,0,0.3862319758921754
19,1108,0.38609984277710585,0.38609984277710585,0.38609984277710585,0.0,0.0,0.0,0.0,full,off,1,32,"96,192,336,720",0.49033107002956855,2.4471741852423237e-06,12.099912166595459,1,5,0.0,18,1,0,0.38609984277710585
20,1108,0.3861119331865965,0.3861119331865965,0.3861119331865965,0.0,0.0,0.0,0.0,full,off,1,32,"96,192,336,720",0.49058231629379506,6.15582970243117e-07,12.304648876190186,1,5,0.0,18,2,0,0.3861119331865965
