epoch,train_steps,train_loss,train_prediction_l1,train_prediction_full_l1,train_reconstruction_l1,train_alignment_loss,train_weighted_reconstruction_l1,train_weighted_alignment_loss,pred_loss_mode,pcc_objective_mode,gradient_accumulation_steps,effective_batch_size,validation_horizons,val_mean_mse,lr,epoch_seconds,early_stopping_enabled,early_stopping_patience,early_stopping_min_delta,best_epoch_so_far,epochs_without_improvement,stop_triggered,train_pcc_arm_s0_measure_l1,train_pcc_arm_s1_measure_l1,train_pcc_arm_s2_measure_l1,train_pcc_arm_s3_measure_l1,train_pcc_arm_s4_measure_l1,train_pcc_credit_argmax_accuracy,train_pcc_credit_max,train_pcc_credit_min,train_pcc_credit_normalized_entropy,train_pcc_credit_policy_kl,train_pcc_fused_measure_l1,train_pcc_policy_normalized_entropy,train_pcc_policy_usage_max,train_pcc_route_kl,train_pcc_route_weight,train_pcc_skill_floor,train_pcc_skill_loss,train_pcc_total_loss,train_pcc_weighted_route_loss,train_pcc_weighted_skill_loss
1,1036,0.8448934025746054,0.4098744963414421,0.4603895392829847,0.0,0.0,0.0,0.0,full,equal_skill,1,32,"96,192,336,720",0.651586954012358,0.0001,54.708317279815674,1,5,0.0,1,0,0,0.47948252921744206,0.42220168730466984,0.4248141469757529,0.42425766362876965,0.42433846764928124,0.33527105872637974,0.7040799434753459,0.0201197501476926,0.8655623569796904,0.13789313907904055,0.4098744963414421,0.9699053123996064,0.3155905247223653,0.0,0.0,1.0,0.4350189070673983,0.8448934025746054,0.0,0.4350189070673983
2,1036,0.7796696998667993,0.38534048467184123,0.4341561384930574,0.0,0.0,0.0,0.0,full,equal_skill,1,32,"96,192,336,720",0.63711414278119,9.938441702975689e-05,56.78125500679016,1,5,0.0,2,0,0,0.40904380217137026,0.3899990868211713,0.39038466325597876,0.3911224353094819,0.39109604664751,0.30804390661619807,0.7365793763555615,0.0201345258068768,0.8528288287545723,0.20538714984036321,0.38534048467184123,0.921305841403118,0.34889280511260495,0.0,0.0,1.0,0.3943292145620902,0.7796696998667993,0.0,0.3943292145620902
3,1036,0.765825059653249,0.37870959244294516,0.4292547002607331,0.0,0.0,0.0,0.0,full,equal_skill,1,32,"96,192,336,720",0.6296044922149222,9.755282581475769e-05,58.213650941848755,1,5,0.0,3,0,0,0.39793592757584967,0.38329595822164914,0.38365761780370616,0.3850376041009159,0.38565019129786254,0.301327394587653,0.7403339954761925,0.020151416938320434,0.844331064509609,0.3520505137051164,0.37870959244294516,0.8248002254709774,0.3523726394277742,0.0,0.0,1.0,0.3871154673253707,0.765825059653249,0.0,0.3871154673253707
4,1036,0.755328128064001,0.37359834030903444,0.4250561461773158,0.0,0.0,0.0,0.0,full,equal_skill,1,32,"96,192,336,720",0.6236557968253259,9.45503262094184e-05,55.15639877319336,1,5,0.0,4,0,0,0.39000026266086973,0.3783399509733478,0.37871742028469746,0.38034247096383433,0.3812488025219744,0.30050996552189113,0.7422328678222236,0.020156459154697805,0.8408038697302571,0.4595693342934244,0.37359834030903444,0.7734658214116189,0.3474940098390616,0.0,0.0,1.0,0.3817297881145505,0.755328128064001,0.0,0.3817297881145505
5,1036,0.7481566710706843,0.3699283530238052,0.42200000704945745,0.0,0.0,0.0,0.0,full,equal_skill,1,32,"96,192,336,720",0.6203480688539992,9.045084971874738e-05,49.81588649749756,1,5,0.0,5,0,0,0.38477034498595825,0.3750686252554411,0.3754760213052444,0.37740901265020077,0.3784175536749906,0.2938093009286175,0.7449982165714949,0.020158741605184022,0.83889828185087,0.5850995311578269,0.3699283530238052,0.7294116283130462,0.34320328096970626,0.0,0.0,1.0,0.37822831833454634,0.7481566710706843,0.0,0.37822831833454634
6,1036,0.7410907999083802,0.3661121401259798,0.41883182298377675,0.0,0.0,0.0,0.0,full,equal_skill,1,32,"96,192,336,720",0.6276554607969177,8.535533905932738e-05,53.99417734146118,1,5,0.0,5,1,0,0.3798491723806702,0.3719462586645914,0.3724542887859823,0.37477152055294816,0.3758720259063492,0.29346610523731553,0.7466918413013105,0.02016057218982331,0.8370412714693077,0.7423767490621699,0.3661121401259798,0.6865307105899318,0.3387674339777254,0.0,0.0,1.0,0.3749786599262341,0.7410907999083802,0.0,0.3749786599262341
7,1036,0.7346692093320795,0.3623997454017286,0.4156480959426022,0.0,0.0,0.0,0.0,full,equal_skill,1,32,"96,192,336,720",0.6329322554649682,7.938926261462366e-05,49.03879451751709,1,5,0.0,5,2,0,0.3755562666185114,0.36926786659076866,0.3699382043310574,0.3726487279686228,0.37393621996793047,0.29980257895692436,0.7482166421459449,0.02016441331651335,0.8352235785782567,0.9245917990400985,0.3623997454017286,0.644254915905275,0.3505738681635341,0.0,0.0,1.0,0.3722694644193852,0.7346692093320795,0.0,0.3722694644193852
8,1036,0.7281595612930055,0.3585408490194317,0.41216199445218193,0.0,0.0,0.0,0.0,full,equal_skill,1,32,"96,192,336,720",0.6397303648060189,7.269952498697734e-05,49.23525071144104,1,5,0.0,5,3,0,0.3710503307778863,0.36671787675858464,0.36762331762714273,0.37063090252945324,0.3720710973999675,0.30957024485505685,0.7491125348221841,0.020161100539188244,0.8331314386318089,1.1010164541397316,0.3585408490194317,0.6034324045462037,0.3755068353819571,0.0,0.0,1.0,0.3696187121585069,0.7281595612930055,0.0,0.3696187121585069
9,1036,0.7220387888576073,0.3547851744765941,0.40878119112556965,0.0,0.0,0.0,0.0,full,equal_skill,1,32,"96,192,336,720",0.6408050826029106,6.545084971874738e-05,50.28320670127869,1,5,0.0,5,4,0,0.3671472158038478,0.3643697867579902,0.3655049727517666,0.3688321809165726,0.3704138858725666,0.32316057368192436,0.7497564666404687,0.020158950284367937,0.8309654462866801,1.2654532858073482,0.3547851744765941,0.5702891081686646,0.4028307345613089,0.0,0.0,1.0,0.36725361469744716,0.7220387888576073,0.0,0.36725361469744716
10,1036,0.7165883062659083,0.35137037291374906,0.40579718797248304,0.0,0.0,0.0,0.0,full,equal_skill,1,32,"96,192,336,720",0.6443759472438297,5.782172325201155e-05,49.74357008934021,1,5,0.0,5,5,1,0.3633311987498552,0.36237655137036295,0.36376073579645524,0.3674129864711559,0.36920815795429884,0.3386321133110514,0.7500306763128884,0.02015816848041871,0.8287271873946356,1.4302720310144903,0.35137037291374906,0.5452306778044314,0.4300177569957774,0.0,0.0,1.0,0.3652179323165573,0.7165883062659083,0.0,0.3652179323165573
