epoch,train_steps,train_loss,train_prediction_l1,train_prediction_full_l1,train_reconstruction_l1,train_alignment_loss,train_weighted_reconstruction_l1,train_weighted_alignment_loss,pred_loss_mode,pcc_objective_mode,gradient_accumulation_steps,effective_batch_size,validation_horizons,val_mean_mse,lr,epoch_seconds,early_stopping_enabled,early_stopping_patience,early_stopping_min_delta,best_epoch_so_far,epochs_without_improvement,stop_triggered,train_pcc_arm_s0_measure_l1,train_pcc_arm_s1_measure_l1,train_pcc_arm_s2_measure_l1,train_pcc_arm_s3_measure_l1,train_pcc_arm_s4_measure_l1,train_pcc_credit_argmax_accuracy,train_pcc_credit_max,train_pcc_credit_min,train_pcc_credit_normalized_entropy,train_pcc_credit_policy_kl,train_pcc_fused_measure_l1,train_pcc_policy_normalized_entropy,train_pcc_policy_usage_max,train_pcc_route_kl,train_pcc_route_weight,train_pcc_skill_floor,train_pcc_skill_loss,train_pcc_total_loss,train_pcc_weighted_route_loss,train_pcc_weighted_skill_loss
1,1036,0.8398470319376029,0.4082020442918461,0.4586752800695224,0.0,0.0,0.0,0.0,full,equal_skill,1,32,"96,192,336,720",0.6517970880648742,0.0001,49.91535401344299,1,5,0.0,1,0,0,0.4339665509041212,0.43346303767564215,0.43038464467037596,0.42792278692183805,0.43248788014226897,0.24175540016942504,0.7433931129664528,0.020330767035771982,0.8308599077481561,0.19461763338059992,0.4082020442918461,0.9783020109283418,0.25431189411337773,0.0,0.0,1.0,0.43164498747315644,0.8398470319376029,0.0,0.43164498747315644
2,1036,0.7815160218007776,0.38642860313294936,0.43505637741802283,0.0,0.0,0.0,0.0,full,equal_skill,1,32,"96,192,336,720",0.6348008089808799,9.938441702975689e-05,49.208574056625366,1,5,0.0,2,0,0,0.3959135936436506,0.39566735609733,0.39487209953511543,0.3938824724564221,0.395101539416663,0.2848343630698887,0.7462585597770094,0.020314974580895026,0.8268387273356721,0.20026411106054848,0.38642860313294936,0.9519955041785958,0.24364709481596947,0.0,0.0,1.0,0.3950874191280958,0.7815160218007776,0.0,0.3950874191280958
3,1036,0.769179099890256,0.3802052870335266,0.4304006645405615,0.0,0.0,0.0,0.0,full,equal_skill,1,32,"96,192,336,720",0.6293518950762633,9.755282581475769e-05,48.739166021347046,1,5,0.0,3,0,0,0.38923866324788353,0.3886318637712582,0.3890308431101582,0.38834507415308456,0.38962258832910346,0.3461055643101399,0.7464637005536252,0.02030772956188869,0.8218557865117968,0.28367571509712913,0.3802052870335266,0.851474629175709,0.2743752214007626,0.0,0.0,1.0,0.3889738137772645,0.769179099890256,0.0,0.3889738137772645
4,1036,0.7604034808841912,0.37558489465460354,0.42646310544612326,0.0,0.0,0.0,0.0,full,equal_skill,1,32,"96,192,336,720",0.6251830774322448,9.45503262094184e-05,49.30945801734924,1,5,0.0,4,0,0,0.3848340902837087,0.3839910821162135,0.38479308907704923,0.3843188301937,0.3861558063092379,0.3455577200228298,0.746703819188372,0.020282500614070526,0.8210001128175544,0.3620410122293763,0.37558489465460354,0.7857524203747857,0.2757163262677929,0.0,0.0,1.0,0.38481858519398565,0.7604034808841912,0.0,0.38481858519398565
5,1036,0.7541830758905779,0.37233155545810936,0.4236046599662902,0.0,0.0,0.0,0.0,full,equal_skill,1,32,"96,192,336,720",0.6226618082091648,9.045084971874738e-05,51.38707232475281,1,5,0.0,5,0,0,0.38179856498499176,0.3808139788713234,0.3817506829226339,0.3813770073663774,0.383517334906521,0.34294412232590227,0.7473290292222527,0.020261056174642793,0.8207577729892547,0.4516975381141924,0.37233155545810936,0.7313966728660591,0.27346370435359396,0.0,0.0,1.0,0.38185152120917,0.7541830758905779,0.0,0.38185152120917
6,1036,0.7493395289859256,0.3697053266538156,0.4214969627472885,0.0,0.0,0.0,0.0,full,equal_skill,1,32,"96,192,336,720",0.629602217532432,8.535533905932738e-05,50.779866456985474,1,5,0.0,5,1,0,0.379414222789317,0.37826681675022633,0.3794030074792479,0.3793041242078004,0.38178280973986767,0.3440228147453783,0.7477507644753658,0.020257967157454794,0.8204807683998093,0.5762316540861682,0.3697053266538156,0.6779562460984963,0.26207641243186697,0.0,0.0,1.0,0.37963420221704314,0.7493395289859256,0.0,0.37963420221704314
7,1036,0.7439800289146689,0.366682541473952,0.4187546468782149,0.0,0.0,0.0,0.0,full,equal_skill,1,32,"96,192,336,720",0.6284174540470029,7.938926261462366e-05,48.564924001693726,1,5,0.0,5,2,0,0.37702387991328956,0.3758318774028174,0.3769396308191034,0.3771105059728199,0.3795815161986701,0.35053815698416535,0.7478065296259626,0.02026206871645676,0.8194391641147348,0.7371779259394955,0.366682541473952,0.6244156593636656,0.2537622184683227,0.0,0.0,1.0,0.3772974885338522,0.7439800289146689,0.0,0.3772974885338522
8,1036,0.7396535447665623,0.3641004565254602,0.4165431829205351,0.0,0.0,0.0,0.0,full,equal_skill,1,32,"96,192,336,720",0.6262140549522537,7.269952498697734e-05,49.397433280944824,1,5,0.0,5,3,0,0.37502434173721144,0.37402896160209503,0.37503879091569353,0.3755116668389571,0.3781616460517567,0.3610421666537473,0.7479514756372997,0.020253690885574088,0.8183396016193633,0.9200294250226849,0.3641004565254602,0.5749630650728366,0.2487681088213985,0.0,0.0,1.0,0.37555308850000263,0.7396535447665623,0.0,0.37555308850000263
9,1036,0.7356476608275446,0.36169261980125805,0.4144571328312734,0.0,0.0,0.0,0.0,full,equal_skill,1,32,"96,192,336,720",0.6255775568992942,6.545084971874738e-05,49.06518363952637,1,5,0.0,5,4,0,0.37326797667502437,0.37224839319938857,0.37336171199801343,0.3740231841802597,0.37687390415594846,0.36899411097226453,0.7479912140424647,0.020263143322470107,0.8175670386626454,1.1024582833051682,0.36169261980125805,0.5350651490469697,0.24383837788664237,0.0,0.0,1.0,0.373955040882453,0.7356476608275446,0.0,0.373955040882453
10,1036,0.7320783211917951,0.35945113037774,0.41238024166306936,0.0,0.0,0.0,0.0,full,equal_skill,1,32,"96,192,336,720",0.6221481770080226,5.782172325201155e-05,50.287558794021606,1,5,0.0,10,0,0,0.37181137677670445,0.37088606604392926,0.3717986675820756,0.3728343336105807,0.3758054758533548,0.3805657544651547,0.7477937662348324,0.020273045660086465,0.8169775344575234,1.2891919095083553,0.35945113037774,0.49917255934601124,0.24652462744632284,0.0,0.0,1.0,0.3726271907277549,0.7320783211917951,0.0,0.3726271907277549
11,1036,0.7290435901134631,0.3574895659698943,0.4107947255193497,0.0,0.0,0.0,0.0,full,equal_skill,1,32,"96,192,336,720",0.6263892599335772,5e-05,48.613807678222656,1,5,0.0,10,1,0,0.3705616496129386,0.36960430141236333,0.3705754625866312,0.3719534312148352,0.3750752467503879,0.39194886648171656,0.7477374733875157,0.020282899631856147,0.8164751443968776,1.451397104728176,0.3574895659698943,0.4712674291552724,0.24972031745901438,0.0,0.0,1.0,0.37155402434493584,0.7290435901134631,0.0,0.37155402434493584
12,1036,0.7259991793213664,0.3555302434101068,0.40905705186390967,0.0,0.0,0.0,0.0,full,equal_skill,1,32,"96,192,336,720",0.6295836292094059,4.2178276747988446e-05,49.590070724487305,1,5,0.0,10,2,0,0.3693756022451007,0.36844364844233835,0.36934815606095156,0.37095762400898696,0.3742196136459881,0.4017806291925401,0.7478403867901983,0.02027889512637522,0.8160761400309309,1.60606901779138,0.3555302434101068,0.446655660666324,0.2571893418243723,0.0,0.0,1.0,0.37046893510579143,0.7259991793213664,0.0,0.37046893510579143
13,1036,0.7239102973210766,0.35409547653207446,0.40775176528913176,0.0,0.0,0.0,0.0,full,equal_skill,1,32,"96,192,336,720",0.6264261715622741,3.4549150281252636e-05,51.24939179420471,1,5,0.0,10,3,0,0.36862604219365763,0.3676904009288342,0.3685216024287879,0.3704150684149109,0.37382096078059845,0.4125195940143814,0.7479505472201639,0.020288048231161586,0.8154095983758396,1.7342095208214057,0.35409547653207446,0.42704288765040144,0.26330352030895854,0.0,0.0,1.0,0.3698148210191358,0.7239102973210766,0.0,0.3698148210191358
14,1036,0.7211821300182564,0.35238738504731054,0.406366233688754,0.0,0.0,0.0,0.0,full,equal_skill,1,32,"96,192,336,720",0.6290194943543091,2.7300475013022663e-05,48.78900647163391,1,5,0.0,10,4,0,0.3675344464401481,0.3665481120290443,0.3673332362906813,0.3695195094326288,0.3730383897667686,0.42144815047481904,0.7478290677761019,0.020289522101275593,0.8150347895258642,1.8573723942846865,0.35238738504731054,0.4060887565483918,0.2691839068380102,0.0,0.0,1.0,0.36879474488464564,0.7211821300182564,0.0,0.36879474488464564
15,1036,0.7192841838455568,0.3511610228755299,0.40528557219445477,0.0,0.0,0.0,0.0,full,equal_skill,1,32,"96,192,336,720",0.6313969844802549,2.061073738537635e-05,53.76684808731079,1,5,0.0,10,5,1,0.3667108671142788,0.3657891644186495,0.3665966669449935,0.36895648257727787,0.3725625868872326,0.4303233729653837,0.747938287304175,0.02029453025066427,0.8145081721332542,1.9338235071497074,0.3511610228755299,0.3928358534128049,0.27294500110289766,0.0,0.0,1.0,0.3681231605097594,0.7192841838455568,0.0,0.3681231605097594
