epoch,train_steps,train_loss,train_prediction_l1,train_prediction_full_l1,train_reconstruction_l1,train_alignment_loss,train_weighted_reconstruction_l1,train_weighted_alignment_loss,pred_loss_mode,pcc_objective_mode,gradient_accumulation_steps,effective_batch_size,validation_horizons,val_mean_mse,lr,epoch_seconds,early_stopping_enabled,early_stopping_patience,early_stopping_min_delta,best_epoch_so_far,epochs_without_improvement,stop_triggered,train_pcc_arm_s0_measure_l1,train_pcc_arm_s1_measure_l1,train_pcc_arm_s2_measure_l1,train_pcc_arm_s3_measure_l1,train_pcc_arm_s4_measure_l1,train_pcc_credit_argmax_accuracy,train_pcc_credit_max,train_pcc_credit_min,train_pcc_credit_normalized_entropy,train_pcc_credit_policy_kl,train_pcc_fused_measure_l1,train_pcc_policy_normalized_entropy,train_pcc_policy_usage_max,train_pcc_route_kl,train_pcc_route_weight,train_pcc_skill_floor,train_pcc_skill_loss,train_pcc_total_loss,train_pcc_weighted_route_loss,train_pcc_weighted_skill_loss
1,1108,0.7667053567265776,0.3722209271164577,0.42975648522161836,0.0,0.0,0.0,0.0,full,equal_skill,1,32,"96,192,336,720",0.49836172154395,0.0001,59.47010612487793,1,5,0.0,1,0,0,0.3960700003625253,0.3951061692640239,0.39331362576691253,0.3915284398391789,0.3964038703200619,0.33984656480606645,0.7490513799207735,0.020183133852368872,0.8245202923724798,0.2313913789439933,0.3722209271164577,0.9133179667624326,0.2484333961933098,0.0,0.0,1.0,0.3944844285880185,0.7667053567265776,0.0,0.3944844285880185
2,1108,0.7062583501696156,0.3488010613227579,0.40640415138285946,0.0,0.0,0.0,0.0,full,equal_skill,1,32,"96,192,336,720",0.4929595913183653,9.938441702975689e-05,58.01230049133301,1,5,0.0,2,0,0,0.3579315843080786,0.35777701883970187,0.358307801160141,0.35562729674125837,0.35764271435109285,0.39669858381851486,0.750717672791722,0.020164072454742252,0.8167066906548579,0.35682200791065444,0.3488010613227579,0.7925669751550316,0.2866137459578282,0.0,0.0,1.0,0.3574572893041136,0.7062583501696156,0.0,0.3574572893041136
3,1108,0.6937132548769459,0.34286339683222855,0.40124559087766204,0.0,0.0,0.0,0.0,full,equal_skill,1,32,"96,192,336,720",0.4916872560867064,9.755282581475769e-05,57.55778503417969,1,5,0.0,3,0,0,0.35117602248807245,0.3510868015164503,0.35232876246586603,0.3492271844230404,0.3504304830993556,0.41962456485317073,0.7511329803656155,0.020158367870301546,0.8114402055309998,0.47474794592775593,0.34286339683222855,0.69759364985602,0.309136679160681,0.0,0.0,1.0,0.35084985774884586,0.6937132548769459,0.0,0.35084985774884586
4,1108,0.6857858543899515,0.3390682070425271,0.3979815056123888,0.0,0.0,0.0,0.0,full,equal_skill,1,32,"96,192,336,720",0.49032828690103514,9.45503262094184e-05,58.836838483810425,1,5,0.0,4,0,0,0.347048032396752,0.34703889623660905,0.3480711205448915,0.34526327655849043,0.34616688117115935,0.4207486767146992,0.751358036530147,0.020155577891798764,0.810113387471502,0.6020903407128709,0.3390682070425271,0.6369238589967632,0.3072199011053419,0.0,0.0,1.0,0.3467176482081413,0.6857858543899515,0.0,0.3467176482081413
5,1108,0.6796084804870591,0.33591695866860205,0.39516850130545106,0.0,0.0,0.0,0.0,full,equal_skill,1,32,"96,192,336,720",0.4896659456365298,9.045084971874738e-05,57.576664686203,1,5,0.0,5,0,0,0.34381340578575,0.3439248960855205,0.3449761399508383,0.34244597555282746,0.3432971547603177,0.4216141922110255,0.7515522554140228,0.020155760866425097,0.8088777420860765,0.7588495229125454,0.33591695866860205,0.5828160454757807,0.3017346697055906,0.0,0.0,1.0,0.3436915209846376,0.6796084804870591,0.0,0.3436915209846376
6,1108,0.6742464202836103,0.3329568727997666,0.39253317085952105,0.0,0.0,0.0,0.0,full,equal_skill,1,32,"96,192,336,720",0.4883408680794731,8.535533905932738e-05,59.639089584350586,1,5,0.0,6,0,0,0.3410548204656973,0.34166811481925125,0.34247145409080526,0.3401748032077125,0.3410785173735033,0.42508341791612575,0.7514744577425051,0.020157977649504957,0.8084922707790932,0.9483515926862022,0.3329568727997666,0.528544105939056,0.2941865725745363,0.0,0.0,1.0,0.34128954815627865,0.6742464202836103,0.0,0.34128954815627865
7,1108,0.6691606584869136,0.3300403089460913,0.38997227402693097,0.0,0.0,0.0,0.0,full,equal_skill,1,32,"96,192,336,720",0.487280277046375,7.938926261462366e-05,57.91810488700867,1,5,0.0,7,0,0,0.3384922547299509,0.33968206400905704,0.34030414133295683,0.3380630461747896,0.33906020025053607,0.43319916937648173,0.7512996315633347,0.02016901997311397,0.8077258910405507,1.2125098432552084,0.3300403089460913,0.4606162995261406,0.28712057934179636,0.0,0.0,1.0,0.3391203482228496,0.6691606584869136,0.0,0.3391203482228496
8,1108,0.6644646624903386,0.3272489856942036,0.3875420423298536,0.0,0.0,0.0,0.0,full,equal_skill,1,32,"96,192,336,720",0.4886932217571441,7.269952498697734e-05,58.176005601882935,1,5,0.0,7,1,0,0.33637683023614573,0.33775583590088337,0.3382736196210238,0.3362331910307657,0.33743887625984337,0.43868150825642505,0.7511616516522122,0.02017881897604261,0.8075611205630354,1.522513759695666,0.3272489856942036,0.40131650042017447,0.2827858160172559,0.0,0.0,1.0,0.3372156771458013,0.6644646624903386,0.0,0.3372156771458013
9,1108,0.6602477515755147,0.3246996734385456,0.3851860116373761,0.0,0.0,0.0,0.0,full,equal_skill,1,32,"96,192,336,720",0.48851994735092696,6.545084971874738e-05,59.47996711730957,1,5,0.0,7,2,0,0.3346015522626333,0.3360648385185197,0.3363809289699857,0.3346241613318774,0.33606887433933436,0.44389067896867057,0.7510416186028008,0.020182493384860268,0.8075473621649002,1.8338070732376637,0.3246996734385456,0.36110450803480426,0.27899150694266556,0.0,0.0,1.0,0.33554807719556,0.6602477515755147,0.0,0.33554807719556
10,1108,0.6561919216752483,0.32217162653857623,0.3827790524339848,0.0,0.0,0.0,0.0,full,equal_skill,1,32,"96,192,336,720",0.48606092929359646,5.782172325201155e-05,59.11845898628235,1,5,0.0,10,0,0,0.33302636347737985,0.33440091299558805,0.3346871766749272,0.3331424207678771,0.33484456873757745,0.45490405947938295,0.7510228147360392,0.02018477567992701,0.8074327883199665,2.1084962787395782,0.32217162653857623,0.3303445304074873,0.27687759638263,0.0,0.0,1.0,0.33402029398008376,0.6561919216752483,0.0,0.33402029398008376
