seed,dataset,arm,role,profile,rank,readout_mode,objective_mode
2022,Weather,siff_equal,immutable_candidate,r2b_p12_d64_ff128_medium,256,siff-coupling-field,equal_skill
2022,Weather,a6_full,user_selected_method_package_baseline,r2b_p12_d64_ff128_medium,256,learned-basis-forecast-operator,off
2022,Weather,siff_independent_equal,matched_independent_field_attribution_control,r2b_p12_d64_ff128_medium,116,siff-independent-scope-control,equal_skill
2023,Weather,siff_equal,immutable_candidate,r2b_p12_d64_ff128_medium,256,siff-coupling-field,equal_skill
2023,Weather,a6_full,user_selected_method_package_baseline,r2b_p12_d64_ff128_medium,256,learned-basis-forecast-operator,off
2023,Weather,siff_independent_equal,matched_independent_field_attribution_control,r2b_p12_d64_ff128_medium,116,siff-independent-scope-control,equal_skill
2022,ETTm1,siff_equal,immutable_candidate,r2b_p24_d32_ff64_narrow,256,siff-coupling-field,equal_skill
2022,ETTm1,a6_full,user_selected_method_package_baseline,r2b_p24_d32_ff64_narrow,256,learned-basis-forecast-operator,off
2022,ETTm1,siff_independent_equal,matched_independent_field_attribution_control,r2b_p24_d32_ff64_narrow,116,siff-independent-scope-control,equal_skill
2023,ETTm1,siff_equal,immutable_candidate,r2b_p24_d32_ff64_narrow,256,siff-coupling-field,equal_skill
2023,ETTm1,a6_full,user_selected_method_package_baseline,r2b_p24_d32_ff64_narrow,256,learned-basis-forecast-operator,off
2023,ETTm1,siff_independent_equal,matched_independent_field_attribution_control,r2b_p24_d32_ff64_narrow,116,siff-independent-scope-control,equal_skill
2022,ETTh1,siff_equal,immutable_candidate,r2b_p24_d64_ff128_medium,256,siff-coupling-field,equal_skill
2022,ETTh1,a6_full,user_selected_method_package_baseline,r2b_p24_d64_ff128_medium,256,learned-basis-forecast-operator,off
2022,ETTh1,siff_independent_equal,matched_independent_field_attribution_control,r2b_p24_d64_ff128_medium,109,siff-independent-scope-control,equal_skill
2023,ETTh1,siff_equal,immutable_candidate,r2b_p24_d64_ff128_medium,256,siff-coupling-field,equal_skill
2023,ETTh1,a6_full,user_selected_method_package_baseline,r2b_p24_d64_ff128_medium,256,learned-basis-forecast-operator,off
2023,ETTh1,siff_independent_equal,matched_independent_field_attribution_control,r2b_p24_d64_ff128_medium,109,siff-independent-scope-control,equal_skill
2022,ETTm2,siff_equal,immutable_candidate,r2b_p48_d64_ff128_medium,256,siff-coupling-field,equal_skill
2022,ETTm2,a6_full,user_selected_method_package_baseline,r2b_p48_d64_ff128_medium,256,learned-basis-forecast-operator,off
2022,ETTm2,siff_independent_equal,matched_independent_field_attribution_control,r2b_p48_d64_ff128_medium,106,siff-independent-scope-control,equal_skill
2023,ETTm2,siff_equal,immutable_candidate,r2b_p48_d64_ff128_medium,256,siff-coupling-field,equal_skill
2023,ETTm2,a6_full,user_selected_method_package_baseline,r2b_p48_d64_ff128_medium,256,learned-basis-forecast-operator,off
2023,ETTm2,siff_independent_equal,matched_independent_field_attribution_control,r2b_p48_d64_ff128_medium,106,siff-independent-scope-control,equal_skill
2022,ETTh2,siff_equal,immutable_candidate,r2b_p12_d64_ff128_medium,256,siff-coupling-field,equal_skill
2022,ETTh2,a6_full,user_selected_method_package_baseline,r2b_p12_d64_ff128_medium,256,learned-basis-forecast-operator,off
2022,ETTh2,siff_independent_equal,matched_independent_field_attribution_control,r2b_p12_d64_ff128_medium,116,siff-independent-scope-control,equal_skill
2023,ETTh2,siff_equal,immutable_candidate,r2b_p12_d64_ff128_medium,256,siff-coupling-field,equal_skill
2023,ETTh2,a6_full,user_selected_method_package_baseline,r2b_p12_d64_ff128_medium,256,learned-basis-forecast-operator,off
2023,ETTh2,siff_independent_equal,matched_independent_field_attribution_control,r2b_p12_d64_ff128_medium,116,siff-independent-scope-control,equal_skill
