comparison,layer,metric,candidate,reference,dataset,horizon,gain_percent,candidate_value,reference_value
effectiveness_vs_a6_measure,paper_facing_effectiveness,mse,tsaf,a6_measure,Weather,96,0.37655025584584223,0.14226326643408893,0.14280098390433107
effectiveness_vs_a6_measure,paper_facing_effectiveness,mse,tsaf,a6_measure,Weather,192,-0.7375166491309759,0.18534350720630186,0.18398657557923903
effectiveness_vs_a6_measure,paper_facing_effectiveness,mse,tsaf,a6_measure,Weather,336,-1.8200718243267966,0.23831301012039718,0.23405307602961206
effectiveness_vs_a6_measure,paper_facing_effectiveness,mse,tsaf,a6_measure,Weather,720,-1.7550455310142654,0.30990243883580365,0.3045573192155346
effectiveness_vs_a6_measure,paper_facing_effectiveness,mse,tsaf,a6_measure,ETTm1,96,1.955306766981535,0.28192920746072786,0.287551725814144
effectiveness_vs_a6_measure,paper_facing_effectiveness,mse,tsaf,a6_measure,ETTm1,192,1.469162762841969,0.3226731900765245,0.3274844699633159
effectiveness_vs_a6_measure,paper_facing_effectiveness,mse,tsaf,a6_measure,ETTm1,336,0.35086994495165946,0.3638915464184403,0.3651728281194414
effectiveness_vs_a6_measure,paper_facing_effectiveness,mse,tsaf,a6_measure,ETTm1,720,-0.15826457540197847,0.4220871404047322,0.4214201815437537
effectiveness_vs_a6_measure,paper_facing_effectiveness,mse,tsaf,a6_measure,ETTh1,96,-2.953392375911079,0.3685761305282808,0.3580029001691447
effectiveness_vs_a6_measure,paper_facing_effectiveness,mse,tsaf,a6_measure,ETTh1,192,-3.0604068134836737,0.40142941148704503,0.3895088559213071
effectiveness_vs_a6_measure,paper_facing_effectiveness,mse,tsaf,a6_measure,ETTh1,336,-7.29746124777837,0.4390991775281478,0.4092353839706897
effectiveness_vs_a6_measure,paper_facing_effectiveness,mse,tsaf,a6_measure,ETTh1,720,-7.569125787575626,0.4962784586033915,0.4613577129774465
effectiveness_vs_a6_measure,paper_facing_effectiveness,mse,tsaf,a6_measure,ETTh2,96,0.10027869883078022,0.24693585162209505,0.2471837242444889
effectiveness_vs_a6_measure,paper_facing_effectiveness,mse,tsaf,a6_measure,ETTh2,192,0.8643774019330253,0.28995278283575815,0.29248092182901353
effectiveness_vs_a6_measure,paper_facing_effectiveness,mse,tsaf,a6_measure,ETTh2,336,1.3324371085454145,0.32441276261485524,0.328793732314789
effectiveness_vs_a6_measure,paper_facing_effectiveness,mse,tsaf,a6_measure,ETTh2,720,1.097801466752113,0.40378330306203686,0.4082652449088857
effectiveness_vs_a6_measure,paper_facing_effectiveness,mse,tsaf,a6_measure,ETTm2,96,-4.615551570567167,0.16862529179995178,0.16118568345568354
effectiveness_vs_a6_measure,paper_facing_effectiveness,mse,tsaf,a6_measure,ETTm2,192,-2.708316575233627,0.223133863148563,0.21725004419200847
effectiveness_vs_a6_measure,paper_facing_effectiveness,mse,tsaf,a6_measure,ETTm2,336,-0.9459673486118758,0.27428065274988755,0.2717103614477961
effectiveness_vs_a6_measure,paper_facing_effectiveness,mse,tsaf,a6_measure,ETTm2,720,0.3659944564120998,0.349078494270983,0.35036079535943987
effectiveness_vs_a6_measure,paper_facing_effectiveness,mae,tsaf,a6_measure,Weather,96,-0.2997004174243312,0.18419236973369532,0.18364199391137656
effectiveness_vs_a6_measure,paper_facing_effectiveness,mae,tsaf,a6_measure,Weather,192,-1.0359344294217587,0.22792029048207052,0.2255833944320902
effectiveness_vs_a6_measure,paper_facing_effectiveness,mae,tsaf,a6_measure,Weather,336,-1.6487013117302052,0.2708840045471525,0.2664903742512376
effectiveness_vs_a6_measure,paper_facing_effectiveness,mae,tsaf,a6_measure,Weather,720,-1.5619903621062026,0.3207312536878515,0.3157985113764761
effectiveness_vs_a6_measure,paper_facing_effectiveness,mae,tsaf,a6_measure,ETTm1,96,0.31266284377873266,0.3361060951146954,0.33716027000297877
effectiveness_vs_a6_measure,paper_facing_effectiveness,mae,tsaf,a6_measure,ETTm1,192,0.14424952546838732,0.359119036807138,0.3596378126452837
