epoch,train_steps,train_loss,train_prediction_l1,train_prediction_full_l1,train_reconstruction_l1,train_alignment_loss,train_weighted_reconstruction_l1,train_weighted_alignment_loss,pred_loss_mode,pcc_objective_mode,gradient_accumulation_steps,effective_batch_size,validation_horizons,val_mean_mse,lr,epoch_seconds,early_stopping_enabled,early_stopping_patience,early_stopping_min_delta,best_epoch_so_far,epochs_without_improvement,stop_triggered,train_pcc_arm_s0_measure_l1,train_pcc_arm_s1_measure_l1,train_pcc_arm_s2_measure_l1,train_pcc_arm_s3_measure_l1,train_pcc_arm_s4_measure_l1,train_pcc_credit_argmax_accuracy,train_pcc_credit_max,train_pcc_credit_min,train_pcc_credit_normalized_entropy,train_pcc_credit_policy_kl,train_pcc_fused_measure_l1,train_pcc_policy_normalized_entropy,train_pcc_policy_usage_max,train_pcc_route_kl,train_pcc_route_weight,train_pcc_skill_floor,train_pcc_skill_loss,train_pcc_total_loss,train_pcc_weighted_route_loss,train_pcc_weighted_skill_loss
1,1036,0.8436075266033526,0.41040233542790283,0.46031291846142774,0.0,0.0,0.0,0.0,full,equal_skill,1,32,"96,192,336,720",0.6449655261650193,0.0001,50.91517877578735,1,5,0.0,1,0,0,0.43621742964136095,0.4349756693345239,0.432700180150137,0.42947816356843965,0.43265447518194966,0.2246463425874595,0.7444560885084182,0.020379339954294407,0.8282159547893237,0.1769301750801475,0.41040233542790283,0.9973377374263344,0.22521797334595536,0.0,0.0,1.0,0.43320519039874833,0.8436075266033526,0.0,0.43320519039874833
2,1036,0.7808665431259222,0.3863112603720551,0.434908512505095,0.0,0.0,0.0,0.0,full,equal_skill,1,32,"96,192,336,720",0.6326848965140969,9.938441702975689e-05,48.82987427711487,1,5,0.0,2,0,0,0.39534695101290596,0.3950454644772537,0.39427721112046005,0.3935310737334163,0.3945756734683247,0.19557978824845382,0.7476614150991772,0.020286023807370296,0.8307431765965053,0.17486089035063176,0.3863112603720551,0.9967914732266577,0.23353399705990402,0.0,0.0,1.0,0.3945552819196322,0.7808665431259222,0.0,0.3945552819196322
3,1036,0.7683032950149079,0.38085739095929044,0.43048604175045685,0.0,0.0,0.0,0.0,full,equal_skill,1,32,"96,192,336,720",0.6288260630865041,9.755282581475769e-05,48.8006272315979,1,5,0.0,3,0,0,0.3878139276704733,0.38765307573393043,0.3870972300300727,0.3868239825181519,0.3878412697190944,0.2036319134548364,0.7477874689120584,0.020270229761334115,0.8300517855003534,0.17604827573055465,0.38085739095929044,0.9949187034575635,0.2413044242785244,0.0,0.0,1.0,0.38744590497615256,0.7683032950149079,0.0,0.38744590497615256
4,1036,0.7605075122766973,0.377300715728386,0.4275555243018051,0.0,0.0,0.0,0.0,full,equal_skill,1,32,"96,192,336,720",0.6201762203631611,9.45503262094184e-05,48.70391249656677,1,5,0.0,4,0,0,0.3833227279563668,0.38322234122104165,0.3827779130815999,0.38280202088784065,0.3839089458513444,0.20444624971339487,0.7477135799796425,0.02027194369871989,0.8304534801299968,0.17750827736548475,0.377300715728386,0.9935179769302427,0.24833770110685394,0.0,0.0,1.0,0.3832067967784451,0.7605075122766973,0.0,0.3832067967784451
5,1036,0.7542460922683988,0.37435218674565834,0.4250404143195355,0.0,0.0,0.0,0.0,full,equal_skill,1,32,"96,192,336,720",0.6225548478868044,9.045084971874738e-05,49.50793242454529,1,5,0.0,4,1,0,0.3798224217182881,0.3797590250156561,0.37940646405961065,0.3796687305376336,0.38081284365023427,0.2026092014257512,0.7473879756844642,0.02026739068199884,0.8314216845744365,0.1786232440225406,0.37435218674565834,0.9919928726542411,0.2518894979622373,0.0,0.0,1.0,0.37989390431453823,0.7542460922683988,0.0,0.37989390431453823
6,1036,0.7492233992313326,0.37195439268493286,0.4231478483577953,0.0,0.0,0.0,0.0,full,equal_skill,1,32,"96,192,336,720",0.6191370989479649,8.535533905932738e-05,49.44496273994446,1,5,0.0,6,0,0,0.37691034514701505,0.3768766958798681,0.376668738438586,0.37727197938559137,0.37861723737597003,0.20613509353293416,0.7473993610921513,0.02027463054816638,0.8325769274161129,0.18122142211005493,0.37195439268493286,0.9886975362609252,0.25722068001634824,0.0,0.0,1.0,0.3772690060573655,0.7492233992313326,0.0,0.3772690060573655
7,1036,0.7450856167147059,0.3699023715547613,0.42144607942421924,0.0,0.0,0.0,0.0,full,equal_skill,1,32,"96,192,336,720",0.6196313030469427,7.938926261462366e-05,47.81969165802002,1,5,0.0,6,1,0,0.37459409976212676,0.37468350408275153,0.37448325989099085,0.37537218279359885,0.3767831349982718,0.20666601943233298,0.7472579535600301,0.020282358713232296,0.8324644953933001,0.18676122869131187,0.3699023715547613,0.984020703202509,0.25951998562886447,0.0,0.0,1.0,0.37518324403804243,0.7450856167147059,0.0,0.37518324403804243
8,1036,0.7419397175081909,0.36828657274195586,0.42025619305123696,0.0,0.0,0.0,0.0,full,equal_skill,1,32,"96,192,336,720",0.6208191838388938,7.269952498697734e-05,50.813997983932495,1,5,0.0,6,2,0,0.37281421246906044,0.372906519639446,0.3729066968999774,0.37406146068945817,0.3755767968803299,0.207629610600964,0.747001967029682,0.020281186255421416,0.832397616622991,0.19576952189322144,0.36828657274195586,0.9756619615559412,0.2636533525977356,0.0,0.0,1.0,0.3736531444785678,0.7419397175081909,0.0,0.3736531444785678
9,1036,0.7378008050347847,0.3661624996933698,0.4185021964682115,0.0,0.0,0.0,0.0,full,equal_skill,1,32,"96,192,336,720",0.6178020624065077,6.545084971874738e-05,48.26710224151611,1,5,0.0,9,0,0,0.3705413656517806,0.3706674827226801,0.37078418248983885,0.3722130942471239,0.373985367679688,0.20970013601036605,0.7469307042687096,0.020293995799158762,0.8324005030181877,0.20903646021103306,0.3661624996933698,0.9629008906343268,0.2703250717357319,0.0,0.0,1.0,0.37163830450718005,0.7378008050347847,0.0,0.37163830450718005
10,1036,0.7352266235701366,0.364800479651418,0.4174275832056539,0.0,0.0,0.0,0.0,full,equal_skill,1,32,"96,192,336,720",0.6171509484673152,5.782172325201155e-05,51.337220191955566,1,5,0.0,10,0,0,0.3690773945690122,0.36919390654701983,0.3694757225718277,0.37126439021591057,0.37311926754515146,0.214273906985305,0.7467064822387511,0.020290928633890787,0.8323863552574026,0.22585885613638923,0.364800479651418,0.9467950757290866,0.27896392541042164,0.0,0.0,1.0,0.3704261429406501,0.7352266235701366,0.0,0.3704261429406501
