epoch,train_steps,train_loss,train_prediction_l1,train_prediction_full_l1,train_reconstruction_l1,train_alignment_loss,train_weighted_reconstruction_l1,train_weighted_alignment_loss,pred_loss_mode,pcc_objective_mode,gradient_accumulation_steps,effective_batch_size,validation_horizons,val_mean_mse,lr,epoch_seconds,early_stopping_enabled,early_stopping_patience,early_stopping_min_delta,best_epoch_so_far,epochs_without_improvement,stop_triggered,train_pcc_arm_s0_measure_l1,train_pcc_arm_s1_measure_l1,train_pcc_arm_s2_measure_l1,train_pcc_arm_s3_measure_l1,train_pcc_arm_s4_measure_l1,train_pcc_credit_argmax_accuracy,train_pcc_credit_max,train_pcc_credit_min,train_pcc_credit_normalized_entropy,train_pcc_credit_policy_kl,train_pcc_fused_measure_l1,train_pcc_policy_normalized_entropy,train_pcc_policy_usage_max,train_pcc_route_kl,train_pcc_route_weight,train_pcc_skill_floor,train_pcc_skill_loss,train_pcc_total_loss,train_pcc_weighted_route_loss,train_pcc_weighted_skill_loss
1,1108,0.7681084112785354,0.3741391887787447,0.4310586780363472,0.0,0.0,0.0,0.0,full,equal_skill,1,32,"96,192,336,720",0.49962648969542767,0.0001,57.561848640441895,1,5,0.0,1,0,0,0.39639402030284654,0.39545518775816857,0.39392764193917007,0.39044854208988405,0.3936206820531873,0.20550199856814366,0.7492975697513091,0.020211378934487215,0.8267715109061679,0.17561403086361901,0.3741391887787447,0.9994550954133595,0.2098852681796258,0.0,0.0,1.0,0.3939692216390737,0.7681084112785354,0.0,0.3939692216390737
2,1108,0.7081452467166129,0.3511140406777282,0.40802328665118787,0.0,0.0,0.0,0.0,full,equal_skill,1,32,"96,192,336,720",0.496246004845607,9.938441702975689e-05,55.25798225402832,1,5,0.0,2,0,0,0.358170100820624,0.3579673530123724,0.3573303150840184,0.3558409697904053,0.3558472551486122,0.2340328518960235,0.7509928797018657,0.02018859755543703,0.8279974189475986,0.1691222791879401,0.3511140406777282,0.9983459031646432,0.2161588655912489,0.0,0.0,1.0,0.3570312057430133,0.7081452467166129,0.0,0.3570312057430133
3,1108,0.695207828810499,0.34521499472512235,0.40319946198472045,0.0,0.0,0.0,0.0,full,equal_skill,1,32,"96,192,336,720",0.49463867103230086,9.755282581475769e-05,55.028472900390625,1,5,0.0,3,0,0,0.35091893017184433,0.3507811951884724,0.35024847846061313,0.3490541477549808,0.34896138399193866,0.3346722350062446,0.7507462705946141,0.020194889898563228,0.8265423696178822,0.1672400706834311,0.34521499472512235,0.9945321923881661,0.24020396094997867,0.0,0.0,1.0,0.3499928333860442,0.695207828810499,0.0,0.3499928333860442
4,1108,0.6873482585168488,0.3415561626103811,0.40019483076213497,0.0,0.0,0.0,0.0,full,equal_skill,1,32,"96,192,336,720",0.4924208242677167,9.45503262094184e-05,56.250675439834595,1,5,0.0,4,0,0,0.34656912023840397,0.34651979446303544,0.34601606942363594,0.3449759359340375,0.3448795295902108,0.33693562778862807,0.750288423863559,0.020194168316892983,0.8275447916037769,0.16687071129733475,0.3415561626103811,0.9908538081478125,0.2565525679139669,0.0,0.0,1.0,0.34579209596026245,0.6873482585168488,0.0,0.34579209596026245
5,1108,0.6814756202999005,0.3387748268214374,0.39785358013874356,0.0,0.0,0.0,0.0,full,equal_skill,1,32,"96,192,336,720",0.4905408652844868,9.045084971874738e-05,54.91124224662781,1,5,0.0,5,0,0,0.34331469598229614,0.34327432749934145,0.34285142025254695,0.34203444816683176,0.3420290450165418,0.3130704708908439,0.7502937149592686,0.020191489164095494,0.8295120404838224,0.16616570293257812,0.3387748268214374,0.9910019516191758,0.2561418912659268,0.0,0.0,1.0,0.34270079361295014,0.6814756202999005,0.0,0.34270079361295014
6,1108,0.6766826634695383,0.33646386442201665,0.39586204863304697,0.0,0.0,0.0,0.0,full,equal_skill,1,32,"96,192,336,720",0.4895601597777198,8.535533905932738e-05,56.39796280860901,1,5,0.0,6,0,0,0.34064625373063107,0.34061040516794805,0.34025597069345226,0.33970923466264985,0.33987210171855314,0.29231113746816073,0.7502203024789315,0.020188707073256103,0.8308360772442731,0.16653290245722346,0.33646386442201665,0.9939555534924841,0.24207153826252648,0.0,0.0,1.0,0.34021879950477757,0.6766826634695383,0.0,0.34021879950477757
7,1108,0.6724984720618286,0.3343918527130185,0.3940182590204886,0.0,0.0,0.0,0.0,full,equal_skill,1,32,"96,192,336,720",0.4880426359871062,7.938926261462366e-05,56.38100504875183,1,5,0.0,7,0,0,0.3383274231953311,0.33829239788145793,0.33800516506179573,0.33780669117016915,0.33810138944469204,0.27716036641210423,0.7503547086935181,0.0201915061783839,0.8308260383803922,0.16902117008874562,0.3343918527130185,0.9955119713871918,0.22833361092026913,0.0,0.0,1.0,0.33810661881086196,0.6724984720618286,0.0,0.33810661881086196
8,1108,0.6686732479058448,0.332473028330166,0.3923473217749854,0.0,0.0,0.0,0.0,full,equal_skill,1,32,"96,192,336,720",0.4871463480571817,7.269952498697734e-05,57.594679832458496,1,5,0.0,8,0,0,0.3362173862782196,0.3361786947138473,0.335960694840884,0.33607325538831495,0.33657103322365656,0.2528708577559528,0.7500841427688564,0.020198120207724157,0.8306425302037264,0.17387023344904937,0.332473028330166,0.9960313719102192,0.22153470470210276,0.0,0.0,1.0,0.3362002191453204,0.6686732479058448,0.0,0.3362002191453204
9,1108,0.6651812412033012,0.33067969119828533,0.39077814068604894,0.0,0.0,0.0,0.0,full,equal_skill,1,32,"96,192,336,720",0.4855810074011854,6.545084971874738e-05,54.977871894836426,1,5,0.0,9,0,0,0.33428057710831777,0.3342425460365705,0.33410290682466454,0.33459921442106744,0.33528247203960315,0.20445848737813074,0.7500793128022218,0.020198967279227525,0.8300859241171434,0.18171287141067888,0.33067969119828533,0.9929834671506813,0.2293389229514108,0.0,0.0,1.0,0.33450154957465744,0.6651812412033012,0.0,0.33450154957465744
10,1108,0.6619139582671844,0.32897990377155883,0.389301749289251,0.0,0.0,0.0,0.0,full,equal_skill,1,32,"96,192,336,720",0.48681192081717267,5.782172325201155e-05,55.78710389137268,1,5,0.0,9,1,0,0.3324943667392008,0.33245332224381957,0.3323561826229956,0.3332325265026695,0.33413384171599514,0.18894602143161995,0.75007516333988,0.02019900776822429,0.829918063558396,0.19301071223745708,0.32897990377155883,0.9861824277936336,0.23815021514623605,0.0,0.0,1.0,0.3329340544956255,0.6619139582671844,0.0,0.3329340544956255
