epoch,train_steps,train_loss,train_prediction_l1,train_prediction_full_l1,train_reconstruction_l1,train_alignment_loss,train_weighted_reconstruction_l1,train_weighted_alignment_loss,pred_loss_mode,pcc_objective_mode,gradient_accumulation_steps,effective_batch_size,validation_horizons,val_mean_mse,lr,epoch_seconds,early_stopping_enabled,early_stopping_patience,early_stopping_min_delta,best_epoch_so_far,epochs_without_improvement,stop_triggered,train_pcc_arm_s0_measure_l1,train_pcc_arm_s1_measure_l1,train_pcc_arm_s2_measure_l1,train_pcc_arm_s3_measure_l1,train_pcc_arm_s4_measure_l1,train_pcc_credit_argmax_accuracy,train_pcc_credit_max,train_pcc_credit_min,train_pcc_credit_normalized_entropy,train_pcc_credit_policy_kl,train_pcc_fused_measure_l1,train_pcc_policy_normalized_entropy,train_pcc_policy_usage_max,train_pcc_route_kl,train_pcc_route_weight,train_pcc_skill_floor,train_pcc_skill_loss,train_pcc_total_loss,train_pcc_weighted_route_loss,train_pcc_weighted_skill_loss
1,1108,0.7751902409086159,0.37767110547111354,0.4344990793548336,0.0,0.0,0.0,0.0,full,equal_skill,1,32,"96,192,336,720",0.499318107529839,0.0001,96.19583868980408,1,5,0.0,1,0,0,0.4315853593635645,0.38743217832775323,0.38939094659115864,0.38948046515564627,0.38970669326691854,0.3425876617915794,0.7349245186747196,0.020120476372539997,0.8493196659785316,0.13886038952301985,0.37767110547111354,0.9946443236261499,0.22010167341154835,0.0,0.0,1.0,0.39751913473816985,0.7751902409086159,0.0,0.39751913473816985
2,1108,0.708434387557343,0.35106333388210637,0.4083773178260249,0.0,0.0,0.0,0.0,full,equal_skill,1,32,"96,192,336,720",0.49663357768588445,9.938441702975689e-05,95.44152688980103,1,5,0.0,2,0,0,0.3683633006813294,0.35477144066715066,0.3547196883425816,0.35444585849877297,0.3545549448969562,0.3109459324138044,0.7474056801318262,0.020125944096769884,0.8441076589082552,0.15412301993811173,0.35106333388210637,0.9818626567452393,0.26823501715214676,0.0,0.0,1.0,0.35737105337936526,0.708434387557343,0.0,0.35737105337936526
3,1108,0.6949296331685373,0.344746689503804,0.40329909058361707,0.0,0.0,0.0,0.0,full,equal_skill,1,32,"96,192,336,720",0.4935592049522148,9.755282581475769e-05,95.43764996528625,1,5,0.0,3,0,0,0.35934982497231627,0.3483630388383401,0.34800422963575334,0.3476387679523079,0.34755882518601333,0.29745132832481974,0.7492612501882043,0.020128764699646928,0.8421933260420169,0.18295369501686268,0.344746689503804,0.9624521365987695,0.32137507176033425,0.0,0.0,1.0,0.35018294363783586,0.6949296331685373,0.0,0.35018294363783586
4,1108,0.6866945365598486,0.3407506421477356,0.3999445608914544,0.0,0.0,0.0,0.0,full,equal_skill,1,32,"96,192,336,720",0.49201976075132803,9.45503262094184e-05,95.69422721862793,1,5,0.0,4,0,0,0.35408181823547996,0.34440844979419605,0.3439908879220701,0.343684628229279,0.34355365788893577,0.28482616886442746,0.7504461461456243,0.020128182249836327,0.8415306382661262,0.2106649105837199,0.3407506421477356,0.9427528662156542,0.3492041312776748,0.0,0.0,1.0,0.3459438944390104,0.6866945365598486,0.0,0.3459438944390104
5,1108,0.6801892727183091,0.33749161181897464,0.39717106954177794,0.0,0.0,0.0,0.0,full,equal_skill,1,32,"96,192,336,720",0.4883735265994873,9.045084971874738e-05,95.53962445259094,1,5,0.0,5,0,0,0.34965762487925345,0.3413367260664379,0.3409636271882143,0.3408059654253054,0.3407243320765478,0.27245612134518177,0.7509745376097167,0.020129118884648012,0.839782297772621,0.233327511859392,0.33749161181897464,0.9267567555934514,0.3539934078170935,0.0,0.0,1.0,0.3426976619483331,0.6801892727183091,0.0,0.3426976619483331
6,1108,0.6740762556933324,0.33427254710386806,0.39446165767710134,0.0,0.0,0.0,0.0,full,equal_skill,1,32,"96,192,336,720",0.48754814190047224,8.535533905932738e-05,95.93128991127014,1,5,0.0,6,0,0,0.3454958123797114,0.3385518202927999,0.33830295704870017,0.3383317239555641,0.33833620089378597,0.2641123343084263,0.7513575427476249,0.020129444173432966,0.8375545504506314,0.2544479485238072,0.33427254710386806,0.9097998673197164,0.34553142959783223,0.0,0.0,1.0,0.33980370802461884,0.6740762556933324,0.0,0.33980370802461884
7,1108,0.667832573936304,0.33081773407622794,0.3914009000473935,0.0,0.0,0.0,0.0,full,equal_skill,1,32,"96,192,336,720",0.48734678064347314,7.938926261462366e-05,95.51408052444458,1,5,0.0,7,0,0,0.34137179471202705,0.3357879722269003,0.33576131232809076,0.33603489347851234,0.33611819742496263,0.27925733588501434,0.7515680147099582,0.020129688830528448,0.8362733722808989,0.27581955468288827,0.33081773407622794,0.8891719099846987,0.338974912513034,0.0,0.0,1.0,0.33701484034422935,0.667832573936304,0.0,0.33701484034422935
8,1108,0.661283228909496,0.3270764975179834,0.3878717977916721,0.0,0.0,0.0,0.0,full,equal_skill,1,32,"96,192,336,720",0.48650512149269204,7.269952498697734e-05,95.61915802955627,1,5,0.0,8,0,0,0.3368944797651432,0.3329916813205726,0.33327333596854436,0.3338276665617413,0.3340464673855675,0.30180937090774307,0.7517974312662647,0.02013023711727522,0.8342649902785297,0.29837478651574373,0.3270764975179834,0.8646192142894552,0.38022898941801775,0.0,0.0,1.0,0.33420673233292164,0.661283228909496,0.0,0.33420673233292164
9,1108,0.6543633644116054,0.32299151715388796,0.3840023311197973,0.0,0.0,0.0,0.0,full,equal_skill,1,32,"96,192,336,720",0.4860065071825086,6.545084971874738e-05,95.35249376296997,1,5,0.0,9,0,0,0.331875799230505,0.3301428686625691,0.33085424549850745,0.33178878435696935,0.33219750741974113,0.3302274640609211,0.7518842310143722,0.020130593487690286,0.8311913483624854,0.32584681593231346,0.32299151715388796,0.8319874022841884,0.43637896248472297,0.0,0.0,1.0,0.33137184744599923,0.6543633644116054,0.0,0.33137184744599923
10,1108,0.6472068138501273,0.3186487533985923,0.37982005459199314,0.0,0.0,0.0,0.0,full,equal_skill,1,32,"96,192,336,720",0.4872050937849083,5.782172325201155e-05,95.28214073181152,1,5,0.0,9,1,0,0.326621922102861,0.32732026163313793,0.3284931657600489,0.3298571069694598,0.3304978180878429,0.3493638017386306,0.7518303548170772,0.020131672483731048,0.8282199589138858,0.3537854229769121,0.3186487533985923,0.7955753745154783,0.49016040402198957,0.0,0.0,1.0,0.3285580604784325,0.6472068138501273,0.0,0.3285580604784325
11,1108,0.6403017494329907,0.3143896762322002,0.3756858950164774,0.0,0.0,0.0,0.0,full,equal_skill,1,32,"96,192,336,720",0.4892131415367615,5e-05,95.1611819267273,1,5,0.0,9,2,0,0.32147116456113567,0.32472509161875135,0.3263285335973712,0.3280757785865546,0.3289597683757651,0.36575679238952885,0.7518743796791841,0.02013387757148392,0.8256812103711311,0.3816286811759756,0.3143896762322002,0.758868407363926,0.5364121203495708,0.0,0.0,1.0,0.3259120737656359,0.6403017494329907,0.0,0.3259120737656359
12,1108,0.6339356460833808,0.3104285097240541,0.3718228434827784,0.0,0.0,0.0,0.0,full,equal_skill,1,32,"96,192,336,720",0.4890014382062613,4.2178276747988446e-05,95.60089302062988,1,5,0.0,9,3,0,0.31672041067039924,0.3223755889528495,0.3243547177702081,0.32649381434551644,0.3275911206856962,0.38049568338084305,0.7518681190396904,0.020136162430209374,0.8235678069212807,0.4087133209358914,0.3104285097240541,0.7229250022865805,0.57639809060398,0.0,0.0,1.0,0.32350713630553185,0.6339356460833808,0.0,0.32350713630553185
13,1108,0.6281393933167096,0.30678790511852566,0.3682206155268294,0.0,0.0,0.0,0.0,full,equal_skill,1,32,"96,192,336,720",0.49045887618798706,3.4549150281252636e-05,95.44609689712524,1,5,0.0,9,4,0,0.3122860085931926,0.32030173302342313,0.3226439503663714,0.3251279771381767,0.3263977388666425,0.39536642245544856,0.7518415914761031,0.020137428240480728,0.8217338557600544,0.43329093188370177,0.30678790511852566,0.6884950551100156,0.6115096487400764,0.0,0.0,1.0,0.32135148814438913,0.6281393933167096,0.0,0.32135148814438913
14,1108,0.6229844385966498,0.30351859446789814,0.36502779129932933,0.0,0.0,0.0,0.0,full,equal_skill,1,32,"96,192,336,720",0.4892569587349759,2.7300475013022663e-05,95.50393915176392,1,5,0.0,9,5,1,0.3083285098686976,0.31848836515354334,0.32116280041554346,0.3239484971880052,0.32540101248649916,0.4090702262865077,0.7518090177529125,0.020139237837227136,0.8200834026082758,0.45773918778780137,0.30351859446789814,0.6547605272126973,0.6435585000992682,0.0,0.0,1.0,0.3194658436714957,0.6229844385966498,0.0,0.3194658436714957
